; Candidate 8838
; ADRP+ADD at VM 0xfffffff0088d9324 (fileoff 0x18d5324): page=0x1fe991000 add_imm=0xe71

0xfffffff0088d92a4: 21fc3891  add	x1, x1, #0xe3f
0xfffffff0088d92a8: e00314aa  mov	x0, x20
0xfffffff0088d92ac: ff18d797  bl	#0xfffffff007e9f6a8
0xfffffff0088d92b0: 00040034  cbz	w0, #0xfffffff0088d9330
0xfffffff0088d92b4: 814cffb0  adrp	x1, #0xfffffff00726a000
0xfffffff0088d92b8: 21503291  add	x1, x1, #0xc94
0xfffffff0088d92bc: e00314aa  mov	x0, x20
0xfffffff0088d92c0: fa18d797  bl	#0xfffffff007e9f6a8
0xfffffff0088d92c4: 60060034  cbz	w0, #0xfffffff0088d9390
0xfffffff0088d92c8: e10314aa  mov	x1, x20
0xfffffff0088d92cc: 5c010094  bl	#0xfffffff0088d983c
0xfffffff0088d92d0: e0070034  cbz	w0, #0xfffffff0088d93cc
0xfffffff0088d92d4: e00313aa  mov	x0, x19
0xfffffff0088d92d8: adfaff97  bl	#0xfffffff0088d7d8c
0xfffffff0088d92dc: f40300aa  mov	x20, x0
0xfffffff0088d92e0: e0150034  cbz	w0, #0xfffffff0088d959c
0xfffffff0088d92e4: 700240f9  ldr	x16, [x19]
0xfffffff0088d92e8: f10313aa  mov	x17, x19
0xfffffff0088d92ec: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0088d92f0: 301ac1da  autda	x16, x17
0xfffffff0088d92f4: 113d80d2  mov	x17, #0x1e8
0xfffffff0088d92f8: 1002118b  add	x16, x16, x17
0xfffffff0088d92fc: 080240f9  ldr	x8, [x16]
0xfffffff0088d9300: e90310aa  mov	x9, x16
0xfffffff0088d9304: e00313aa  mov	x0, x19
0xfffffff0088d9308: 010080d2  mov	x1, #0
0xfffffff0088d930c: f10309aa  mov	x17, x9
0xfffffff0088d9310: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff0088d9314: 11093fd7  blraa	x8, x17
0xfffffff0088d9318: 884cffb0  adrp	x8, #0xfffffff00726a000
0xfffffff0088d931c: 08753991  add	x8, x8, #0xe5d
0xfffffff0088d9320: e02300a9  stp	x0, x8, [sp]
0xfffffff0088d9324: 804cffb0  adrp	x0, #0xfffffff00726a000
0xfffffff0088d9328: 00c43991  add	x0, x0, #0xe71
0xfffffff0088d932c: 17000014  b	#0xfffffff0088d9388
0xfffffff0088d9330: e00313aa  mov	x0, x19
0xfffffff0088d9334: 0cfcff97  bl	#0xfffffff0088d8364
0xfffffff0088d9338: f40300aa  mov	x20, x0
0xfffffff0088d933c: 00130034  cbz	w0, #0xfffffff0088d959c
0xfffffff0088d9340: 700240f9  ldr	x16, [x19]
0xfffffff0088d9344: f10313aa  mov	x17, x19
0xfffffff0088d9348: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0088d934c: 301ac1da  autda	x16, x17
0xfffffff0088d9350: 113d80d2  mov	x17, #0x1e8
0xfffffff0088d9354: 1002118b  add	x16, x16, x17
0xfffffff0088d9358: 080240f9  ldr	x8, [x16]
0xfffffff0088d935c: e90310aa  mov	x9, x16
0xfffffff0088d9360: e00313aa  mov	x0, x19
0xfffffff0088d9364: 010080d2  mov	x1, #0
0xfffffff0088d9368: f10309aa  mov	x17, x9
0xfffffff0088d936c: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff0088d9370: 11093fd7  blraa	x8, x17
0xfffffff0088d9374: 884cffb0  adrp	x8, #0xfffffff00726a000
0xfffffff0088d9378: 08753991  add	x8, x8, #0xe5d
0xfffffff0088d937c: e02300a9  stp	x0, x8, [sp]
0xfffffff0088d9380: 804cffb0  adrp	x0, #0xfffffff00726a000
0xfffffff0088d9384: 00103991  add	x0, x0, #0xe44
0xfffffff0088d9388: 26f7e997  bl	#0xfffffff008357020
0xfffffff0088d938c: 84000014  b	#0xfffffff0088d959c
0xfffffff0088d9390: 700240f9  ldr	x16, [x19]
0xfffffff0088d9394: f10313aa  mov	x17, x19
0xfffffff0088d9398: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0088d939c: 301ac1da  autda	x16, x17
0xfffffff0088d93a0: 080e4ef8  ldr	x8, [x16, #0xe0]!
