; Candidate 16611
; ADRP+ADD at VM 0xfffffff009f0138c (fileoff 0x2efd38c): page=0x1fd94e000 add_imm=0xd3d

0xfffffff009f0130c: 08050051  sub	w8, w8, #1
0xfffffff009f01310: 281b01b9  str	w8, [x25, #0x118]
0xfffffff009f01314: b5010035  cbnz	w21, #0xfffffff009f01348
0xfffffff009f01318: 13000014  b	#0xfffffff009f01364
0xfffffff009f0131c: 290740f9  ldr	x9, [x25, #8]
0xfffffff009f01320: e83340f9  ldr	x8, [sp, #0x60]
0xfffffff009f01324: e82701a9  stp	x8, x9, [sp, #0x10]
0xfffffff009f01328: c9648f52  mov	w9, #0x7b26
0xfffffff009f0132c: 68cafed0  adrp	x8, #0xfffffff00784f000
0xfffffff009f01330: 08713291  add	x8, x8, #0xc9c
0xfffffff009f01334: e82700a9  stp	x8, x9, [sp]
0xfffffff009f01338: 60cafed0  adrp	x0, #0xfffffff00784f000
0xfffffff009f0133c: 00d43391  add	x0, x0, #0xcf5
0xfffffff009f01340: 61f9fd97  bl	#0xfffffff009e7f8c4
0xfffffff009f01344: 15010034  cbz	w21, #0xfffffff009f01364
0xfffffff009f01348: 288b40f9  ldr	x8, [x25, #0x110]
0xfffffff009f0134c: 08011a8b  add	x8, x8, x26
0xfffffff009f01350: 288b00f9  str	x8, [x25, #0x110]
0xfffffff009f01354: 281f41b9  ldr	w8, [x25, #0x11c]
0xfffffff009f01358: c8000034  cbz	w8, #0xfffffff009f01370
0xfffffff009f0135c: 08011c0b  add	w8, w8, w28
0xfffffff009f01360: 281f01b9  str	w8, [x25, #0x11c]
0xfffffff009f01364: 5803188b  add	x24, x26, x24
0xfffffff009f01368: f7f7ffb5  cbnz	x23, #0xfffffff009f01264
0xfffffff009f0136c: 1b000014  b	#0xfffffff009f013d8
0xfffffff009f01370: 290740f9  ldr	x9, [x25, #8]
0xfffffff009f01374: e83340f9  ldr	x8, [sp, #0x60]
0xfffffff009f01378: e82701a9  stp	x8, x9, [sp, #0x10]
0xfffffff009f0137c: c9658f52  mov	w9, #0x7b2e
0xfffffff009f01380: 68cafed0  adrp	x8, #0xfffffff00784f000
0xfffffff009f01384: 08713291  add	x8, x8, #0xc9c
0xfffffff009f01388: e82700a9  stp	x8, x9, [sp]
0xfffffff009f0138c: 60cafed0  adrp	x0, #0xfffffff00784f000
0xfffffff009f01390: 00f43491  add	x0, x0, #0xd3d
0xfffffff009f01394: 4cf9fd97  bl	#0xfffffff009e7f8c4
0xfffffff009f01398: f3ffff17  b	#0xfffffff009f01364
0xfffffff009f0139c: 4acafeb0  adrp	x10, #0xfffffff00784a000
0xfffffff009f013a0: 4a9d0691  add	x10, x10, #0x1a7
0xfffffff009f013a4: eb0313aa  mov	x11, x19
0xfffffff009f013a8: eaaf02a9  stp	x10, x11, [sp, #0x28]
0xfffffff009f013ac: f6a701a9  stp	x22, x9, [sp, #0x18]
0xfffffff009f013b0: e80b00f9  str	x8, [sp, #0x10]
0xfffffff009f013b4: 68cafed0  adrp	x8, #0xfffffff00784f000
0xfffffff009f013b8: 08713291  add	x8, x8, #0xc9c
0xfffffff009f013bc: 29618f52  mov	w9, #0x7b09
0xfffffff009f013c0: 60cafed0  adrp	x0, #0xfffffff00784f000
0xfffffff009f013c4: 00e03291  add	x0, x0, #0xcb8
0xfffffff009f013c8: e82700a9  stp	x8, x9, [sp]
0xfffffff009f013cc: 3ef9fd97  bl	#0xfffffff009e7f8c4
0xfffffff009f013d0: 22000014  b	#0xfffffff009f01458
0xfffffff009f013d4: 180080d2  mov	x24, #0
0xfffffff009f013d8: e82f40f9  ldr	x8, [sp, #0x58]
0xfffffff009f013dc: 087d169b  mul	x8, x8, x22
0xfffffff009f013e0: 1f0308eb  cmp	x24, x8
0xfffffff009f013e4: 40020054  b.eq	#0xfffffff009f0142c
0xfffffff009f013e8: 882600f0  adrp	x8, #0xfffffff00a3d4000
0xfffffff009f013ec: 081d4ab9  ldr	w8, [x8, #0xa1c]
0xfffffff009f013f0: 69008052  mov	w9, #3
0xfffffff009f013f4: 3f01286a  bics	wzr, w9, w8
0xfffffff009f013f8: 60080054  b.eq	#0xfffffff009f01504
0xfffffff009f013fc: 083e8452  mov	w8, #0x21f0
0xfffffff009f01400: 8802088b  add	x8, x20, x8
0xfffffff009f01404: 290740f9  ldr	x9, [x25, #8]
0xfffffff009f01408: e95b02a9  stp	x9, x22, [sp, #0x20]
