; Candidate 3519
; ADRP+ADD at VM 0xfffffff008744270 (fileoff 0x1740270): page=0x1fe9ed000 add_imm=0xd90

0xfffffff0087441f0: f65743a9  ldp	x22, x21, [sp, #0x30]
0xfffffff0087441f4: f85f42a9  ldp	x24, x23, [sp, #0x20]
0xfffffff0087441f8: ff830191  add	sp, sp, #0x60
0xfffffff0087441fc: ff2303d5  autibsp	
0xfffffff008744200: d1071eca  eor	x17, x30, x30, lsl #1
0xfffffff008744204: 5100f0b6  tbz	x17, #0x3e, #0xfffffff00874420c
0xfffffff008744208: 208e38d4  brk	#0xc471
0xfffffff00874420c: f10303aa  mov	x17, x3
0xfffffff008744210: d11ef3f2  movk	x17, #0x98f6, lsl #48
0xfffffff008744214: 110a1fd7  braa	x16, x17
0xfffffff008744218: 7f2303d5  pacibsp	
0xfffffff00874421c: ffc300d1  sub	sp, sp, #0x30
0xfffffff008744220: f44f01a9  stp	x20, x19, [sp, #0x10]
0xfffffff008744224: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff008744228: fd830091  add	x29, sp, #0x20
0xfffffff00874422c: 089c42b9  ldr	w8, [x0, #0x29c]
0xfffffff008744230: 48030034  cbz	w8, #0xfffffff008744298
0xfffffff008744234: f30300aa  mov	x19, x0
0xfffffff008744238: 006c40f9  ldr	x0, [x0, #0xd8]
0xfffffff00874423c: 100040f9  ldr	x16, [x0]
0xfffffff008744240: f10300aa  mov	x17, x0
0xfffffff008744244: b1a6f3f2  movk	x17, #0x9d35, lsl #48
0xfffffff008744248: 301ac1da  autda	x16, x17
0xfffffff00874424c: 080e47f8  ldr	x8, [x16, #0x70]!
0xfffffff008744250: e90310aa  mov	x9, x16
0xfffffff008744254: f10309aa  mov	x17, x9
0xfffffff008744258: 515dfdf2  movk	x17, #0xeaea, lsl #48
0xfffffff00874425c: 11093fd7  blraa	x8, x17
0xfffffff008744260: a0010034  cbz	w0, #0xfffffff008744294
0xfffffff008744264: 8850fff0  adrp	x8, #0xfffffff007157000
0xfffffff008744268: 08493091  add	x8, x8, #0xc12
0xfffffff00874426c: e80300f9  str	x8, [sp]
0xfffffff008744270: 604fffb0  adrp	x0, #0xfffffff007131000
0xfffffff008744274: 00403691  add	x0, x0, #0xd90
0xfffffff008744278: c195ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff00874427c: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008744280: c34fffb0  adrp	x3, #0xfffffff00713d000
0xfffffff008744284: 63b42391  add	x3, x3, #0x8ed
0xfffffff008744288: 02008052  mov	w2, #0
0xfffffff00874428c: a9bbef97  bl	#0xfffffff008333130
0xfffffff008744290: 02000014  b	#0xfffffff008744298
0xfffffff008744294: 7f9e02b9  str	wzr, [x19, #0x29c]
0xfffffff008744298: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff00874429c: f44f41a9  ldp	x20, x19, [sp, #0x10]
0xfffffff0087442a0: ffc30091  add	sp, sp, #0x30
0xfffffff0087442a4: ff0f5fd6  retab	
0xfffffff0087442a8: 7f2303d5  pacibsp	
0xfffffff0087442ac: ff0301d1  sub	sp, sp, #0x40
0xfffffff0087442b0: f44f02a9  stp	x20, x19, [sp, #0x20]
0xfffffff0087442b4: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff0087442b8: fdc30091  add	x29, sp, #0x30
0xfffffff0087442bc: f40301aa  mov	x20, x1
0xfffffff0087442c0: f30300aa  mov	x19, x0
0xfffffff0087442c4: 00d040f9  ldr	x0, [x0, #0x1a0]
0xfffffff0087442c8: 019ed997  bl	#0xfffffff007dabacc
0xfffffff0087442cc: 740202b9  str	w20, [x19, #0x200]
0xfffffff0087442d0: 68fe41b9  ldr	w8, [x19, #0x1fc]
0xfffffff0087442d4: 1f01146b  cmp	w8, w20
0xfffffff0087442d8: 80010054  b.eq	#0xfffffff008744308
0xfffffff0087442dc: 68000034  cbz	w8, #0xfffffff0087442e8
0xfffffff0087442e0: e00313aa  mov	x0, x19
0xfffffff0087442e4: cdffff97  bl	#0xfffffff008744218
0xfffffff0087442e8: e00313aa  mov	x0, x19
0xfffffff0087442ec: 01008052  mov	w1, #0
