; Candidate 10377
; ADRP+ADD at VM 0xfffffff008d23adc (fileoff 0x1d1fadc): page=0x1fe659000 add_imm=0xd4c

0xfffffff008d23a5c: 10a23f91  add	x16, x16, #0xfe8
0xfffffff008d23a60: 10420091  add	x16, x16, #0x10
0xfffffff008d23a64: f10300aa  mov	x17, x0
0xfffffff008d23a68: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008d23a6c: 300ac1da  pacda	x16, x17
0xfffffff008d23a70: 100000f9  str	x16, [x0]
0xfffffff008d23a74: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff008d23a78: ff0f5fd6  retab	
0xfffffff008d23a7c: 5f2403d5  bti	c
0xfffffff008d23a80: 20ae0090  adrp	x0, #0xfffffff00a2e7000
0xfffffff008d23a84: 00203f91  add	x0, x0, #0xfc8
0xfffffff008d23a88: 1b03d717  b	#0xfffffff0082e46f4
0xfffffff008d23a8c: 7f2303d5  pacibsp	
0xfffffff008d23a90: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff008d23a94: fd030091  mov	x29, sp
0xfffffff008d23a98: 3f0c0071  cmp	w1, #3
0xfffffff008d23a9c: 08020054  b.hi	#0xfffffff008d23adc
0xfffffff008d23aa0: e832ffb0  adrp	x8, #0xfffffff007380000
0xfffffff008d23aa4: 007dc33d  ldr	q0, [x8, #0xdf0]
0xfffffff008d23aa8: f003012a  mov	w16, w1
0xfffffff008d23aac: 1f0e00f1  cmp	x16, #3
0xfffffff008d23ab0: 10929f9a  csel	x16, x16, xzr, ls
0xfffffff008d23ab4: 11000090  adrp	x17, #0xfffffff008d23000
0xfffffff008d23ab8: 31123191  add	x17, x17, #0xc44
0xfffffff008d23abc: 307ab0b8  ldrsw	x16, [x17, x16, lsl #2]
0xfffffff008d23ac0: 11000010  adr	x17, #0xfffffff008d23ac0
0xfffffff008d23ac4: 3002108b  add	x16, x17, x16
0xfffffff008d23ac8: 00021fd6  br	x16
0xfffffff008d23acc: 9f2403d5  bti	j
0xfffffff008d23ad0: e832ffb0  adrp	x8, #0xfffffff007380000
0xfffffff008d23ad4: 0089c33d  ldr	q0, [x8, #0xe20]
0xfffffff008d23ad8: 10000014  b	#0xfffffff008d23b18
0xfffffff008d23adc: c032ffb0  adrp	x0, #0xfffffff00737c000
0xfffffff008d23ae0: 00303591  add	x0, x0, #0xd4c
0xfffffff008d23ae4: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff008d23ae8: ff2303d5  autibsp	
0xfffffff008d23aec: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff008d23af0: 5000f0b6  tbz	x16, #0x3e, #0xfffffff008d23af8
0xfffffff008d23af4: 208e38d4  brk	#0xc471
0xfffffff008d23af8: 41320014  b	#0xfffffff008d303fc
0xfffffff008d23afc: 9f2403d5  bti	j
0xfffffff008d23b00: e832ffb0  adrp	x8, #0xfffffff007380000
0xfffffff008d23b04: 0085c33d  ldr	q0, [x8, #0xe10]
0xfffffff008d23b08: 04000014  b	#0xfffffff008d23b18
0xfffffff008d23b0c: 9f2403d5  bti	j
0xfffffff008d23b10: e832ffb0  adrp	x8, #0xfffffff007380000
0xfffffff008d23b14: 0081c33d  ldr	q0, [x8, #0xe00]
0xfffffff008d23b18: 9f2403d5  bti	j
0xfffffff008d23b1c: 4840238b  add	x8, x2, w3, uxtw
0xfffffff008d23b20: 090102eb  subs	x9, x8, x2
0xfffffff008d23b24: a3080054  b.lo	#0xfffffff008d23c38
0xfffffff008d23b28: 28fd60d3  lsr	x8, x9, #0x20
0xfffffff008d23b2c: 680800b5  cbnz	x8, #0xfffffff008d23c38
0xfffffff008d23b30: 0a0080d2  mov	x10, #0
0xfffffff008d23b34: 08c00191  add	x8, x0, #0x70
0xfffffff008d23b38: 01cd404d  ld1r	{v1.2d}, [x8]
0xfffffff008d23b3c: 2084e04e  add	v0.2d, v1.2d, v0.2d
0xfffffff008d23b40: 0b00669e  fmov	x11, d0
0xfffffff008d23b44: 083c184e  mov	x8, v0.d[1]
0xfffffff008d23b48: 3f010aeb  cmp	x9, x10
0xfffffff008d23b4c: a0060054  b.eq	#0xfffffff008d23c20
0xfffffff008d23b50: 4c000aab  adds	x12, x2, x10
0xfffffff008d23b54: ee379f1a  cset	w14, hs
0xfffffff008d23b58: cd014093  sbfx	x13, x14, #0, #1
