; Candidate 2428
; ADRP+ADD at VM 0xfffffff008664924 (fileoff 0x1660924): page=0x1feab8000 add_imm=0xdd3

0xfffffff0086648a4: 11000014  b	#0xfffffff0086648e8
0xfffffff0086648a8: 29020034  cbz	w9, #0xfffffff0086648ec
0xfffffff0086648ac: f30308aa  mov	x19, x8
0xfffffff0086648b0: f35301a9  stp	x19, x20, [sp, #0x10]
0xfffffff0086648b4: f65300a9  stp	x22, x20, [sp]
0xfffffff0086648b8: a055ff90  adrp	x0, #0xfffffff007118000
0xfffffff0086648bc: 00400791  add	x0, x0, #0x1d0
0xfffffff0086648c0: c19bfff0  adrp	x1, #0xfffffff0079df000
0xfffffff0086648c4: 21c845f9  ldr	x1, [x1, #0xb90]
0xfffffff0086648c8: a355ffd0  adrp	x3, #0xfffffff00711a000
0xfffffff0086648cc: 63a40b91  add	x3, x3, #0x2e9
0xfffffff0086648d0: 02028052  mov	w2, #0x10
0xfffffff0086648d4: 173af397  bl	#0xfffffff008333130
0xfffffff0086648d8: f35301a9  stp	x19, x20, [sp, #0x10]
0xfffffff0086648dc: f65300a9  stp	x22, x20, [sp]
0xfffffff0086648e0: c055ff90  adrp	x0, #0xfffffff00711c000
0xfffffff0086648e4: 00a83591  add	x0, x0, #0xd6a
0xfffffff0086648e8: cec9f397  bl	#0xfffffff008357020
0xfffffff0086648ec: 68ba8952  mov	w8, #0x4dd3
0xfffffff0086648f0: 480ca272  movk	w8, #0x1062, lsl #16
0xfffffff0086648f4: a87ea89b  umull	x8, w21, w8
0xfffffff0086648f8: 13fd66d3  lsr	x19, x8, #0x26
0xfffffff0086648fc: f30300f9  str	x19, [sp]
0xfffffff008664900: a055ff90  adrp	x0, #0xfffffff007118000
0xfffffff008664904: 00400791  add	x0, x0, #0x1d0
0xfffffff008664908: c19bfff0  adrp	x1, #0xfffffff0079df000
0xfffffff00866490c: 21c845f9  ldr	x1, [x1, #0xb90]
0xfffffff008664910: a355ffd0  adrp	x3, #0xfffffff00711a000
0xfffffff008664914: 63440d91  add	x3, x3, #0x351
0xfffffff008664918: 02028052  mov	w2, #0x10
0xfffffff00866491c: 053af397  bl	#0xfffffff008333130
0xfffffff008664920: f30300f9  str	x19, [sp]
0xfffffff008664924: c055ff90  adrp	x0, #0xfffffff00711c000
0xfffffff008664928: 004c3791  add	x0, x0, #0xdd3
0xfffffff00866492c: bdc9f397  bl	#0xfffffff008357020
0xfffffff008664930: e00313aa  mov	x0, x19
0xfffffff008664934: fd7b44a9  ldp	x29, x30, [sp, #0x40]
0xfffffff008664938: f44f43a9  ldp	x20, x19, [sp, #0x30]
0xfffffff00866493c: f65742a9  ldp	x22, x21, [sp, #0x20]
0xfffffff008664940: ff430191  add	sp, sp, #0x50
0xfffffff008664944: ff0f5fd6  retab	
0xfffffff008664948: 7f2303d5  pacibsp	
0xfffffff00866494c: ffc301d1  sub	sp, sp, #0x70
0xfffffff008664950: fc6f01a9  stp	x28, x27, [sp, #0x10]
0xfffffff008664954: fa6702a9  stp	x26, x25, [sp, #0x20]
0xfffffff008664958: f85f03a9  stp	x24, x23, [sp, #0x30]
0xfffffff00866495c: f65704a9  stp	x22, x21, [sp, #0x40]
0xfffffff008664960: f44f05a9  stp	x20, x19, [sp, #0x50]
0xfffffff008664964: fd7b06a9  stp	x29, x30, [sp, #0x60]
0xfffffff008664968: fd830191  add	x29, sp, #0x60
0xfffffff00866496c: f60301aa  mov	x22, x1
0xfffffff008664970: f30300aa  mov	x19, x0
0xfffffff008664974: 85e1ff97  bl	#0xfffffff00865cf88
0xfffffff008664978: f40300aa  mov	x20, x0
0xfffffff00866497c: 688240f9  ldr	x8, [x19, #0x100]
0xfffffff008664980: c97e7dd3  ubfiz	x9, x22, #3, #0x20
0xfffffff008664984: 3541368b  add	x21, x9, w22, uxtw
0xfffffff008664988: a9f27dd3  lsl	x9, x21, #3
0xfffffff00866498c: 016969b8  ldr	w1, [x8, x9]
0xfffffff008664990: 700240f9  ldr	x16, [x19]
0xfffffff008664994: f10313aa  mov	x17, x19
0xfffffff008664998: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00866499c: 301ac1da  autda	x16, x17
0xfffffff0086649a0: 11e080d2  mov	x17, #0x700
