; Candidate 11600
; ADRP+ADD at VM 0xfffffff008fc4f68 (fileoff 0x1fc0f68): page=0x1feb6d000 add_imm=0xe18

0xfffffff008fc4ee8: 10220491  add	x16, x16, #0x108
0xfffffff008fc4eec: 10420091  add	x16, x16, #0x10
0xfffffff008fc4ef0: f10300aa  mov	x17, x0
0xfffffff008fc4ef4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008fc4ef8: 300ac1da  pacda	x16, x17
0xfffffff008fc4efc: 100000f9  str	x16, [x0]
0xfffffff008fc4f00: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff008fc4f04: ff0f5fd6  retab	
0xfffffff008fc4f08: 5f2403d5  bti	c
0xfffffff008fc4f0c: 0dfcce17  b	#0xfffffff008383f40
0xfffffff008fc4f10: 5f2403d5  bti	c
0xfffffff008fc4f14: 0bfcce17  b	#0xfffffff008383f40
0xfffffff008fc4f18: 7f2303d5  pacibsp	
0xfffffff008fc4f1c: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff008fc4f20: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff008fc4f24: fd430091  add	x29, sp, #0x10
0xfffffff008fc4f28: f30300aa  mov	x19, x0
0xfffffff008fc4f2c: 05fcce97  bl	#0xfffffff008383f40
0xfffffff008fc4f30: 605bffb0  adrp	x0, #0xfffffff007b31000
0xfffffff008fc4f34: 00603891  add	x0, x0, #0xe18
0xfffffff008fc4f38: e10313aa  mov	x1, x19
0xfffffff008fc4f3c: 02e88052  mov	w2, #0x740
0xfffffff008fc4f40: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff008fc4f44: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff008fc4f48: ff2303d5  autibsp	
0xfffffff008fc4f4c: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff008fc4f50: 5000f0b6  tbz	x16, #0x3e, #0xfffffff008fc4f58
0xfffffff008fc4f54: 208e38d4  brk	#0xc471
0xfffffff008fc4f58: d189cc17  b	#0xfffffff0082e769c
0xfffffff008fc4f5c: 5f2403d5  bti	c
0xfffffff008fc4f60: e20301aa  mov	x2, x1
0xfffffff008fc4f64: e10300aa  mov	x1, x0
0xfffffff008fc4f68: 605bffb0  adrp	x0, #0xfffffff007b31000
0xfffffff008fc4f6c: 00603891  add	x0, x0, #0xe18
0xfffffff008fc4f70: cb89cc17  b	#0xfffffff0082e769c
0xfffffff008fc4f74: 5f2403d5  bti	c
0xfffffff008fc4f78: 409a00b0  adrp	x0, #0xfffffff00a30d000
0xfffffff008fc4f7c: 00201291  add	x0, x0, #0x488
0xfffffff008fc4f80: c0035fd6  ret	
0xfffffff008fc4f84: 7f2303d5  pacibsp	
0xfffffff008fc4f88: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff008fc4f8c: fd030091  mov	x29, sp
0xfffffff008fc4f90: 6123ffb0  adrp	x1, #0xfffffff007431000
0xfffffff008fc4f94: 21441c91  add	x1, x1, #0x711
0xfffffff008fc4f98: 225bfff0  adrp	x2, #0xfffffff007b2b000
0xfffffff008fc4f9c: 42c442f9  ldr	x2, [x2, #0x588]
0xfffffff008fc4fa0: 03e88052  mov	w3, #0x740
0xfffffff008fc4fa4: e57acc97  bl	#0xfffffff0082e3b38
0xfffffff008fc4fa8: 705bffb0  adrp	x16, #0xfffffff007b31000
0xfffffff008fc4fac: 10821991  add	x16, x16, #0x660
0xfffffff008fc4fb0: 10420091  add	x16, x16, #0x10
0xfffffff008fc4fb4: f10300aa  mov	x17, x0
0xfffffff008fc4fb8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008fc4fbc: 300ac1da  pacda	x16, x17
0xfffffff008fc4fc0: 100000f9  str	x16, [x0]
0xfffffff008fc4fc4: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff008fc4fc8: ff0f5fd6  retab	
0xfffffff008fc4fcc: 7f2303d5  pacibsp	
0xfffffff008fc4fd0: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff008fc4fd4: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff008fc4fd8: fd430091  add	x29, sp, #0x10
0xfffffff008fc4fdc: 605bffb0  adrp	x0, #0xfffffff007b31000
0xfffffff008fc4fe0: 00603891  add	x0, x0, #0xe18
0xfffffff008fc4fe4: 01e88052  mov	w1, #0x740
