; Candidate 16874
; ADRP+ADD at VM 0xfffffff009fa7d38 (fileoff 0x2fa3d38): page=0x1fd8c9000 add_imm=0xe46

0xfffffff009fa7cb8: 21028052  mov	w1, #0x11
0xfffffff009fa7cbc: 83038052  mov	w3, #0x1c
0xfffffff009fa7cc0: 85488052  mov	w5, #0x244
0xfffffff009fa7cc4: e6278052  mov	w6, #0x13f
0xfffffff009fa7cc8: cb8f0094  bl	#0xfffffff009fcbbf4
0xfffffff009fa7ccc: 60010034  cbz	w0, #0xfffffff009fa7cf8
0xfffffff009fa7cd0: f40300aa  mov	x20, x0
0xfffffff009fa7cd4: 7fb17c97  bl	#0xfffffff007ed42d0
0xfffffff009fa7cd8: a8168052  mov	w8, #0xb5
0xfffffff009fa7cdc: 49c6feb0  adrp	x9, #0xfffffff007870000
0xfffffff009fa7ce0: 29dd2691  add	x9, x9, #0x9b7
0xfffffff009fa7ce4: e85301a9  stp	x8, x20, [sp, #0x10]
0xfffffff009fa7ce8: e02700a9  stp	x0, x9, [sp]
0xfffffff009fa7cec: 40c6feb0  adrp	x0, #0xfffffff007870000
0xfffffff009fa7cf0: 00f83791  add	x0, x0, #0xdfe
0xfffffff009fa7cf4: 86ffff17  b	#0xfffffff009fa7b0c
0xfffffff009fa7cf8: 48c6feb0  adrp	x8, #0xfffffff007870000
0xfffffff009fa7cfc: 08f52d91  add	x8, x8, #0xb7d
0xfffffff009fa7d00: 49c6feb0  adrp	x9, #0xfffffff007870000
0xfffffff009fa7d04: 29f93291  add	x9, x9, #0xcbe
0xfffffff009fa7d08: 7f021b72  tst	w19, #0x20
0xfffffff009fa7d0c: 2001889a  csel	x0, x9, x8, eq
0xfffffff009fa7d10: e1830091  add	x1, sp, #0x20
0xfffffff009fa7d14: e2278052  mov	w2, #0x13f
0xfffffff009fa7d18: 57de7b97  bl	#0xfffffff007e9f674
0xfffffff009fa7d1c: 60f2ff34  cbz	w0, #0xfffffff009fa7b68
0xfffffff009fa7d20: 6cb17c97  bl	#0xfffffff007ed42d0
0xfffffff009fa7d24: 48178052  mov	w8, #0xba
0xfffffff009fa7d28: 49c6feb0  adrp	x9, #0xfffffff007870000
0xfffffff009fa7d2c: 29dd2691  add	x9, x9, #0x9b7
0xfffffff009fa7d30: e9a300a9  stp	x9, x8, [sp, #8]
0xfffffff009fa7d34: e00300f9  str	x0, [sp]
0xfffffff009fa7d38: 40c6feb0  adrp	x0, #0xfffffff007870000
0xfffffff009fa7d3c: 00183991  add	x0, x0, #0xe46
0xfffffff009fa7d40: 88ffff17  b	#0xfffffff009fa7b60
0xfffffff009fa7d44: 42d87697  bl	#0xfffffff007d5de4c
0xfffffff009fa7d48: 7f2303d5  pacibsp	
0xfffffff009fa7d4c: ffc300d1  sub	sp, sp, #0x30
0xfffffff009fa7d50: f44f01a9  stp	x20, x19, [sp, #0x10]
0xfffffff009fa7d54: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff009fa7d58: fd830091  add	x29, sp, #0x20
0xfffffff009fa7d5c: f30301aa  mov	x19, x1
0xfffffff009fa7d60: f40300aa  mov	x20, x0
0xfffffff009fa7d64: e8ecfeb0  adrp	x8, #0xfffffff007d44000
0xfffffff009fa7d68: 082d43f9  ldr	x8, [x8, #0x658]
0xfffffff009fa7d6c: 080140f9  ldr	x8, [x8]
0xfffffff009fa7d70: e80700f9  str	x8, [sp, #8]
0xfffffff009fa7d74: ff1f0039  strb	wzr, [sp, #7]
0xfffffff009fa7d78: ff1f0039  strb	wzr, [sp, #7]
0xfffffff009fa7d7c: 20200091  add	x0, x1, #8
0xfffffff009fa7d80: 811640f9  ldr	x1, [x20, #0x28]
0xfffffff009fa7d84: 820640f9  ldr	x2, [x20, #8]
0xfffffff009fa7d88: 02937697  bl	#0xfffffff007d4c990
0xfffffff009fa7d8c: 7f0200f9  str	xzr, [x19]
0xfffffff009fa7d90: 88a640a9  ldp	x8, x9, [x20, #8]
0xfffffff009fa7d94: 6802088b  add	x8, x19, x8
0xfffffff009fa7d98: 0801098b  add	x8, x8, x9
0xfffffff009fa7d9c: 1f0900b9  str	wzr, [x8, #8]
0xfffffff009fa7da0: e01f0091  add	x0, sp, #7
0xfffffff009fa7da4: 78b5ff97  bl	#0xfffffff009f95384
0xfffffff009fa7da8: e80740f9  ldr	x8, [sp, #8]
0xfffffff009fa7dac: e9ecfeb0  adrp	x9, #0xfffffff007d44000
0xfffffff009fa7db0: 292d43f9  ldr	x9, [x9, #0x658]
0xfffffff009fa7db4: 290140f9  ldr	x9, [x9]
