; Candidate 1098
; ADRP+ADD at VM 0xfffffff0081f872c (fileoff 0x11f472c): page=0x1fd3000 add_imm=0xd24

0xfffffff0081f86ac: 1f010071  cmp	w8, #0
0xfffffff0081f86b0: 2009417a  ccmp	w9, #1, #0, eq
0xfffffff0081f86b4: c1040054  b.ne	#0xfffffff0081f874c
0xfffffff0081f86b8: 93d038d5  mrs	x19, tpidr_el1
0xfffffff0081f86bc: 684a41b9  ldr	w8, [x19, #0x148]
0xfffffff0081f86c0: 68040035  cbnz	w8, #0xfffffff0081f874c
0xfffffff0081f86c4: 28423bd5  mrs	x8, daif
0xfffffff0081f86c8: 28043837  tbnz	w8, #7, #0xfffffff0081f874c
0xfffffff0081f86cc: 684a41b9  ldr	w8, [x19, #0x148]
0xfffffff0081f86d0: 08050011  add	w8, w8, #1
0xfffffff0081f86d4: 684a01b9  str	w8, [x19, #0x148]
0xfffffff0081f86d8: 98fe00f0  adrp	x24, #0xfffffff00a1cb000
0xfffffff0081f86dc: 18b33491  add	x24, x24, #0xd2c
0xfffffff0081f86e0: 0820a052  mov	w8, #0x1000000
0xfffffff0081f86e4: 0803a8b8  ldadda	w8, w8, [x24]
0xfffffff0081f86e8: 095d1053  ubfx	w9, w8, #0x10, #8
0xfffffff0081f86ec: 3f61486b  cmp	w9, w8, lsr #24
0xfffffff0081f86f0: 97fe00f0  adrp	x23, #0xfffffff00a1cb000
0xfffffff0081f86f4: 01080054  b.ne	#0xfffffff0081f87f4
0xfffffff0081f86f8: 681a44b9  ldr	w8, [x19, #0x418]
0xfffffff0081f86fc: e8320db9  str	w8, [x23, #0xd30]
0xfffffff0081f8700: a8465b39  ldrb	w8, [x21, #0x6d1]
0xfffffff0081f8704: 1f050071  cmp	w8, #1
0xfffffff0081f8708: 01060054  b.ne	#0xfffffff0081f87c8
0xfffffff0081f870c: f60001d0  adrp	x22, #0xfffffff00a216000
0xfffffff0081f8710: d6022a91  add	x22, x22, #0xa80
0xfffffff0081f8714: c0220091  add	x0, x22, #8
0xfffffff0081f8718: 981b0094  bl	#0xfffffff0081ff578
0xfffffff0081f871c: c8024039  ldrb	w8, [x22]
0xfffffff0081f8720: a8031036  tbz	w8, #2, #0xfffffff0081f8794
0xfffffff0081f8724: e80001d0  adrp	x8, #0xfffffff00a216000
0xfffffff0081f8728: 14c14ab9  ldr	w20, [x8, #0xac0]
0xfffffff0081f872c: 80fe00f0  adrp	x0, #0xfffffff00a1cb000
0xfffffff0081f8730: 00903491  add	x0, x0, #0xd24
0xfffffff0081f8734: 70dbee97  bl	#0xfffffff007daf4f4
0xfffffff0081f8738: 5401f837  tbnz	w20, #0x1f, #0xfffffff0081f8760
0xfffffff0081f873c: e00314aa  mov	x0, x20
0xfffffff0081f8740: e1028052  mov	w1, #0x17
0xfffffff0081f8744: d723ff97  bl	#0xfffffff0081c16a0
0xfffffff0081f8748: 09000014  b	#0xfffffff0081f876c
0xfffffff0081f874c: fd7b43a9  ldp	x29, x30, [sp, #0x30]
0xfffffff0081f8750: f44f42a9  ldp	x20, x19, [sp, #0x20]
0xfffffff0081f8754: f65741a9  ldp	x22, x21, [sp, #0x10]
0xfffffff0081f8758: f85fc4a8  ldp	x24, x23, [sp], #0x40
0xfffffff0081f875c: ff0f5fd6  retab	
0xfffffff0081f8760: e003144b  neg	w0, w20
0xfffffff0081f8764: e1028052  mov	w1, #0x17
0xfffffff0081f8768: eb68ff97  bl	#0xfffffff0081d2b14
0xfffffff0081f876c: 684a41b9  ldr	w8, [x19, #0x148]
0xfffffff0081f8770: 08050011  add	w8, w8, #1
0xfffffff0081f8774: 684a01b9  str	w8, [x19, #0x148]
0xfffffff0081f8778: 0820a052  mov	w8, #0x1000000
0xfffffff0081f877c: 0803a8b8  ldadda	w8, w8, [x24]
0xfffffff0081f8780: 095d1053  ubfx	w9, w8, #0x10, #8
0xfffffff0081f8784: 3f61486b  cmp	w9, w8, lsr #24
0xfffffff0081f8788: 21040054  b.ne	#0xfffffff0081f880c
0xfffffff0081f878c: 681a44b9  ldr	w8, [x19, #0x418]
0xfffffff0081f8790: e8320db9  str	w8, [x23, #0xd30]
0xfffffff0081f8794: a8465b39  ldrb	w8, [x21, #0x6d1]
0xfffffff0081f8798: 1f050071  cmp	w8, #1
0xfffffff0081f879c: 61010054  b.ne	#0xfffffff0081f87c8
0xfffffff0081f87a0: e80001d0  adrp	x8, #0xfffffff00a216000
0xfffffff0081f87a4: 08016a39  ldrb	w8, [x8, #0xa80]
0xfffffff0081f87a8: 08011836  tbz	w8, #3, #0xfffffff0081f87c8
