; Candidate 16140
; ADRP+ADD at VM 0xfffffff009e28e64 (fileoff 0x2e24e64): page=0x1fd87b000 add_imm=0xe00

0xfffffff009e28de4: 097d40f9  ldr	x9, [x8, #0xf8]
0xfffffff009e28de8: 098900f9  str	x9, [x8, #0x110]
0xfffffff009e28dec: 681240f9  ldr	x8, [x19, #0x20]
0xfffffff009e28df0: 09c940f9  ldr	x9, [x8, #0x190]
0xfffffff009e28df4: 29f95992  and	x9, x9, #0xffffffbfffffffff
0xfffffff009e28df8: 09c900f9  str	x9, [x8, #0x190]
0xfffffff009e28dfc: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff009e28e00: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff009e28e04: ff0f5fd6  retab	
0xfffffff009e28e08: 7f2303d5  pacibsp	
0xfffffff009e28e0c: ffc300d1  sub	sp, sp, #0x30
0xfffffff009e28e10: f44f01a9  stp	x20, x19, [sp, #0x10]
0xfffffff009e28e14: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff009e28e18: fd830091  add	x29, sp, #0x20
0xfffffff009e28e1c: f30300aa  mov	x19, x0
0xfffffff009e28e20: 006c40f9  ldr	x0, [x0, #0xd8]
0xfffffff009e28e24: 23000094  bl	#0xfffffff009e28eb0
0xfffffff009e28e28: a0010034  cbz	w0, #0xfffffff009e28e5c
0xfffffff009e28e2c: 688240f9  ldr	x8, [x19, #0x100]
0xfffffff009e28e30: 697241b9  ldr	w9, [x19, #0x170]
0xfffffff009e28e34: e92300a9  stp	x9, x8, [sp]
0xfffffff009e28e38: c0c3fef0  adrp	x0, #0xfffffff0076a3000
0xfffffff009e28e3c: 00003891  add	x0, x0, #0xe00
0xfffffff009e28e40: 01f8feb0  adrp	x1, #0xfffffff007d29000
0xfffffff009e28e44: 216844f9  ldr	x1, [x1, #0x8d0]
0xfffffff009e28e48: c3cffe90  adrp	x3, #0xfffffff007820000
0xfffffff009e28e4c: 63f43191  add	x3, x3, #0xc7d
0xfffffff009e28e50: 02028052  mov	w2, #0x10
0xfffffff009e28e54: b7289497  bl	#0xfffffff008333130
0xfffffff009e28e58: 0b000014  b	#0xfffffff009e28e84
0xfffffff009e28e5c: 688240f9  ldr	x8, [x19, #0x100]
0xfffffff009e28e60: e80300f9  str	x8, [sp]
0xfffffff009e28e64: c0c3fef0  adrp	x0, #0xfffffff0076a3000
0xfffffff009e28e68: 00003891  add	x0, x0, #0xe00
0xfffffff009e28e6c: 01f8feb0  adrp	x1, #0xfffffff007d29000
0xfffffff009e28e70: 216844f9  ldr	x1, [x1, #0x8d0]
0xfffffff009e28e74: c3cffe90  adrp	x3, #0xfffffff007820000
0xfffffff009e28e78: 63d03291  add	x3, x3, #0xcb4
0xfffffff009e28e7c: 02028052  mov	w2, #0x10
0xfffffff009e28e80: ac289497  bl	#0xfffffff008333130
0xfffffff009e28e84: 606e40f9  ldr	x0, [x19, #0xd8]
0xfffffff009e28e88: 617e40f9  ldr	x1, [x19, #0xf8]
0xfffffff009e28e8c: 62aa40f9  ldr	x2, [x19, #0x150]
0xfffffff009e28e90: 1f000094  bl	#0xfffffff009e28f0c
0xfffffff009e28e94: 68ca40f9  ldr	x8, [x19, #0x190]
0xfffffff009e28e98: 08f95c92  and	x8, x8, #0xfffffff7ffffffff
0xfffffff009e28e9c: 68ca00f9  str	x8, [x19, #0x190]
0xfffffff009e28ea0: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff009e28ea4: f44f41a9  ldp	x20, x19, [sp, #0x10]
0xfffffff009e28ea8: ffc30091  add	sp, sp, #0x30
0xfffffff009e28eac: ff0f5fd6  retab	
0xfffffff009e28eb0: 7f2303d5  pacibsp	
0xfffffff009e28eb4: ffc300d1  sub	sp, sp, #0x30
0xfffffff009e28eb8: f44f01a9  stp	x20, x19, [sp, #0x10]
0xfffffff009e28ebc: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff009e28ec0: fd830091  add	x29, sp, #0x20
0xfffffff009e28ec4: f30300aa  mov	x19, x0
0xfffffff009e28ec8: ff0f00b9  str	wzr, [sp, #0xc]
0xfffffff009e28ecc: f3438497  bl	#0xfffffff007f39e98
0xfffffff009e28ed0: e40300aa  mov	x4, x0
0xfffffff009e28ed4: e2330091  add	x2, sp, #0xc
0xfffffff009e28ed8: e00313aa  mov	x0, x19
0xfffffff009e28edc: 01498952  mov	w1, #0x4a48
0xfffffff009e28ee0: 8100a872  movk	w1, #0x4004, lsl #16
