; Candidate 16121
; ADRP+ADD at VM 0xfffffff009e22408 (fileoff 0x2e1e408): page=0x1fd881000 add_imm=0xe00

0xfffffff009e22388: e84b00f9  str	x8, [sp, #0x90]
0xfffffff009e2238c: e1830191  add	x1, sp, #0x60
0xfffffff009e22390: e00316aa  mov	x0, x22
0xfffffff009e22394: 4f370094  bl	#0xfffffff009e300d0
0xfffffff009e22398: fa2340f9  ldr	x26, [sp, #0x40]
0xfffffff009e2239c: e81b40f9  ldr	x8, [sp, #0x30]
0xfffffff009e223a0: 80010036  tbz	w0, #0, #0xfffffff009e223d0
0xfffffff009e223a4: e03340f9  ldr	x0, [sp, #0x60]
0xfffffff009e223a8: 1f0400f1  cmp	x0, #1
0xfffffff009e223ac: a1000054  b.ne	#0xfffffff009e223c0
0xfffffff009e223b0: e00308aa  mov	x0, x8
0xfffffff009e223b4: c08eff97  bl	#0xfffffff009e05eb4
0xfffffff009e223b8: 400b0034  cbz	w0, #0xfffffff009e22520
0xfffffff009e223bc: e03340f9  ldr	x0, [sp, #0x60]
0xfffffff009e223c0: 1f0800f1  cmp	x0, #2
0xfffffff009e223c4: 42080054  b.hs	#0xfffffff009e224cc
0xfffffff009e223c8: 140080d2  mov	x20, #0
0xfffffff009e223cc: d6000014  b	#0xfffffff009e22724
0xfffffff009e223d0: c8cffed0  adrp	x8, #0xfffffff00781c000
0xfffffff009e223d4: 08690391  add	x8, x8, #0xda
0xfffffff009e223d8: e82f00f9  str	x8, [sp, #0x58]
0xfffffff009e223dc: e96340f9  ldr	x9, [sp, #0xc0]
0xfffffff009e223e0: eacffeb0  adrp	x10, #0xfffffff00781f000
0xfffffff009e223e4: 4add3191  add	x10, x10, #0xc77
0xfffffff009e223e8: 3f0100f1  cmp	x9, #0
0xfffffff009e223ec: 4901899a  csel	x9, x10, x9, eq
0xfffffff009e223f0: ea9f40b9  ldr	w10, [sp, #0x9c]
0xfffffff009e223f4: cbcffed0  adrp	x11, #0xfffffff00781c000
0xfffffff009e223f8: 6b250a91  add	x11, x11, #0x289
0xfffffff009e223fc: e8af01a9  stp	x8, x11, [sp, #0x18]
0xfffffff009e22400: faab00a9  stp	x26, x10, [sp, #8]
0xfffffff009e22404: e90300f9  str	x9, [sp]
0xfffffff009e22408: 00c4feb0  adrp	x0, #0xfffffff0076a3000
0xfffffff009e2240c: 00003891  add	x0, x0, #0xe00
0xfffffff009e22410: 21f8fef0  adrp	x1, #0xfffffff007d29000
0xfffffff009e22414: 216844f9  ldr	x1, [x1, #0x8d0]
0xfffffff009e22418: e3cffed0  adrp	x3, #0xfffffff007820000
0xfffffff009e2241c: 63581491  add	x3, x3, #0x516
0xfffffff009e22420: 02028052  mov	w2, #0x10
0xfffffff009e22424: 43439497  bl	#0xfffffff008333130
0xfffffff009e22428: 34008052  mov	w20, #1
0xfffffff009e2242c: 7f060071  cmp	w19, #1
0xfffffff009e22430: ab000054  b.lt	#0xfffffff009e22444
0xfffffff009e22434: e12b40f9  ldr	x1, [sp, #0x50]
0xfffffff009e22438: 610000b4  cbz	x1, #0xfffffff009e22444
0xfffffff009e2243c: e00313aa  mov	x0, x19
0xfffffff009e22440: eb19c397  bl	#0xfffffff008ee8bec
0xfffffff009e22444: e03740f9  ldr	x0, [sp, #0x68]
0xfffffff009e22448: 4ecaff97  bl	#0xfffffff009e14d80
0xfffffff009e2244c: ff3700f9  str	xzr, [sp, #0x68]
0xfffffff009e22450: e03b40f9  ldr	x0, [sp, #0x70]
0xfffffff009e22454: 4bcaff97  bl	#0xfffffff009e14d80
0xfffffff009e22458: ff3b00f9  str	xzr, [sp, #0x70]
0xfffffff009e2245c: e03f40f9  ldr	x0, [sp, #0x78]
0xfffffff009e22460: 48caff97  bl	#0xfffffff009e14d80
0xfffffff009e22464: ff3f00f9  str	xzr, [sp, #0x78]
0xfffffff009e22468: e05740f9  ldr	x0, [sp, #0xa8]
0xfffffff009e2246c: 20030094  bl	#0xfffffff009e230ec
0xfffffff009e22470: e05f40f9  ldr	x0, [sp, #0xb8]
0xfffffff009e22474: 43caff97  bl	#0xfffffff009e14d80
0xfffffff009e22478: ff5f00f9  str	xzr, [sp, #0xb8]
0xfffffff009e2247c: e06340f9  ldr	x0, [sp, #0xc0]
0xfffffff009e22480: 40caff97  bl	#0xfffffff009e14d80
0xfffffff009e22484: ff6300f9  str	xzr, [sp, #0xc0]
