; Candidate 9147
; ADRP+ADD at VM 0xfffffff0089fd8d0 (fileoff 0x19f98d0): page=0x1ff04c000 add_imm=0xe50

0xfffffff0089fd850: 150140f9  ldr	x21, [x8]
0xfffffff0089fd854: 00a840f9  ldr	x0, [x0, #0x150]
0xfffffff0089fd858: 9db8ce97  bl	#0xfffffff007dabacc
0xfffffff0089fd85c: 697240f9  ldr	x9, [x19, #0xe0]
0xfffffff0089fd860: 68da40b9  ldr	w8, [x19, #0xd8]
0xfffffff0089fd864: 3f0100f1  cmp	x9, #0
0xfffffff0089fd868: 0009407a  ccmp	w8, #0, #0, eq
0xfffffff0089fd86c: 80020054  b.eq	#0xfffffff0089fd8bc
0xfffffff0089fd870: e8d701a9  stp	x8, x21, [sp, #0x18]
0xfffffff0089fd874: 694e8052  mov	w9, #0x273
0xfffffff0089fd878: c844ffb0  adrp	x8, #0xfffffff007296000
0xfffffff0089fd87c: 08352191  add	x8, x8, #0x84d
0xfffffff0089fd880: e8a700a9  stp	x8, x9, [sp, #8]
0xfffffff0089fd884: f60300f9  str	x22, [sp]
0xfffffff0089fd888: a044fff0  adrp	x0, #0xfffffff007294000
0xfffffff0089fd88c: 00400c91  add	x0, x0, #0x310
0xfffffff0089fd890: 4182ffd0  adrp	x1, #0xfffffff007a47000
0xfffffff0089fd894: 214047f9  ldr	x1, [x1, #0xe80]
0xfffffff0089fd898: c344ffd0  adrp	x3, #0xfffffff007297000
0xfffffff0089fd89c: 63ac2c91  add	x3, x3, #0xb2b
0xfffffff0089fd8a0: 02028052  mov	w2, #0x10
0xfffffff0089fd8a4: 23d6e497  bl	#0xfffffff008333130
0xfffffff0089fd8a8: 77da40b9  ldr	w23, [x19, #0xd8]
0xfffffff0089fd8ac: a8578052  mov	w8, #0x2bd
0xfffffff0089fd8b0: 0800bc72  movk	w8, #0xe000, lsl #16
0xfffffff0089fd8b4: 15310011  add	w21, w8, #0xc
0xfffffff0089fd8b8: 3f000014  b	#0xfffffff0089fd9b4
0xfffffff0089fd8bc: bfee0371  cmp	w21, #0xfb
0xfffffff0089fd8c0: 02090054  b.hs	#0xfffffff0089fd9e0
0xfffffff0089fd8c4: b77e4092  and	x23, x21, #0xffffffff
0xfffffff0089fd8c8: 75da00b9  str	w21, [x19, #0xd8]
0xfffffff0089fd8cc: e1f27dd3  lsl	x1, x23, #3
0xfffffff0089fd8d0: 6082ff90  adrp	x0, #0xfffffff007a49000
0xfffffff0089fd8d4: 00403991  add	x0, x0, #0xe50
0xfffffff0089fd8d8: 3e65e597  bl	#0xfffffff008356dd0
0xfffffff0089fd8dc: 617240f9  ldr	x1, [x19, #0xe0]
0xfffffff0089fd8e0: 68ea40b9  ldr	w8, [x19, #0xe8]
0xfffffff0089fd8e4: 607200f9  str	x0, [x19, #0xe0]
0xfffffff0089fd8e8: 75ea00b9  str	w21, [x19, #0xe8]
0xfffffff0089fd8ec: c10000b4  cbz	x1, #0xfffffff0089fd904
0xfffffff0089fd8f0: 02f17dd3  lsl	x2, x8, #3
0xfffffff0089fd8f4: 6082ff90  adrp	x0, #0xfffffff007a49000
0xfffffff0089fd8f8: 00403991  add	x0, x0, #0xe50
0xfffffff0089fd8fc: 3b65e597  bl	#0xfffffff008356de8
0xfffffff0089fd900: 607240f9  ldr	x0, [x19, #0xe0]
0xfffffff0089fd904: 400200b4  cbz	x0, #0xfffffff0089fd94c
0xfffffff0089fd908: 69da40b9  ldr	w9, [x19, #0xd8]
0xfffffff0089fd90c: ca508052  mov	w10, #0x286
0xfffffff0089fd910: f5a701a9  stp	x21, x9, [sp, #0x18]
0xfffffff0089fd914: c844ffb0  adrp	x8, #0xfffffff007296000
0xfffffff0089fd918: 08352191  add	x8, x8, #0x84d
0xfffffff0089fd91c: e8ab00a9  stp	x8, x10, [sp, #8]
0xfffffff0089fd920: f60300f9  str	x22, [sp]
0xfffffff0089fd924: a044fff0  adrp	x0, #0xfffffff007294000
0xfffffff0089fd928: 00400c91  add	x0, x0, #0x310
0xfffffff0089fd92c: 4182ffd0  adrp	x1, #0xfffffff007a47000
0xfffffff0089fd930: 214047f9  ldr	x1, [x1, #0xe80]
0xfffffff0089fd934: c344ffd0  adrp	x3, #0xfffffff007297000
0xfffffff0089fd938: 63642e91  add	x3, x3, #0xb99
0xfffffff0089fd93c: 02008052  mov	w2, #0
0xfffffff0089fd940: fcd5e497  bl	#0xfffffff008333130
0xfffffff0089fd944: 15008052  mov	w21, #0
0xfffffff0089fd948: 1b000014  b	#0xfffffff0089fd9b4
0xfffffff0089fd94c: b5578052  mov	w21, #0x2bd
