; Candidate 8532
; ADRP+ADD at VM 0xfffffff0088b002c (fileoff 0x18ac02c): page=0x1fe939000 add_imm=0xe80

0xfffffff0088affac: 080b00f9  str	x8, [x24, #0x10]
0xfffffff0088affb0: 88060011  add	w8, w20, #1
0xfffffff0088affb4: 49008052  mov	w9, #2
0xfffffff0088affb8: 08270329  stp	w8, w9, [x24, #0x18]
0xfffffff0088affbc: 28008052  mov	w8, #1
0xfffffff0088affc0: 24000014  b	#0xfffffff0088b0050
0xfffffff0088affc4: 19008052  mov	w25, #0
0xfffffff0088affc8: 1f0b00b9  str	wzr, [x24, #8]
0xfffffff0088affcc: 1f5300b9  str	wzr, [x24, #0x50]
0xfffffff0088affd0: 00e6072f  movi	d0, #0xffffffff00000000
0xfffffff0088affd4: 46000014  b	#0xfffffff0088b00ec
0xfffffff0088affd8: 75100094  bl	#0xfffffff0088b41ac
0xfffffff0088affdc: f90300aa  mov	x25, x0
0xfffffff0088affe0: 80008052  mov	w0, #4
0xfffffff0088affe4: 1b2eff97  bl	#0xfffffff00887b850
0xfffffff0088affe8: f76305a9  stp	x23, x24, [sp, #0x50]
0xfffffff0088affec: e80316aa  mov	x8, x22
0xfffffff0088afff0: e90315aa  mov	x9, x21
0xfffffff0088afff4: e92304a9  stp	x9, x8, [sp, #0x40]
0xfffffff0088afff8: e80314aa  mov	x8, x20
0xfffffff0088afffc: f32303a9  stp	x19, x8, [sp, #0x30]
0xfffffff0088b0000: 284cff90  adrp	x8, #0xfffffff007234000
0xfffffff0088b0004: 08f90791  add	x8, x8, #0x1fe
0xfffffff0088b0008: e9ed8052  mov	w9, #0x76f
0xfffffff0088b000c: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0088b0010: 284cff90  adrp	x8, #0xfffffff007234000
0xfffffff0088b0014: 085d0f91  add	x8, x8, #0x3d7
0xfffffff0088b0018: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088b001c: c80f8052  mov	w8, #0x7e
0xfffffff0088b0020: a34dff90  adrp	x3, #0xfffffff007264000
0xfffffff0088b0024: 63b81191  add	x3, x3, #0x46e
0xfffffff0088b0028: f92300a9  stp	x25, x8, [sp]
0xfffffff0088b002c: c049ffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088b0030: 00003a91  add	x0, x0, #0xe80
0xfffffff0088b0034: c18aff90  adrp	x1, #0xfffffff007a08000
0xfffffff0088b0038: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088b003c: 02008052  mov	w2, #0
0xfffffff0088b0040: 3c0cea97  bl	#0xfffffff008333130
0xfffffff0088b0044: 197d8012  mov	w25, #-0x3e9
0xfffffff0088b0048: 2a000014  b	#0xfffffff0088b00f0
0xfffffff0088b004c: 08008052  mov	w8, #0
0xfffffff0088b0050: 19008052  mov	w25, #0
0xfffffff0088b0054: 080b00b9  str	w8, [x24, #8]
0xfffffff0088b0058: 28008052  mov	w8, #1
0xfffffff0088b005c: 085300b9  str	w8, [x24, #0x50]
0xfffffff0088b0060: 680600d1  sub	x8, x19, #1
0xfffffff0088b0064: 082f00f9  str	x8, [x24, #0x58]
0xfffffff0088b0068: 88060051  sub	w8, w20, #1
0xfffffff0088b006c: 49008052  mov	w9, #2
0xfffffff0088b0070: 08270c29  stp	w8, w9, [x24, #0x60]
0xfffffff0088b0074: 1c000014  b	#0xfffffff0088b00e4
0xfffffff0088b0078: e81240b9  ldr	w8, [x23, #0x10]
0xfffffff0088b007c: 8802084b  sub	w8, w20, w8
0xfffffff0088b0080: 1f050071  cmp	w8, #1
0xfffffff0088b0084: 61000054  b.ne	#0xfffffff0088b0090
0xfffffff0088b0088: 1f5300b9  str	wzr, [x24, #0x50]
0xfffffff0088b008c: 15000014  b	#0xfffffff0088b00e0
0xfffffff0088b0090: 09791f12  and	w9, w8, #0xfffffffe
0xfffffff0088b0094: 680600d1  sub	x8, x19, #1
0xfffffff0088b0098: 3f090071  cmp	w9, #2
0xfffffff0088b009c: e1000054  b.ne	#0xfffffff0088b00b8
0xfffffff0088b00a0: 29008052  mov	w9, #1
0xfffffff0088b00a4: 095300b9  str	w9, [x24, #0x50]
0xfffffff0088b00a8: 082f00f9  str	x8, [x24, #0x58]
