; Candidate 8391
; ADRP+ADD at VM 0xfffffff0088a83fc (fileoff 0x18a43fc): page=0x1fe941000 add_imm=0xe80

0xfffffff0088a837c: f70300aa  mov	x23, x0
0xfffffff0088a8380: e00316aa  mov	x0, x22
0xfffffff0088a8384: 334dff97  bl	#0xfffffff00887b850
0xfffffff0088a8388: e93b40f9  ldr	x9, [sp, #0x70]
0xfffffff0088a838c: 2b0140b9  ldr	w11, [x9]
0xfffffff0088a8390: 291540b9  ldr	w9, [x9, #0x14]
0xfffffff0088a8394: ea430291  add	x10, sp, #0x90
0xfffffff0088a8398: e92b03a9  stp	x9, x10, [sp, #0x30]
0xfffffff0088a839c: e84740f9  ldr	x8, [sp, #0x88]
0xfffffff0088a83a0: e82f02a9  stp	x8, x11, [sp, #0x20]
0xfffffff0088a83a4: a88302d1  sub	x8, x29, #0xa0
0xfffffff0088a83a8: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088a83ac: e80314aa  mov	x8, x20
0xfffffff0088a83b0: f72300a9  stp	x23, x8, [sp]
0xfffffff0088a83b4: 004affb0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088a83b8: 00003a91  add	x0, x0, #0xe80
0xfffffff0088a83bc: 018bff90  adrp	x1, #0xfffffff007a08000
0xfffffff0088a83c0: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088a83c4: c34dffd0  adrp	x3, #0xfffffff007262000
0xfffffff0088a83c8: 63e03691  add	x3, x3, #0xdb8
0xfffffff0088a83cc: 02008052  mov	w2, #0
0xfffffff0088a83d0: 582bea97  bl	#0xfffffff008333130
0xfffffff0088a83d4: 12000014  b	#0xfffffff0088a841c
0xfffffff0088a83d8: e93b40f9  ldr	x9, [sp, #0x70]
0xfffffff0088a83dc: 2b0140b9  ldr	w11, [x9]
0xfffffff0088a83e0: 291540b9  ldr	w9, [x9, #0x14]
0xfffffff0088a83e4: ea430291  add	x10, sp, #0x90
0xfffffff0088a83e8: e9ab01a9  stp	x9, x10, [sp, #0x18]
0xfffffff0088a83ec: a88302d1  sub	x8, x29, #0xa0
0xfffffff0088a83f0: e94740f9  ldr	x9, [sp, #0x88]
0xfffffff0088a83f4: e9af00a9  stp	x9, x11, [sp, #8]
0xfffffff0088a83f8: e80300f9  str	x8, [sp]
0xfffffff0088a83fc: 004affb0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088a8400: 00003a91  add	x0, x0, #0xe80
0xfffffff0088a8404: 018bff90  adrp	x1, #0xfffffff007a08000
0xfffffff0088a8408: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088a840c: c34dffd0  adrp	x3, #0xfffffff007262000
0xfffffff0088a8410: 63743691  add	x3, x3, #0xd9d
0xfffffff0088a8414: 02008052  mov	w2, #0
0xfffffff0088a8418: 462bea97  bl	#0xfffffff008333130
0xfffffff0088a841c: e83b40f9  ldr	x8, [sp, #0x70]
0xfffffff0088a8420: 080140b9  ldr	w8, [x8]
0xfffffff0088a8424: 1f050071  cmp	w8, #1
0xfffffff0088a8428: 2b120054  b.lt	#0xfffffff0088a866c
0xfffffff0088a842c: 1c0080d2  mov	x28, #0
0xfffffff0088a8430: e803134b  neg	w8, w19
0xfffffff0088a8434: 08011b12  and	w8, w8, #0x20
0xfffffff0088a8438: e87f00b9  str	w8, [sp, #0x7c]
0xfffffff0088a843c: e80314aa  mov	x8, x20
0xfffffff0088a8440: e84300f9  str	x8, [sp, #0x80]
0xfffffff0088a8444: e84740f9  ldr	x8, [sp, #0x88]
0xfffffff0088a8448: 08111c8b  add	x8, x8, x28, lsl #4
0xfffffff0088a844c: 09e19c52  mov	w9, #0xe708
0xfffffff0088a8450: 1901098b  add	x25, x8, x9
0xfffffff0088a8454: e00319aa  mov	x0, x25
0xfffffff0088a8458: f41efe97  bl	#0xfffffff008830028
0xfffffff0088a845c: fa0300aa  mov	x26, x0
0xfffffff0088a8460: e00319aa  mov	x0, x25
0xfffffff0088a8464: 061ffe97  bl	#0xfffffff00883007c
0xfffffff0088a8468: 5f0300eb  cmp	x26, x0
0xfffffff0088a846c: 600f0054  b.eq	#0xfffffff0088a8658
0xfffffff0088a8470: f7031caa  mov	x23, x28
0xfffffff0088a8474: 481340b9  ldr	w8, [x26, #0x10]
0xfffffff0088a8478: 1f050071  cmp	w8, #1
