; Candidate 6950
; ADRP+ADD at VM 0xfffffff00884c340 (fileoff 0x1848340): page=0x1fe99d000 add_imm=0xe80

0xfffffff00884c2c0: f501f837  tbnz	w21, #0x1f, #0xfffffff00884c2fc
0xfffffff00884c2c4: ba021b12  and	w26, w21, #0x20
0xfffffff00884c2c8: 1b000052  eor	w27, w0, #1
0xfffffff00884c2cc: b89f0194  bl	#0xfffffff0088b41ac
0xfffffff00884c2d0: f90300aa  mov	x25, x0
0xfffffff00884c2d4: e00318aa  mov	x0, x24
0xfffffff00884c2d8: 5ebd0094  bl	#0xfffffff00887b850
0xfffffff00884c2dc: 68175a2a  orr	w8, w27, w26, lsr #5
0xfffffff00884c2e0: 08020037  tbnz	w8, #0, #0xfffffff00884c320
0xfffffff00884c2e4: c80240f9  ldr	x8, [x22]
0xfffffff00884c2e8: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00884c2ec: f95f00a9  stp	x25, x23, [sp]
0xfffffff00884c2f0: c04effb0  adrp	x0, #0xfffffff007225000
0xfffffff00884c2f4: 00183391  add	x0, x0, #0xcc6
0xfffffff00884c2f8: 08000014  b	#0xfffffff00884c318
0xfffffff00884c2fc: 40030034  cbz	w0, #0xfffffff00884c364
0xfffffff00884c300: e803154b  neg	w8, w21
0xfffffff00884c304: 08032837  tbnz	w8, #5, #0xfffffff00884c364
0xfffffff00884c308: c80240f9  ldr	x8, [x22]
0xfffffff00884c30c: e80300f9  str	x8, [sp]
0xfffffff00884c310: c04effb0  adrp	x0, #0xfffffff007225000
0xfffffff00884c314: 00c43291  add	x0, x0, #0xcb1
0xfffffff00884c318: 52acd597  bl	#0xfffffff007db7460
0xfffffff00884c31c: 1c000014  b	#0xfffffff00884c38c
0xfffffff00884c320: a39f0194  bl	#0xfffffff0088b41ac
0xfffffff00884c324: f90300aa  mov	x25, x0
0xfffffff00884c328: e00318aa  mov	x0, x24
0xfffffff00884c32c: 49bd0094  bl	#0xfffffff00887b850
0xfffffff00884c330: c80240f9  ldr	x8, [x22]
0xfffffff00884c334: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00884c338: e80317aa  mov	x8, x23
0xfffffff00884c33c: f92300a9  stp	x25, x8, [sp]
0xfffffff00884c340: e04cffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff00884c344: 00003a91  add	x0, x0, #0xe80
0xfffffff00884c348: e18dff90  adrp	x1, #0xfffffff007a08000
0xfffffff00884c34c: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00884c350: 2350ffb0  adrp	x3, #0xfffffff007251000
0xfffffff00884c354: 63e03491  add	x3, x3, #0xd38
0xfffffff00884c358: 02008052  mov	w2, #0
0xfffffff00884c35c: 759beb97  bl	#0xfffffff008333130
0xfffffff00884c360: 0b000014  b	#0xfffffff00884c38c
0xfffffff00884c364: c80240f9  ldr	x8, [x22]
0xfffffff00884c368: e80300f9  str	x8, [sp]
0xfffffff00884c36c: e04cffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff00884c370: 00003a91  add	x0, x0, #0xe80
0xfffffff00884c374: e18dff90  adrp	x1, #0xfffffff007a08000
0xfffffff00884c378: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00884c37c: 2350ffb0  adrp	x3, #0xfffffff007251000
0xfffffff00884c380: 63903491  add	x3, x3, #0xd24
0xfffffff00884c384: 02008052  mov	w2, #0
0xfffffff00884c388: 6a9beb97  bl	#0xfffffff008333130
0xfffffff00884c38c: e00317aa  mov	x0, x23
0xfffffff00884c390: e10315aa  mov	x1, x21
0xfffffff00884c394: a8feff97  bl	#0xfffffff00884be34
0xfffffff00884c398: d80240f9  ldr	x24, [x22]
0xfffffff00884c39c: c80a80b9  ldrsw	x8, [x22, #8]
0xfffffff00884c3a0: 080308eb  subs	x8, x24, x8
0xfffffff00884c3a4: f9b3889a  csel	x25, xzr, x8, lt
0xfffffff00884c3a8: 1f0319eb  cmp	x24, x25
0xfffffff00884c3ac: 0d030054  b.le	#0xfffffff00884c40c
0xfffffff00884c3b0: 1a008052  mov	w26, #0
0xfffffff00884c3b4: 1b0c8052  mov	w27, #0x60
0xfffffff00884c3b8: 180700d1  sub	x24, x24, #1
0xfffffff00884c3bc: c80a80b9  ldrsw	x8, [x22, #8]
