; Candidate 11324
; ADRP+ADD at VM 0xfffffff008ef1378 (fileoff 0x1eed378): page=0x1fe519000 add_imm=0xdc0

0xfffffff008ef12f8: 2061ff90  adrp	x0, #0xfffffff007b15000
0xfffffff008ef12fc: 00002791  add	x0, x0, #0x9c0
0xfffffff008ef1300: 7d94d197  bl	#0xfffffff0083564f4
0xfffffff008ef1304: 28008052  mov	w8, #1
0xfffffff008ef1308: 1f7c01a9  stp	xzr, xzr, [x0, #0x10]
0xfffffff008ef130c: 1061fff0  adrp	x16, #0xfffffff007b14000
0xfffffff008ef1310: 10822a91  add	x16, x16, #0xaa0
0xfffffff008ef1314: 10420091  add	x16, x16, #0x10
0xfffffff008ef1318: f10300aa  mov	x17, x0
0xfffffff008ef131c: 31f3f1f2  movk	x17, #0x8f99, lsl #48
0xfffffff008ef1320: 300ac1da  pacda	x16, x17
0xfffffff008ef1324: 102000a9  stp	x16, x8, [x0]
0xfffffff008ef1328: e80f40f9  ldr	x8, [sp, #0x18]
0xfffffff008ef132c: 081000f9  str	x8, [x0, #0x20]
0xfffffff008ef1330: e82340b9  ldr	w8, [sp, #0x20]
0xfffffff008ef1334: 082800b9  str	w8, [x0, #0x28]
0xfffffff008ef1338: 9f7e00a9  stp	xzr, xzr, [x20]
0xfffffff008ef133c: 9f0201a9  stp	xzr, x0, [x20, #0x10]
0xfffffff008ef1340: e81740f9  ldr	x8, [sp, #0x28]
0xfffffff008ef1344: 0961ff90  adrp	x9, #0xfffffff007b11000
0xfffffff008ef1348: 294143f9  ldr	x9, [x9, #0x680]
0xfffffff008ef134c: 290140f9  ldr	x9, [x9]
0xfffffff008ef1350: 3f0108eb  cmp	x9, x8
0xfffffff008ef1354: e1010054  b.ne	#0xfffffff008ef1390
0xfffffff008ef1358: fd7b45a9  ldp	x29, x30, [sp, #0x50]
0xfffffff008ef135c: f44f44a9  ldp	x20, x19, [sp, #0x40]
0xfffffff008ef1360: f65743a9  ldp	x22, x21, [sp, #0x30]
0xfffffff008ef1364: ff830191  add	sp, sp, #0x60
0xfffffff008ef1368: ff0f5fd6  retab	
0xfffffff008ef136c: c028ffb0  adrp	x0, #0xfffffff00740a000
0xfffffff008ef1370: 00c03d91  add	x0, x0, #0xf70
0xfffffff008ef1374: e8000094  bl	#0xfffffff008ef1714
0xfffffff008ef1378: c028ffb0  adrp	x0, #0xfffffff00740a000
0xfffffff008ef137c: 00003791  add	x0, x0, #0xdc0
0xfffffff008ef1380: e5000094  bl	#0xfffffff008ef1714
0xfffffff008ef1384: 8028fff0  adrp	x0, #0xfffffff007404000
0xfffffff008ef1388: 00000891  add	x0, x0, #0x200
0xfffffff008ef138c: e2000094  bl	#0xfffffff008ef1714
0xfffffff008ef1390: afb2b997  bl	#0xfffffff007d5de4c
0xfffffff008ef1394: c028ffb0  adrp	x0, #0xfffffff00740a000
0xfffffff008ef1398: 006c2f91  add	x0, x0, #0xbdb
0xfffffff008ef139c: de000094  bl	#0xfffffff008ef1714
0xfffffff008ef13a0: 7f2303d5  pacibsp	
0xfffffff008ef13a4: ff4304d1  sub	sp, sp, #0x110
0xfffffff008ef13a8: fc6f0ca9  stp	x28, x27, [sp, #0xc0]
0xfffffff008ef13ac: f85f0da9  stp	x24, x23, [sp, #0xd0]
0xfffffff008ef13b0: f6570ea9  stp	x22, x21, [sp, #0xe0]
0xfffffff008ef13b4: f44f0fa9  stp	x20, x19, [sp, #0xf0]
0xfffffff008ef13b8: fd7b10a9  stp	x29, x30, [sp, #0x100]
0xfffffff008ef13bc: fd030491  add	x29, sp, #0x100
0xfffffff008ef13c0: f30300aa  mov	x19, x0
0xfffffff008ef13c4: 680040b9  ldr	w8, [x3]
0xfffffff008ef13c8: 48010034  cbz	w8, #0xfffffff008ef13f0
0xfffffff008ef13cc: 00e4006f  movi	v0.2d, #0000000000000000
0xfffffff008ef13d0: 600200ad  stp	q0, q0, [x19]
0xfffffff008ef13d4: 7f2200b9  str	wzr, [x19, #0x20]
0xfffffff008ef13d8: c8008052  mov	w8, #6
0xfffffff008ef13dc: 680200b9  str	w8, [x19]
0xfffffff008ef13e0: c828ffb0  adrp	x8, #0xfffffff00740a000
0xfffffff008ef13e4: 082d1c91  add	x8, x8, #0x70b
0xfffffff008ef13e8: 89058052  mov	w9, #0x2c
0xfffffff008ef13ec: 81000014  b	#0xfffffff008ef15f0
0xfffffff008ef13f0: f40302aa  mov	x20, x2
0xfffffff008ef13f4: 400040f9  ldr	x0, [x2]
