; Candidate 14241
; ADRP+ADD at VM 0xfffffff0097586b8 (fileoff 0x27546b8): page=0xc33000 add_imm=0xea8

0xfffffff009758638: 03000014  b	#0xfffffff009758644
0xfffffff00975863c: e00316aa  mov	x0, x22
0xfffffff009758640: 6bc4b097  bl	#0xfffffff0083897ec
0xfffffff009758644: 976100f0  adrp	x23, #0xfffffff00a38b000
0xfffffff009758648: f7a23a91  add	x23, x23, #0xea8
0xfffffff00975864c: e10317aa  mov	x1, x23
0xfffffff009758650: a92dae97  bl	#0xfffffff0082e3cf4
0xfffffff009758654: f50300aa  mov	x21, x0
0xfffffff009758658: d00240f9  ldr	x16, [x22]
0xfffffff00975865c: f10316aa  mov	x17, x22
0xfffffff009758660: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009758664: 301ac1da  autda	x16, x17
0xfffffff009758668: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff00975866c: e90310aa  mov	x9, x16
0xfffffff009758670: e00316aa  mov	x0, x22
0xfffffff009758674: f10309aa  mov	x17, x9
0xfffffff009758678: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff00975867c: 11093fd7  blraa	x8, x17
0xfffffff009758680: e00317aa  mov	x0, x23
0xfffffff009758684: b530ae97  bl	#0xfffffff0082e4958
0xfffffff009758688: 550500b4  cbz	x21, #0xfffffff009758730
0xfffffff00975868c: b00240f9  ldr	x16, [x21]
0xfffffff009758690: f10315aa  mov	x17, x21
0xfffffff009758694: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009758698: 301ac1da  autda	x16, x17
0xfffffff00975869c: 088e43f8  ldr	x8, [x16, #0x38]!
0xfffffff0097586a0: e90310aa  mov	x9, x16
0xfffffff0097586a4: e00315aa  mov	x0, x21
0xfffffff0097586a8: f10309aa  mov	x17, x9
0xfffffff0097586ac: 91fffff2  movk	x17, #0xfffc, lsl #48
0xfffffff0097586b0: 11093fd7  blraa	x8, x17
0xfffffff0097586b4: a930ae97  bl	#0xfffffff0082e4958
0xfffffff0097586b8: 806100f0  adrp	x0, #0xfffffff00a38b000
0xfffffff0097586bc: 00a03a91  add	x0, x0, #0xea8
0xfffffff0097586c0: a630ae97  bl	#0xfffffff0082e4958
0xfffffff0097586c4: f60300aa  mov	x22, x0
0xfffffff0097586c8: e00314aa  mov	x0, x20
0xfffffff0097586cc: 04010094  bl	#0xfffffff009758adc
0xfffffff0097586d0: f40300aa  mov	x20, x0
0xfffffff0097586d4: b00240f9  ldr	x16, [x21]
0xfffffff0097586d8: f10315aa  mov	x17, x21
0xfffffff0097586dc: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0097586e0: 301ac1da  autda	x16, x17
0xfffffff0097586e4: 088e43f8  ldr	x8, [x16, #0x38]!
0xfffffff0097586e8: e90310aa  mov	x9, x16
0xfffffff0097586ec: e00315aa  mov	x0, x21
0xfffffff0097586f0: f10309aa  mov	x17, x9
0xfffffff0097586f4: 91fffff2  movk	x17, #0xfffc, lsl #48
0xfffffff0097586f8: 11093fd7  blraa	x8, x17
0xfffffff0097586fc: 9730ae97  bl	#0xfffffff0082e4958
0xfffffff009758700: f38301a9  stp	x19, x0, [sp, #0x18]
0xfffffff009758704: f8d300a9  stp	x24, x20, [sp, #8]
0xfffffff009758708: f60300f9  str	x22, [sp]
0xfffffff00975870c: 80f1fef0  adrp	x0, #0xfffffff00758b000
0xfffffff009758710: 00802191  add	x0, x0, #0x860
0xfffffff009758714: e125ffd0  adrp	x1, #0xfffffff007c16000
0xfffffff009758718: 21b842f9  ldr	x1, [x1, #0x570]
0xfffffff00975871c: 63f2fef0  adrp	x3, #0xfffffff0075a7000
0xfffffff009758720: 63342491  add	x3, x3, #0x90d
0xfffffff009758724: 02008052  mov	w2, #0
0xfffffff009758728: 826aaf97  bl	#0xfffffff008333130
0xfffffff00975872c: 12000014  b	#0xfffffff009758774
0xfffffff009758730: 806100f0  adrp	x0, #0xfffffff00a38b000
0xfffffff009758734: 00a03a91  add	x0, x0, #0xea8
