; Candidate 10945
; ADRP+ADD at VM 0xfffffff008dedffc (fileoff 0x1de9ffc): page=0x1fe5d7000 add_imm=0xe15

0xfffffff008dedf7c: 857abd97  bl	#0xfffffff007d4c990
0xfffffff008dedf80: 14008052  mov	w20, #0
0xfffffff008dedf84: 7b0200f9  str	x27, [x19]
0xfffffff008dedf88: 48018052  mov	w8, #0xa
0xfffffff008dedf8c: 49034039  ldrb	w9, [x26]
0xfffffff008dedf90: 1f01096b  cmp	w8, w9
0xfffffff008dedf94: e3000054  b.lo	#0xfffffff008dedfb0
0xfffffff008dedf98: 887e4093  sxtw	x8, w20
0xfffffff008dedf9c: f96300a9  stp	x25, x24, [sp]
0xfffffff008dedfa0: e80b00f9  str	x8, [sp, #0x10]
0xfffffff008dedfa4: a02efff0  adrp	x0, #0xfffffff0073c4000
0xfffffff008dedfa8: 00503591  add	x0, x0, #0xd54
0xfffffff008dedfac: 1da4d597  bl	#0xfffffff008357020
0xfffffff008dedfb0: e00314aa  mov	x0, x20
0xfffffff008dedfb4: fd7b48a9  ldp	x29, x30, [sp, #0x80]
0xfffffff008dedfb8: f44f47a9  ldp	x20, x19, [sp, #0x70]
0xfffffff008dedfbc: f65746a9  ldp	x22, x21, [sp, #0x60]
0xfffffff008dedfc0: f85f45a9  ldp	x24, x23, [sp, #0x50]
0xfffffff008dedfc4: fa6744a9  ldp	x26, x25, [sp, #0x40]
0xfffffff008dedfc8: fc6f43a9  ldp	x28, x27, [sp, #0x30]
0xfffffff008dedfcc: ff430291  add	sp, sp, #0x90
0xfffffff008dedfd0: ff0f5fd6  retab	
0xfffffff008dedfd4: 28068052  mov	w8, #0x31
0xfffffff008dedfd8: a92effd0  adrp	x9, #0xfffffff0073c3000
0xfffffff008dedfdc: 29e53591  add	x9, x9, #0xd79
0xfffffff008dedfe0: e9a301a9  stp	x9, x8, [sp, #0x18]
0xfffffff008dedfe4: a82efff0  adrp	x8, #0xfffffff0073c4000
0xfffffff008dedfe8: 08493991  add	x8, x8, #0xe52
0xfffffff008dedfec: aa2effd0  adrp	x10, #0xfffffff0073c3000
0xfffffff008dedff0: 4ac13591  add	x10, x10, #0xd70
0xfffffff008dedff4: ffa300a9  stp	xzr, x8, [sp, #8]
0xfffffff008dedff8: ea0300f9  str	x10, [sp]
0xfffffff008dedffc: a02efff0  adrp	x0, #0xfffffff0073c4000
0xfffffff008dee000: 00543891  add	x0, x0, #0xe15
0xfffffff008dee004: 07a4d597  bl	#0xfffffff008357020
0xfffffff008dee008: 54008012  mov	w20, #-3
0xfffffff008dee00c: 29000014  b	#0xfffffff008dee0b0
0xfffffff008dee010: ca068052  mov	w10, #0x36
0xfffffff008dee014: a82effb0  adrp	x8, #0xfffffff0073c3000
0xfffffff008dee018: 08e53591  add	x8, x8, #0xd79
0xfffffff008dee01c: a92effd0  adrp	x9, #0xfffffff0073c4000
0xfffffff008dee020: 29493991  add	x9, x9, #0xe52
0xfffffff008dee024: e8ab01a9  stp	x8, x10, [sp, #0x18]
0xfffffff008dee028: e90b00f9  str	x9, [sp, #0x10]
0xfffffff008dee02c: a82effb0  adrp	x8, #0xfffffff0073c3000
0xfffffff008dee030: 08553791  add	x8, x8, #0xdd5
0xfffffff008dee034: 19000014  b	#0xfffffff008dee098
0xfffffff008dee038: e8068052  mov	w8, #0x37
0xfffffff008dee03c: a92effb0  adrp	x9, #0xfffffff0073c3000
0xfffffff008dee040: 29e53591  add	x9, x9, #0xd79
0xfffffff008dee044: e9a301a9  stp	x9, x8, [sp, #0x18]
0xfffffff008dee048: a82effd0  adrp	x8, #0xfffffff0073c4000
0xfffffff008dee04c: 08493991  add	x8, x8, #0xe52
0xfffffff008dee050: aa2effb0  adrp	x10, #0xfffffff0073c3000
0xfffffff008dee054: 4a853891  add	x10, x10, #0xe21
0xfffffff008dee058: ffa300a9  stp	xzr, x8, [sp, #8]
0xfffffff008dee05c: ea0300f9  str	x10, [sp]
0xfffffff008dee060: a02effd0  adrp	x0, #0xfffffff0073c4000
0xfffffff008dee064: 00543891  add	x0, x0, #0xe15
0xfffffff008dee068: eea3d597  bl	#0xfffffff008357020
0xfffffff008dee06c: 74028012  mov	w20, #-0x14
0xfffffff008dee070: 10000014  b	#0xfffffff008dee0b0
0xfffffff008dee074: 6a078052  mov	w10, #0x3b
0xfffffff008dee078: a82effb0  adrp	x8, #0xfffffff0073c3000
