; Candidate 2661
; ADRP+ADD at VM 0xfffffff0086d895c (fileoff 0x16d495c): page=0x1fea59000 add_imm=0xd90

0xfffffff0086d88dc: 6b7d0a53  lsr	w11, w11, #0xa
0xfffffff0086d88e0: 68551633  bfi	w8, w11, #0xa, #0x16
0xfffffff0086d88e4: 48f102b9  str	w8, [x10, #0x2f0]
0xfffffff0086d88e8: 880240f9  ldr	x8, [x20]
0xfffffff0086d88ec: 0af942b9  ldr	w10, [x8, #0x2f8]
0xfffffff0086d88f0: eb0309aa  mov	x11, x9
0xfffffff0086d88f4: 4b150033  bfxil	w11, w10, #0, #6
0xfffffff0086d88f8: 0bf902b9  str	w11, [x8, #0x2f8]
0xfffffff0086d88fc: 28fd60d3  lsr	x8, x9, #0x20
0xfffffff0086d8900: 890240f9  ldr	x9, [x20]
0xfffffff0086d8904: 2afd42b9  ldr	w10, [x9, #0x2fc]
0xfffffff0086d8908: 4a7d0a53  lsr	w10, w10, #0xa
0xfffffff0086d890c: 48551633  bfi	w8, w10, #0xa, #0x16
0xfffffff0086d8910: 28fd02b9  str	w8, [x9, #0x2fc]
0xfffffff0086d8914: aa0240f9  ldr	x10, [x21]
0xfffffff0086d8918: 4b214039  ldrb	w11, [x10, #8]
0xfffffff0086d891c: 880240f9  ldr	x8, [x20]
0xfffffff0086d8920: 09f542b9  ldr	w9, [x8, #0x2f4]
0xfffffff0086d8924: 294d0e12  and	w9, w9, #0xfffc003f
0xfffffff0086d8928: eb020034  cbz	w11, #0xfffffff0086d8984
0xfffffff0086d892c: 4a8d5af9  ldr	x10, [x10, #0x3518]
0xfffffff0086d8930: 4a4540b9  ldr	w10, [x10, #0x44]
0xfffffff0086d8934: 4a2d1a12  and	w10, w10, #0x3ffc0
0xfffffff0086d8938: 29010a2a  orr	w9, w9, w10
0xfffffff0086d893c: 09f502b9  str	w9, [x8, #0x2f4]
0xfffffff0086d8940: a80240f9  ldr	x8, [x21]
0xfffffff0086d8944: 088d5af9  ldr	x8, [x8, #0x3518]
0xfffffff0086d8948: 08210191  add	x8, x8, #0x48
0xfffffff0086d894c: 19000014  b	#0xfffffff0086d89b0
0xfffffff0086d8950: a853fff0  adrp	x8, #0xfffffff00714f000
0xfffffff0086d8954: 08e50991  add	x8, x8, #0x279
0xfffffff0086d8958: e82b00a9  stp	x8, x10, [sp]
0xfffffff0086d895c: c052ffb0  adrp	x0, #0xfffffff007131000
0xfffffff0086d8960: 00403691  add	x0, x0, #0xd90
0xfffffff0086d8964: 2199ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff0086d8968: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0086d896c: c352fff0  adrp	x3, #0xfffffff007133000
0xfffffff0086d8970: 63f40691  add	x3, x3, #0x1bd
0xfffffff0086d8974: 02008052  mov	w2, #0
0xfffffff0086d8978: ee69f197  bl	#0xfffffff008333130
0xfffffff0086d897c: 00008012  mov	w0, #-1
0xfffffff0086d8980: dd000014  b	#0xfffffff0086d8cf4
0xfffffff0086d8984: 4ad159f9  ldr	x10, [x10, #0x33a0]
0xfffffff0086d8988: 8b578652  mov	w11, #0x32bc
0xfffffff0086d898c: 2b00a072  movk	w11, #1, lsl #16
0xfffffff0086d8990: 4a696bb8  ldr	w10, [x10, x11]
0xfffffff0086d8994: 4a2d1a12  and	w10, w10, #0x3ffc0
0xfffffff0086d8998: 29010a2a  orr	w9, w9, w10
0xfffffff0086d899c: 09f502b9  str	w9, [x8, #0x2f4]
0xfffffff0086d89a0: a80240f9  ldr	x8, [x21]
0xfffffff0086d89a4: 08d159f9  ldr	x8, [x8, #0x33a0]
0xfffffff0086d89a8: 084d4091  add	x8, x8, #0x13, lsl #12
0xfffffff0086d89ac: 08010b91  add	x8, x8, #0x2c0
0xfffffff0086d89b0: 080140b9  ldr	w8, [x8]
0xfffffff0086d89b4: 890240f9  ldr	x9, [x20]
0xfffffff0086d89b8: 2a0143b9  ldr	w10, [x9, #0x300]
0xfffffff0086d89bc: 087d0653  lsr	w8, w8, #6
0xfffffff0086d89c0: 0a311a33  bfi	w10, w8, #6, #0xd
0xfffffff0086d89c4: 2a0103b9  str	w10, [x9, #0x300]
0xfffffff0086d89c8: a80240f9  ldr	x8, [x21]
0xfffffff0086d89cc: 09d159f9  ldr	x9, [x8, #0x33a0]
0xfffffff0086d89d0: 29414239  ldrb	w9, [x9, #0x90]
0xfffffff0086d89d4: 89000034  cbz	w9, #0xfffffff0086d89e4
0xfffffff0086d89d8: 08f159f9  ldr	x8, [x8, #0x33e0]
