; Candidate 7213
; ADRP+ADD at VM 0xfffffff00885fc64 (fileoff 0x185bc64): page=0x1fe98a000 add_imm=0xe80

0xfffffff00885fbe4: 694240b9  ldr	w9, [x19, #0x40]
0xfffffff00885fbe8: f45704a9  stp	x20, x21, [sp, #0x40]
0xfffffff00885fbec: e92303a9  stp	x9, x8, [sp, #0x30]
0xfffffff00885fbf0: 484eff90  adrp	x8, #0xfffffff007227000
0xfffffff00885fbf4: 08d53d91  add	x8, x8, #0xf75
0xfffffff00885fbf8: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff00885fbfc: 484eff90  adrp	x8, #0xfffffff007227000
0xfffffff00885fc00: 08811191  add	x8, x8, #0x460
0xfffffff00885fc04: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00885fc08: c80b8052  mov	w8, #0x5e
0xfffffff00885fc0c: 404eff90  adrp	x0, #0xfffffff007227000
0xfffffff00885fc10: 00ec1391  add	x0, x0, #0x4fb
0xfffffff00885fc14: f62300a9  stp	x22, x8, [sp]
0xfffffff00885fc18: 125ed597  bl	#0xfffffff007db7460
0xfffffff00885fc1c: 1a000014  b	#0xfffffff00885fc84
0xfffffff00885fc20: 63510194  bl	#0xfffffff0088b41ac
0xfffffff00885fc24: f60300aa  mov	x22, x0
0xfffffff00885fc28: c0008052  mov	w0, #6
0xfffffff00885fc2c: 096f0094  bl	#0xfffffff00887b850
0xfffffff00885fc30: a8835cf8  ldur	x8, [x29, #-0x38]
0xfffffff00885fc34: e90315aa  mov	x9, x21
0xfffffff00885fc38: 6a4240b9  ldr	w10, [x19, #0x40]
0xfffffff00885fc3c: f42704a9  stp	x20, x9, [sp, #0x40]
0xfffffff00885fc40: ea2303a9  stp	x10, x8, [sp, #0x30]
0xfffffff00885fc44: 484eff90  adrp	x8, #0xfffffff007227000
0xfffffff00885fc48: 08d53d91  add	x8, x8, #0xf75
0xfffffff00885fc4c: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff00885fc50: 484eff90  adrp	x8, #0xfffffff007227000
0xfffffff00885fc54: 08811191  add	x8, x8, #0x460
0xfffffff00885fc58: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00885fc5c: c80b8052  mov	w8, #0x5e
0xfffffff00885fc60: f62300a9  stp	x22, x8, [sp]
0xfffffff00885fc64: 404cffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff00885fc68: 00003a91  add	x0, x0, #0xe80
0xfffffff00885fc6c: 418dffb0  adrp	x1, #0xfffffff007a08000
0xfffffff00885fc70: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00885fc74: a34fffd0  adrp	x3, #0xfffffff007255000
0xfffffff00885fc78: 63802e91  add	x3, x3, #0xba0
0xfffffff00885fc7c: 02008052  mov	w2, #0
0xfffffff00885fc80: 2c4deb97  bl	#0xfffffff008333130
0xfffffff00885fc84: e00315aa  mov	x0, x21
0xfffffff00885fc88: fd7b49a9  ldp	x29, x30, [sp, #0x90]
0xfffffff00885fc8c: f44f48a9  ldp	x20, x19, [sp, #0x80]
0xfffffff00885fc90: f65747a9  ldp	x22, x21, [sp, #0x70]
0xfffffff00885fc94: f85f46a9  ldp	x24, x23, [sp, #0x60]
0xfffffff00885fc98: ff830291  add	sp, sp, #0xa0
0xfffffff00885fc9c: ff0f5fd6  retab	
0xfffffff00885fca0: 7f2303d5  pacibsp	
0xfffffff00885fca4: ff4301d1  sub	sp, sp, #0x50
0xfffffff00885fca8: f65702a9  stp	x22, x21, [sp, #0x20]
0xfffffff00885fcac: f44f03a9  stp	x20, x19, [sp, #0x30]
0xfffffff00885fcb0: fd7b04a9  stp	x29, x30, [sp, #0x40]
0xfffffff00885fcb4: fd030191  add	x29, sp, #0x40
0xfffffff00885fcb8: e10300b4  cbz	x1, #0xfffffff00885fd34
0xfffffff00885fcbc: f40301aa  mov	x20, x1
0xfffffff00885fcc0: f50300aa  mov	x21, x0
0xfffffff00885fcc4: 68781f12  and	w8, w3, #0xfffffffe
0xfffffff00885fcc8: 5f000871  cmp	w2, #0x200
0xfffffff00885fccc: 09408052  mov	w9, #0x200
0xfffffff00885fcd0: 53b0891a  csel	w19, w2, w9, lt
0xfffffff00885fcd4: 1f090071  cmp	w8, #2
0xfffffff00885fcd8: 6418417a  ccmp	w3, #1, #4, ne
0xfffffff00885fcdc: 3fc83338  strb	wzr, [x1, w19, sxtw]
0xfffffff00885fce0: a8008012  mov	w8, #-6
