; Candidate 1770
; ADRP+ADD at VM 0xfffffff008507d04 (fileoff 0x1503d04): page=0x1febda000 add_imm=0xdd8

0xfffffff008507c84: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff008507c88: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff008507c8c: fd430091  add	x29, sp, #0x10
0xfffffff008507c90: c0a4ffd0  adrp	x0, #0xfffffff0079a1000
0xfffffff008507c94: 00000491  add	x0, x0, #0x100
0xfffffff008507c98: 018a8252  mov	w1, #0x1450
0xfffffff008507c9c: 677ef797  bl	#0xfffffff0082e7638
0xfffffff008507ca0: f30300aa  mov	x19, x0
0xfffffff008507ca4: 74ee00d0  adrp	x20, #0xfffffff00a2d5000
0xfffffff008507ca8: 94021091  add	x20, x20, #0x400
0xfffffff008507cac: e10314aa  mov	x1, x20
0xfffffff008507cb0: 1c8a4d94  bl	#0xfffffff00986a520
0xfffffff008507cb4: 90a4ff90  adrp	x16, #0xfffffff007997000
0xfffffff008507cb8: 10823891  add	x16, x16, #0xe20
0xfffffff008507cbc: 10420091  add	x16, x16, #0x10
0xfffffff008507cc0: f10300aa  mov	x17, x0
0xfffffff008507cc4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008507cc8: 300ac1da  pacda	x16, x17
0xfffffff008507ccc: 100000f9  str	x16, [x0]
0xfffffff008507cd0: e00314aa  mov	x0, x20
0xfffffff008507cd4: 1875f797  bl	#0xfffffff0082e5134
0xfffffff008507cd8: e00313aa  mov	x0, x19
0xfffffff008507cdc: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff008507ce0: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff008507ce4: ff0f5fd6  retab	
0xfffffff008507ce8: 5f2403d5  bti	c
0xfffffff008507cec: 8272f717  b	#0xfffffff0082e46f4
0xfffffff008507cf0: 5f2403d5  bti	c
0xfffffff008507cf4: 8072f717  b	#0xfffffff0082e46f4
0xfffffff008507cf8: 7f2303d5  pacibsp	
0xfffffff008507cfc: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff008507d00: fd030091  mov	x29, sp
0xfffffff008507d04: c05effd0  adrp	x0, #0xfffffff0070e1000
0xfffffff008507d08: 00603791  add	x0, x0, #0xdd8
0xfffffff008507d0c: 4b85f897  bl	#0xfffffff008329238
0xfffffff008507d10: 68ee00d0  adrp	x8, #0xfffffff00a2d5000
0xfffffff008507d14: 00e901f9  str	x0, [x8, #0x3d0]
0xfffffff008507d18: c05effd0  adrp	x0, #0xfffffff0070e1000
0xfffffff008507d1c: 00083891  add	x0, x0, #0xe02
0xfffffff008507d20: 4685f897  bl	#0xfffffff008329238
0xfffffff008507d24: 68ee00d0  adrp	x8, #0xfffffff00a2d5000
0xfffffff008507d28: 00ed01f9  str	x0, [x8, #0x3d8]
0xfffffff008507d2c: c05effd0  adrp	x0, #0xfffffff0070e1000
0xfffffff008507d30: 00883891  add	x0, x0, #0xe22
0xfffffff008507d34: 4185f897  bl	#0xfffffff008329238
0xfffffff008507d38: 68ee00d0  adrp	x8, #0xfffffff00a2d5000
0xfffffff008507d3c: 00f101f9  str	x0, [x8, #0x3e0]
0xfffffff008507d40: c05effd0  adrp	x0, #0xfffffff0070e1000
0xfffffff008507d44: 00e43891  add	x0, x0, #0xe39
0xfffffff008507d48: 3c85f897  bl	#0xfffffff008329238
0xfffffff008507d4c: 68ee00d0  adrp	x8, #0xfffffff00a2d5000
0xfffffff008507d50: 00f501f9  str	x0, [x8, #0x3e8]
0xfffffff008507d54: c05effd0  adrp	x0, #0xfffffff0070e1000
0xfffffff008507d58: 004c3991  add	x0, x0, #0xe53
0xfffffff008507d5c: 3785f897  bl	#0xfffffff008329238
0xfffffff008507d60: 68ee00d0  adrp	x8, #0xfffffff00a2d5000
0xfffffff008507d64: 00f901f9  str	x0, [x8, #0x3f0]
0xfffffff008507d68: c05effd0  adrp	x0, #0xfffffff0070e1000
0xfffffff008507d6c: 00bc3991  add	x0, x0, #0xe6f
0xfffffff008507d70: 3285f897  bl	#0xfffffff008329238
0xfffffff008507d74: 68ee00d0  adrp	x8, #0xfffffff00a2d5000
0xfffffff008507d78: 00fd01f9  str	x0, [x8, #0x3f8]
0xfffffff008507d7c: 60ee00d0  adrp	x0, #0xfffffff00a2d5000
0xfffffff008507d80: 00001091  add	x0, x0, #0x400
