; Candidate 5060
; ADRP+ADD at VM 0xfffffff0087d5540 (fileoff 0x17d1540): page=0x1b05000 add_imm=0xd08

0xfffffff0087d54c0: a050ff90  adrp	x0, #0xfffffff0071e9000
0xfffffff0087d54c4: 00003a91  add	x0, x0, #0xe80
0xfffffff0087d54c8: 8191fff0  adrp	x1, #0xfffffff007a08000
0xfffffff0087d54cc: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087d54d0: 2353ffd0  adrp	x3, #0xfffffff00723b000
0xfffffff0087d54d4: 63dc1791  add	x3, x3, #0x5f7
0xfffffff0087d54d8: 02008052  mov	w2, #0
0xfffffff0087d54dc: 1577ed97  bl	#0xfffffff008333130
0xfffffff0087d54e0: b6ffff17  b	#0xfffffff0087d53b8
0xfffffff0087d54e4: 5f2403d5  bti	c
0xfffffff0087d54e8: 833cec17  b	#0xfffffff0082e46f4
0xfffffff0087d54ec: 7f2303d5  pacibsp	
0xfffffff0087d54f0: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff0087d54f4: fd030091  mov	x29, sp
0xfffffff0087d54f8: 20d800b0  adrp	x0, #0xfffffff00a2da000
0xfffffff0087d54fc: 00203491  add	x0, x0, #0xd08
0xfffffff0087d5500: c151fff0  adrp	x1, #0xfffffff007210000
0xfffffff0087d5504: 21702591  add	x1, x1, #0x95c
0xfffffff0087d5508: 8291fff0  adrp	x2, #0xfffffff007a08000
0xfffffff0087d550c: 421842f9  ldr	x2, [x2, #0x430]
0xfffffff0087d5510: 031a8052  mov	w3, #0xd0
0xfffffff0087d5514: 8939ec97  bl	#0xfffffff0082e3b38
0xfffffff0087d5518: 9091fff0  adrp	x16, #0xfffffff007a08000
0xfffffff0087d551c: 10c22991  add	x16, x16, #0xa70
0xfffffff0087d5520: 10420091  add	x16, x16, #0x10
0xfffffff0087d5524: f10300aa  mov	x17, x0
0xfffffff0087d5528: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0087d552c: 300ac1da  pacda	x16, x17
0xfffffff0087d5530: 100000f9  str	x16, [x0]
0xfffffff0087d5534: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff0087d5538: ff0f5fd6  retab	
0xfffffff0087d553c: 5f2403d5  bti	c
0xfffffff0087d5540: 20d800b0  adrp	x0, #0xfffffff00a2da000
0xfffffff0087d5544: 00203491  add	x0, x0, #0xd08
0xfffffff0087d5548: 6b3cec17  b	#0xfffffff0082e46f4
0xfffffff0087d554c: 5f2403d5  bti	c
0xfffffff0087d5550: 1f0000f9  str	xzr, [x0]
0xfffffff0087d5554: c0035fd6  ret	
0xfffffff0087d5558: 5f2403d5  bti	c
0xfffffff0087d555c: 1f0000f9  str	xzr, [x0]
0xfffffff0087d5560: c0035fd6  ret	
0xfffffff0087d5564: 7f2303d5  pacibsp	
0xfffffff0087d5568: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff0087d556c: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff0087d5570: fd430091  add	x29, sp, #0x10
0xfffffff0087d5574: f30300aa  mov	x19, x0
0xfffffff0087d5578: 05000094  bl	#0xfffffff0087d558c
0xfffffff0087d557c: e00313aa  mov	x0, x19
0xfffffff0087d5580: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff0087d5584: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff0087d5588: ff0f5fd6  retab	
0xfffffff0087d558c: 7f2303d5  pacibsp	
0xfffffff0087d5590: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff0087d5594: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff0087d5598: fd430091  add	x29, sp, #0x10
0xfffffff0087d559c: f30300aa  mov	x19, x0
0xfffffff0087d55a0: 000040f9  ldr	x0, [x0]
0xfffffff0087d55a4: e00000b4  cbz	x0, #0xfffffff0087d55c0
0xfffffff0087d55a8: 68324039  ldrb	w8, [x19, #0xc]
0xfffffff0087d55ac: 68000034  cbz	w8, #0xfffffff0087d55b8
0xfffffff0087d55b0: 4f7f0394  bl	#0xfffffff0088b52ec
0xfffffff0087d55b4: 02000014  b	#0xfffffff0087d55bc
0xfffffff0087d55b8: 7e7d0394  bl	#0xfffffff0088b4bb0
0xfffffff0087d55bc: 7f0200f9  str	xzr, [x19]
