; Candidate 723
; ADRP+ADD at VM 0xfffffff00805c244 (fileoff 0x1058244): page=0x1ff91b000 add_imm=0xd30

0xfffffff00805c1c4: c082c33c  ldur	q0, [x22, #0x38]
0xfffffff00805c1c8: 600a803d  str	q0, [x19, #0x20]
0xfffffff00805c1cc: c84a40b9  ldr	w8, [x22, #0x48]
0xfffffff00805c1d0: 683200b9  str	w8, [x19, #0x30]
0xfffffff00805c1d4: c83240f9  ldr	x8, [x22, #0x60]
0xfffffff00805c1d8: 680600f9  str	x8, [x19, #8]
0xfffffff00805c1dc: c84a40b9  ldr	w8, [x22, #0x48]
0xfffffff00805c1e0: 1f1d0071  cmp	w8, #7
0xfffffff00805c1e4: 01010054  b.ne	#0xfffffff00805c204
0xfffffff00805c1e8: e00316aa  mov	x0, x22
0xfffffff00805c1ec: e10319aa  mov	x1, x25
0xfffffff00805c1f0: e20318aa  mov	x2, x24
0xfffffff00805c1f4: e30313aa  mov	x3, x19
0xfffffff00805c1f8: 2e1b0094  bl	#0xfffffff008062eb0
0xfffffff00805c1fc: f80300aa  mov	x24, x0
0xfffffff00805c200: 02000014  b	#0xfffffff00805c208
0xfffffff00805c204: 18008052  mov	w24, #0
0xfffffff00805c208: e81a44b9  ldr	w8, [x23, #0x418]
0xfffffff00805c20c: c9220091  add	x9, x22, #8
0xfffffff00805c210: e20308aa  mov	x2, x8
0xfffffff00805c214: 3ffda288  casl	w2, wzr, [x9]
0xfffffff00805c218: 5f00086b  cmp	w2, w8
0xfffffff00805c21c: 21030054  b.ne	#0xfffffff00805c280
0xfffffff00805c220: 38010035  cbnz	w24, #0xfffffff00805c244
0xfffffff00805c224: 164e8052  mov	w22, #0x270
0xfffffff00805c228: e00313aa  mov	x0, x19
0xfffffff00805c22c: e10315aa  mov	x1, x21
0xfffffff00805c230: 024e8052  mov	w2, #0x270
0xfffffff00805c234: a296f997  bl	#0xfffffff007ec1cbc
0xfffffff00805c238: f80300aa  mov	x24, x0
0xfffffff00805c23c: 40000035  cbnz	w0, #0xfffffff00805c244
0xfffffff00805c240: 960200b9  str	w22, [x20]
0xfffffff00805c244: c0c8fff0  adrp	x0, #0xfffffff007977000
0xfffffff00805c248: 00c03491  add	x0, x0, #0xd30
0xfffffff00805c24c: e10313aa  mov	x1, x19
0xfffffff00805c250: 6fb6f697  bl	#0xfffffff007e09c0c
0xfffffff00805c254: e00318aa  mov	x0, x24
0xfffffff00805c258: fd7b44a9  ldp	x29, x30, [sp, #0x40]
0xfffffff00805c25c: f44f43a9  ldp	x20, x19, [sp, #0x30]
0xfffffff00805c260: f65742a9  ldp	x22, x21, [sp, #0x20]
0xfffffff00805c264: f85f41a9  ldp	x24, x23, [sp, #0x10]
0xfffffff00805c268: fa67c5a8  ldp	x26, x25, [sp], #0x50
0xfffffff00805c26c: ff0f5fd6  retab	
0xfffffff00805c270: e00316aa  mov	x0, x22
0xfffffff00805c274: e10317aa  mov	x1, x23
0xfffffff00805c278: 3b41f597  bl	#0xfffffff007dac764
0xfffffff00805c27c: c2ffff17  b	#0xfffffff00805c184
0xfffffff00805c280: e00316aa  mov	x0, x22
0xfffffff00805c284: e10317aa  mov	x1, x23
0xfffffff00805c288: 3741f597  bl	#0xfffffff007dac764
0xfffffff00805c28c: d8fdff35  cbnz	w24, #0xfffffff00805c244
0xfffffff00805c290: e5ffff17  b	#0xfffffff00805c224
0xfffffff00805c294: 7f2303d5  pacibsp	
0xfffffff00805c298: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff00805c29c: fd030091  mov	x29, sp
0xfffffff00805c2a0: 5f0c0071  cmp	w2, #3
0xfffffff00805c2a4: 88070054  b.hi	#0xfffffff00805c394
0xfffffff00805c2a8: f003022a  mov	w16, w2
0xfffffff00805c2ac: 1f0e00f1  cmp	x16, #3
0xfffffff00805c2b0: 10929f9a  csel	x16, x16, xzr, ls
0xfffffff00805c2b4: 11000090  adrp	x17, #0xfffffff00805c000
0xfffffff00805c2b8: 31b20e91  add	x17, x17, #0x3ac
0xfffffff00805c2bc: 307ab0b8  ldrsw	x16, [x17, x16, lsl #2]
0xfffffff00805c2c0: 11000010  adr	x17, #0xfffffff00805c2c0
