; Candidate 10703
; ADRP+ADD at VM 0xfffffff008de3ae0 (fileoff 0x1ddfae0): page=0x1fe5e1000 add_imm=0xd54

0xfffffff008de3a60: 21068052  mov	w1, #0x31
0xfffffff008de3a64: 02008052  mov	w2, #0
0xfffffff008de3a68: 84028052  mov	w4, #0x14
0xfffffff008de3a6c: 519081d2  mov	x17, #0xc82
0xfffffff008de3a70: b10a3fd7  blraa	x21, x17
0xfffffff008de3a74: e0080035  cbnz	w0, #0xfffffff008de3b90
0xfffffff008de3a78: e11b40f9  ldr	x1, [sp, #0x30]
0xfffffff008de3a7c: 3f1400f1  cmp	x1, #5
0xfffffff008de3a80: a90a0054  b.ls	#0xfffffff008de3bd4
0xfffffff008de3a84: e8e34039  ldrb	w8, [sp, #0x38]
0xfffffff008de3a88: 680c0034  cbz	w8, #0xfffffff008de3c14
0xfffffff008de3a8c: e8774079  ldrh	w8, [sp, #0x3a]
0xfffffff008de3a90: e81700f9  str	x8, [sp, #0x28]
0xfffffff008de3a94: e47b4079  ldrh	w4, [sp, #0x3c]
0xfffffff008de3a98: e0e30091  add	x0, sp, #0x38
0xfffffff008de3a9c: e2a30091  add	x2, sp, #0x28
0xfffffff008de3aa0: e30314aa  mov	x3, x20
0xfffffff008de3aa4: 85290094  bl	#0xfffffff008dee0b8
0xfffffff008de3aa8: f50300aa  mov	x21, x0
0xfffffff008de3aac: 400d0035  cbnz	w0, #0xfffffff008de3c54
0xfffffff008de3ab0: e81740f9  ldr	x8, [sp, #0x28]
0xfffffff008de3ab4: e9774079  ldrh	w9, [sp, #0x3a]
0xfffffff008de3ab8: 080109cb  sub	x8, x8, x9
0xfffffff008de3abc: 680200f9  str	x8, [x19]
0xfffffff008de3ac0: 48018052  mov	w8, #0xa
0xfffffff008de3ac4: 49034039  ldrb	w9, [x26]
0xfffffff008de3ac8: 1f01096b  cmp	w8, w9
0xfffffff008de3acc: 03010054  b.lo	#0xfffffff008de3aec
0xfffffff008de3ad0: e80315aa  mov	x8, x21
0xfffffff008de3ad4: 087d4093  sxtw	x8, w8
0xfffffff008de3ad8: f96300a9  stp	x25, x24, [sp]
0xfffffff008de3adc: e80b00f9  str	x8, [sp, #0x10]
0xfffffff008de3ae0: 002fffb0  adrp	x0, #0xfffffff0073c4000
0xfffffff008de3ae4: 00503591  add	x0, x0, #0xd54
0xfffffff008de3ae8: 4ecdd597  bl	#0xfffffff008357020
0xfffffff008de3aec: a8835af8  ldur	x8, [x29, #-0x58]
0xfffffff008de3af0: 6968ffb0  adrp	x9, #0xfffffff007af0000
0xfffffff008de3af4: 296946f9  ldr	x9, [x9, #0xcd0]
0xfffffff008de3af8: 290140f9  ldr	x9, [x9]
0xfffffff008de3afc: 3f0108eb  cmp	x9, x8
0xfffffff008de3b00: a10c0054  b.ne	#0xfffffff008de3c94
0xfffffff008de3b04: e00315aa  mov	x0, x21
0xfffffff008de3b08: ff074091  add	sp, sp, #1, lsl #12
0xfffffff008de3b0c: ff830591  add	sp, sp, #0x160
0xfffffff008de3b10: fd7b45a9  ldp	x29, x30, [sp, #0x50]
0xfffffff008de3b14: f44f44a9  ldp	x20, x19, [sp, #0x40]
0xfffffff008de3b18: f65743a9  ldp	x22, x21, [sp, #0x30]
0xfffffff008de3b1c: f85f42a9  ldp	x24, x23, [sp, #0x20]
0xfffffff008de3b20: fa6741a9  ldp	x26, x25, [sp, #0x10]
0xfffffff008de3b24: fc6fc6a8  ldp	x28, x27, [sp], #0x60
0xfffffff008de3b28: ff0f5fd6  retab	
0xfffffff008de3b2c: 88be8052  mov	w8, #0x5f4
0xfffffff008de3b30: e92effd0  adrp	x9, #0xfffffff0073c1000
0xfffffff008de3b34: 29490d91  add	x9, x9, #0x352
0xfffffff008de3b38: e81300f9  str	x8, [sp, #0x20]
0xfffffff008de3b3c: 082fffb0  adrp	x8, #0xfffffff0073c4000
0xfffffff008de3b40: 08493991  add	x8, x8, #0xe52
0xfffffff008de3b44: ea2effd0  adrp	x10, #0xfffffff0073c1000
0xfffffff008de3b48: 4ab51491  add	x10, x10, #0x52d
0xfffffff008de3b4c: 09000014  b	#0xfffffff008de3b70
0xfffffff008de3b50: a8be8052  mov	w8, #0x5f5
0xfffffff008de3b54: e92effd0  adrp	x9, #0xfffffff0073c1000
0xfffffff008de3b58: 29490d91  add	x9, x9, #0x352
0xfffffff008de3b5c: e81300f9  str	x8, [sp, #0x20]
