; Candidate 10171
; ADRP+ADD at VM 0xfffffff008cbb79c (fileoff 0x1cb779c): page=0x1fe69e000 add_imm=0xdce

0xfffffff008cbb71c: 21903691  add	x1, x1, #0xda4
0xfffffff008cbb720: e2430291  add	x2, sp, #0x90
0xfffffff008cbb724: e00313aa  mov	x0, x19
0xfffffff008cbb728: f10309aa  mov	x17, x9
0xfffffff008cbb72c: 9102e3f2  movk	x17, #0x1814, lsl #48
0xfffffff008cbb730: 11093fd7  blraa	x8, x17
0xfffffff008cbb734: 280340b9  ldr	w8, [x25]
0xfffffff008cbb738: 88031836  tbz	w8, #3, #0xfffffff008cbb7a8
0xfffffff008cbb73c: 09050012  and	w9, w8, #3
0xfffffff008cbb740: 49030034  cbz	w9, #0xfffffff008cbb7a8
0xfffffff008cbb744: 68020036  tbz	w8, #0, #0xfffffff008cbb790
0xfffffff008cbb748: e262c897  bl	#0xfffffff007ed42d0
0xfffffff008cbb74c: ff3300f9  str	xzr, [sp, #0x60]
0xfffffff008cbb750: e1830191  add	x1, sp, #0x60
0xfffffff008cbb754: 3b64c897  bl	#0xfffffff007ed4840
0xfffffff008cbb758: e83340f9  ldr	x8, [sp, #0x60]
0xfffffff008cbb75c: 08fd43d3  lsr	x8, x8, #3
0xfffffff008cbb760: e9f99ed2  mov	x9, #0xf7cf
0xfffffff008cbb764: 696abcf2  movk	x9, #0xe353, lsl #16
0xfffffff008cbb768: a974d3f2  movk	x9, #0x9ba5, lsl #32
0xfffffff008cbb76c: 8918e4f2  movk	x9, #0x20c4, lsl #48
0xfffffff008cbb770: 087dc99b  umulh	x8, x8, x9
0xfffffff008cbb774: 08fd44d3  lsr	x8, x8, #4
0xfffffff008cbb778: e9430291  add	x9, sp, #0x90
0xfffffff008cbb77c: e82700a9  stp	x8, x9, [sp]
0xfffffff008cbb780: e034ffd0  adrp	x0, #0xfffffff007359000
0xfffffff008cbb784: 00cc3691  add	x0, x0, #0xdb3
0xfffffff008cbb788: 72cfde97  bl	#0xfffffff00846f550
0xfffffff008cbb78c: 280340b9  ldr	w8, [x25]
0xfffffff008cbb790: c8000836  tbz	w8, #1, #0xfffffff008cbb7a8
0xfffffff008cbb794: e8430291  add	x8, sp, #0x90
0xfffffff008cbb798: e80300f9  str	x8, [sp]
0xfffffff008cbb79c: e034ffd0  adrp	x0, #0xfffffff007359000
0xfffffff008cbb7a0: 00383791  add	x0, x0, #0xdce
0xfffffff008cbb7a4: 1f6eda97  bl	#0xfffffff008357020
0xfffffff008cbb7a8: ff830139  strb	wzr, [sp, #0x60]
0xfffffff008cbb7ac: ff7f0139  strb	wzr, [sp, #0x5f]
0xfffffff008cbb7b0: ff130239  strb	wzr, [sp, #0x84]
0xfffffff008cbb7b4: ff8300b9  str	wzr, [sp, #0x80]
0xfffffff008cbb7b8: 700240f9  ldr	x16, [x19]
0xfffffff008cbb7bc: f10313aa  mov	x17, x19
0xfffffff008cbb7c0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008cbb7c4: 301ac1da  autda	x16, x17
0xfffffff008cbb7c8: 11f280d2  mov	x17, #0x790
0xfffffff008cbb7cc: 1002118b  add	x16, x16, x17
0xfffffff008cbb7d0: 080240f9  ldr	x8, [x16]
0xfffffff008cbb7d4: e90310aa  mov	x9, x16
0xfffffff008cbb7d8: e2030291  add	x2, sp, #0x80
0xfffffff008cbb7dc: e00313aa  mov	x0, x19
0xfffffff008cbb7e0: 61008052  mov	w1, #3
0xfffffff008cbb7e4: a3008052  mov	w3, #5
0xfffffff008cbb7e8: f10309aa  mov	x17, x9
0xfffffff008cbb7ec: f190e2f2  movk	x17, #0x1487, lsl #48
0xfffffff008cbb7f0: 11093fd7  blraa	x8, x17
0xfffffff008cbb7f4: e81348b8  ldur	w8, [sp, #0x81]
0xfffffff008cbb7f8: 1f000071  cmp	w0, #0
0xfffffff008cbb7fc: 16019f1a  csel	w22, w8, wzr, eq
0xfffffff008cbb800: a0480034  cbz	w0, #0xfffffff008cbc114
0xfffffff008cbb804: 68227a39  ldrb	w8, [x19, #0xe88]
0xfffffff008cbb808: e80d0034  cbz	w8, #0xfffffff008cbb9c4
0xfffffff008cbb80c: 280340b9  ldr	w8, [x25]
0xfffffff008cbb810: 68031836  tbz	w8, #3, #0xfffffff008cbb87c
0xfffffff008cbb814: 09050012  and	w9, w8, #3
0xfffffff008cbb818: 29030034  cbz	w9, #0xfffffff008cbb87c
