; Candidate 4464
; ADRP+ADD at VM 0xfffffff0087b2f60 (fileoff 0x17aef60): page=0x1fe97f000 add_imm=0xd90

0xfffffff0087b2ee0: e0830091  add	x0, sp, #0x20
0xfffffff0087b2ee4: 01008052  mov	w1, #0
0xfffffff0087b2ee8: 02098052  mov	w2, #0x48
0xfffffff0087b2eec: 3567d697  bl	#0xfffffff007d4cbc0
0xfffffff0087b2ef0: 15008052  mov	w21, #0
0xfffffff0087b2ef4: 688245f9  ldr	x8, [x19, #0xb00]
0xfffffff0087b2ef8: e81300f9  str	x8, [sp, #0x20]
0xfffffff0087b2efc: 084141b9  ldr	w8, [x8, #0x140]
0xfffffff0087b2f00: e82b00b9  str	w8, [sp, #0x28]
0xfffffff0087b2f04: e0e5002f  movi	d0, #0x000000ffffffff
0xfffffff0087b2f08: e02300fd  str	d0, [sp, #0x40]
0xfffffff0087b2f0c: b45a8052  mov	w20, #0x2d5
0xfffffff0087b2f10: 1400bc72  movk	w20, #0xe000, lsl #16
0xfffffff0087b2f14: 688245f9  ldr	x8, [x19, #0xb00]
0xfffffff0087b2f18: 006d40f9  ldr	x0, [x8, #0xd8]
0xfffffff0087b2f1c: e1830091  add	x1, sp, #0x20
0xfffffff0087b2f20: 62018052  mov	w2, #0xb
0xfffffff0087b2f24: fb3efe97  bl	#0xfffffff008742b10
0xfffffff0087b2f28: 1f00146b  cmp	w0, w20
0xfffffff0087b2f2c: c1020054  b.ne	#0xfffffff0087b2f84
0xfffffff0087b2f30: 20008052  mov	w0, #1
0xfffffff0087b2f34: 2d90ee97  bl	#0xfffffff008356fe8
0xfffffff0087b2f38: a8060011  add	w8, w21, #1
0xfffffff0087b2f3c: bf8e0171  cmp	w21, #0x63
0xfffffff0087b2f40: f50308aa  mov	x21, x8
0xfffffff0087b2f44: 83feff54  b.lo	#0xfffffff0087b2f14
0xfffffff0087b2f48: 14268052  mov	w20, #0x130
0xfffffff0087b2f4c: f1feff17  b	#0xfffffff0087b2b10
0xfffffff0087b2f50: e84cfff0  adrp	x8, #0xfffffff007151000
0xfffffff0087b2f54: 08dd1491  add	x8, x8, #0x537
0xfffffff0087b2f58: ea2301a9  stp	x10, x8, [sp, #0x10]
0xfffffff0087b2f5c: f42700a9  stp	x20, x9, [sp]
0xfffffff0087b2f60: e04bfff0  adrp	x0, #0xfffffff007131000
0xfffffff0087b2f64: 00403691  add	x0, x0, #0xd90
0xfffffff0087b2f68: 4192fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087b2f6c: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087b2f70: c34cffb0  adrp	x3, #0xfffffff00714b000
0xfffffff0087b2f74: 636c3a91  add	x3, x3, #0xe9b
0xfffffff0087b2f78: 02008052  mov	w2, #0
0xfffffff0087b2f7c: 6d00ee97  bl	#0xfffffff008333130
0xfffffff0087b2f80: 9fffff17  b	#0xfffffff0087b2dfc
0xfffffff0087b2f84: 14268052  mov	w20, #0x130
0xfffffff0087b2f88: 40dcff35  cbnz	w0, #0xfffffff0087b2b10
0xfffffff0087b2f8c: bf8a0171  cmp	w21, #0x62
0xfffffff0087b2f90: 08dcff54  b.hi	#0xfffffff0087b2b10
0xfffffff0087b2f94: 68224bb9  ldr	w8, [x19, #0xb20]
0xfffffff0087b2f98: 08010034  cbz	w8, #0xfffffff0087b2fb8
0xfffffff0087b2f9c: 28008052  mov	w8, #1
0xfffffff0087b2fa0: e83b00b9  str	w8, [sp, #0x38]
0xfffffff0087b2fa4: 608245f9  ldr	x0, [x19, #0xb00]
0xfffffff0087b2fa8: e24340b9  ldr	w2, [sp, #0x40]
0xfffffff0087b2fac: 21008052  mov	w1, #1
0xfffffff0087b2fb0: c885ff97  bl	#0xfffffff0087946d0
0xfffffff0087b2fb4: a0fcff35  cbnz	w0, #0xfffffff0087b2f48
0xfffffff0087b2fb8: 14008052  mov	w20, #0
0xfffffff0087b2fbc: 28008052  mov	w8, #1
0xfffffff0087b2fc0: 68463239  strb	w8, [x19, #0xc91]
0xfffffff0087b2fc4: d3feff17  b	#0xfffffff0087b2b10
0xfffffff0087b2fc8: 5f2403d5  bti	c
0xfffffff0087b2fcc: e00302aa  mov	x0, x2
0xfffffff0087b2fd0: 5f040071  cmp	w2, #1
0xfffffff0087b2fd4: 4b010054  b.lt	#0xfffffff0087b2ffc
0xfffffff0087b2fd8: e003002a  mov	w0, w0
0xfffffff0087b2fdc: 280400d1  sub	x8, x1, #1
