; Candidate 513
; ADRP+ADD at VM 0xfffffff007f511e8 (fileoff 0xf4d1e8): page=0x22ec000 add_imm=0xe90

0xfffffff007f51168: 69060039  strb	w9, [x19, #1]
0xfffffff007f5116c: e8f1ff34  cbz	w8, #0xfffffff007f50fa8
0xfffffff007f51170: a1c240f8  ldur	x1, [x21, #0xc]
0xfffffff007f51174: e00314aa  mov	x0, x20
0xfffffff007f51178: 02008052  mov	w2, #0
0xfffffff007f5117c: 5f070b94  bl	#0xfffffff008212ef8
0xfffffff007f51180: 60170190  adrp	x0, #0xfffffff00a23d000
0xfffffff007f51184: 00403a91  add	x0, x0, #0xe90
0xfffffff007f51188: 6072f997  bl	#0xfffffff007dadb08
0xfffffff007f5118c: a00a40b9  ldr	w0, [x21, #8]
0xfffffff007f51190: 01058052  mov	w1, #0x28
0xfffffff007f51194: a2959752  mov	w2, #0xbcad
0xfffffff007f51198: 96feff97  bl	#0xfffffff007f50bf0
0xfffffff007f5119c: 400200b4  cbz	x0, #0xfffffff007f511e4
0xfffffff007f511a0: e80300aa  mov	x8, x0
0xfffffff007f511a4: f00300aa  mov	x16, x0
0xfffffff007f511a8: f033c1da  autiza	x16
0xfffffff007f511ac: f10310aa  mov	x17, x16
0xfffffff007f511b0: f143c1da  xpaci	x17
0xfffffff007f511b4: 1f0211eb  cmp	x16, x17
0xfffffff007f511b8: 40000054  b.eq	#0xfffffff007f511c0
0xfffffff007f511bc: 008e38d4  brk	#0xc470
0xfffffff007f511c0: b19597d2  mov	x17, #0xbcad
0xfffffff007f511c4: 3002c1da  pacia	x16, x17
0xfffffff007f511c8: f00000b4  cbz	x16, #0xfffffff007f511e4
0xfffffff007f511cc: 01ab45f9  ldr	x1, [x24, #0xb50]
0xfffffff007f511d0: e00314aa  mov	x0, x20
0xfffffff007f511d4: e20315aa  mov	x2, x21
0xfffffff007f511d8: 1f093fd6  blraaz	x8
0xfffffff007f511dc: f40300aa  mov	x20, x0
0xfffffff007f511e0: 02000014  b	#0xfffffff007f511e8
0xfffffff007f511e4: 140080d2  mov	x20, #0
0xfffffff007f511e8: 60170190  adrp	x0, #0xfffffff00a23d000
0xfffffff007f511ec: 00403a91  add	x0, x0, #0xe90
0xfffffff007f511f0: 6e75f997  bl	#0xfffffff007dae7a8
0xfffffff007f511f4: e80313aa  mov	x8, x19
0xfffffff007f511f8: 090d43f8  ldr	x9, [x8, #0x30]!
0xfffffff007f511fc: ea0309aa  mov	x10, x9
0xfffffff007f51200: 14fdeac8  casal	x10, x20, [x8]
0xfffffff007f51204: 5f0109eb  cmp	x10, x9
0xfffffff007f51208: 61ffff54  b.ne	#0xfffffff007f511f4
0xfffffff007f5120c: 67ffff17  b	#0xfffffff007f50fa8
0xfffffff007f51210: 0f33f897  bl	#0xfffffff007d5de4c
0xfffffff007f51214: 7f2303d5  pacibsp	
0xfffffff007f51218: fc6fbda9  stp	x28, x27, [sp, #-0x30]!
0xfffffff007f5121c: f44f01a9  stp	x20, x19, [sp, #0x10]
0xfffffff007f51220: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff007f51224: fd830091  add	x29, sp, #0x20
0xfffffff007f51228: ff8307d1  sub	sp, sp, #0x1e0
0xfffffff007f5122c: a81301d0  adrp	x8, #0xfffffff00a1c7000
0xfffffff007f51230: 08010091  add	x8, x8, #0
0xfffffff007f51234: 080140f9  ldr	x8, [x8]
0xfffffff007f51238: a8831df8  stur	x8, [x29, #-0x28]
0xfffffff007f5123c: 28244039  ldrb	w8, [x1, #9]
0xfffffff007f51240: 88001036  tbz	w8, #2, #0xfffffff007f51250
0xfffffff007f51244: f30301aa  mov	x19, x1
0xfffffff007f51248: 28404139  ldrb	w8, [x1, #0x50]
0xfffffff007f5124c: a8012837  tbnz	w8, #5, #0xfffffff007f51280
0xfffffff007f51250: 00008052  mov	w0, #0
0xfffffff007f51254: a8835df8  ldur	x8, [x29, #-0x28]
0xfffffff007f51258: a91301d0  adrp	x9, #0xfffffff00a1c7000
0xfffffff007f5125c: 29010091  add	x9, x9, #0
0xfffffff007f51260: 290140f9  ldr	x9, [x9]
0xfffffff007f51264: 3f0108eb  cmp	x9, x8
