; Candidate 16130
; ADRP+ADD at VM 0xfffffff009e239c8 (fileoff 0x2e1f9c8): page=0x1fd880000 add_imm=0xe00

0xfffffff009e23948: e80b40f9  ldr	x8, [sp, #0x10]
0xfffffff009e2394c: c80000b4  cbz	x8, #0xfffffff009e23964
0xfffffff009e23950: e00f40f9  ldr	x0, [sp, #0x18]
0xfffffff009e23954: 27668e97  bl	#0xfffffff0081bd1f0
0xfffffff009e23958: f40300aa  mov	x20, x0
0xfffffff009e2395c: e00f40f9  ldr	x0, [sp, #0x18]
0xfffffff009e23960: 62658e97  bl	#0xfffffff0081bcee8
0xfffffff009e23964: d30200b4  cbz	x19, #0xfffffff009e239bc
0xfffffff009e23968: e00313aa  mov	x0, x19
0xfffffff009e2396c: 25e77c97  bl	#0xfffffff007d5d600
0xfffffff009e23970: 150080d2  mov	x21, #0
0xfffffff009e23974: 168000b1  adds	x22, x0, #0x20
0xfffffff009e23978: e9379f1a  cset	w9, hs
0xfffffff009e2397c: 28014093  sbfx	x8, x9, #0, #1
0xfffffff009e23980: 090109ca  eor	x9, x8, x9
0xfffffff009e23984: e90300b5  cbnz	x9, #0xfffffff009e23a00
0xfffffff009e23988: c803f8b7  tbnz	x8, #0x3f, #0xfffffff009e23a00
0xfffffff009e2398c: e00316aa  mov	x0, x22
0xfffffff009e23990: 58c5ff97  bl	#0xfffffff009e14ef0
0xfffffff009e23994: f50300aa  mov	x21, x0
0xfffffff009e23998: 600100b4  cbz	x0, #0xfffffff009e239c4
0xfffffff009e2399c: 94020034  cbz	w20, #0xfffffff009e239ec
0xfffffff009e239a0: f44f00a9  stp	x20, x19, [sp]
0xfffffff009e239a4: c2cffef0  adrp	x2, #0xfffffff00781e000
0xfffffff009e239a8: 42401891  add	x2, x2, #0x610
0xfffffff009e239ac: e00315aa  mov	x0, x21
0xfffffff009e239b0: e10316aa  mov	x1, x22
0xfffffff009e239b4: ea5c8f97  bl	#0xfffffff0081fad5c
0xfffffff009e239b8: 12000014  b	#0xfffffff009e23a00
0xfffffff009e239bc: 150080d2  mov	x21, #0
0xfffffff009e239c0: 10000014  b	#0xfffffff009e23a00
0xfffffff009e239c4: f35300a9  stp	x19, x20, [sp]
0xfffffff009e239c8: 00c4fe90  adrp	x0, #0xfffffff0076a3000
0xfffffff009e239cc: 00003891  add	x0, x0, #0xe00
0xfffffff009e239d0: 21f8fed0  adrp	x1, #0xfffffff007d29000
0xfffffff009e239d4: 216844f9  ldr	x1, [x1, #0x8d0]
0xfffffff009e239d8: e3cffeb0  adrp	x3, #0xfffffff007820000
0xfffffff009e239dc: 63342e91  add	x3, x3, #0xb8d
0xfffffff009e239e0: 02008052  mov	w2, #0
0xfffffff009e239e4: d33d9497  bl	#0xfffffff008333130
0xfffffff009e239e8: 06000014  b	#0xfffffff009e23a00
0xfffffff009e239ec: e00315aa  mov	x0, x21
0xfffffff009e239f0: e10313aa  mov	x1, x19
0xfffffff009e239f4: e20316aa  mov	x2, x22
0xfffffff009e239f8: e30316aa  mov	x3, x22
0xfffffff009e239fc: 0ef18197  bl	#0xfffffff007e9fe34
0xfffffff009e23a00: e00315aa  mov	x0, x21
0xfffffff009e23a04: fd7b44a9  ldp	x29, x30, [sp, #0x40]
0xfffffff009e23a08: f44f43a9  ldp	x20, x19, [sp, #0x30]
0xfffffff009e23a0c: f65742a9  ldp	x22, x21, [sp, #0x20]
0xfffffff009e23a10: ff430191  add	sp, sp, #0x50
0xfffffff009e23a14: ff0f5fd6  retab	
0xfffffff009e23a18: 7f2303d5  pacibsp	
0xfffffff009e23a1c: ff0301d1  sub	sp, sp, #0x40
0xfffffff009e23a20: f65701a9  stp	x22, x21, [sp, #0x10]
0xfffffff009e23a24: f44f02a9  stp	x20, x19, [sp, #0x20]
0xfffffff009e23a28: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff009e23a2c: fdc30091  add	x29, sp, #0x30
0xfffffff009e23a30: f50301aa  mov	x21, x1
0xfffffff009e23a34: f40300aa  mov	x20, x0
0xfffffff009e23a38: e00302aa  mov	x0, x2
0xfffffff009e23a3c: e10303aa  mov	x1, x3
0xfffffff009e23a40: a6ffff97  bl	#0xfffffff009e238d8
0xfffffff009e23a44: c00200b4  cbz	x0, #0xfffffff009e23a9c
