; Candidate 16596
; ADRP+ADD at VM 0xfffffff009efc774 (fileoff 0x2ef8774): page=0x1fd955000 add_imm=0xd13

0xfffffff009efc6f4: c10f0054  b.ne	#0xfffffff009efc8ec
0xfffffff009efc6f8: 686a40f9  ldr	x8, [x19, #0xd0]
0xfffffff009efc6fc: c81300b4  cbz	x8, #0xfffffff009efc974
0xfffffff009efc700: 08d54439  ldrb	w8, [x8, #0x135]
0xfffffff009efc704: 1f010071  cmp	w8, #0
0xfffffff009efc708: e0079f1a  cset	w0, ne
0xfffffff009efc70c: 9d000014  b	#0xfffffff009efc980
0xfffffff009efc710: 493740f9  ldr	x9, [x26, #0x68]
0xfffffff009efc714: 28017cb2  orr	x8, x9, #0x10
0xfffffff009efc718: 483700f9  str	x8, [x26, #0x68]
0xfffffff009efc71c: f80319aa  mov	x24, x25
0xfffffff009efc720: 9c0500b4  cbz	x28, #0xfffffff009efc7d0
0xfffffff009efc724: ff3300f9  str	xzr, [sp, #0x60]
0xfffffff009efc728: 15008052  mov	w21, #0
0xfffffff009efc72c: f92b40f9  ldr	x25, [sp, #0x50]
0xfffffff009efc730: 1b000014  b	#0xfffffff009efc79c
0xfffffff009efc734: 00e4006f  movi	v0.2d, #0000000000000000
0xfffffff009efc738: a0033aad  stp	q0, q0, [x29, #-0xc0]
0xfffffff009efc73c: a10640f9  ldr	x1, [x21, #8]
0xfffffff009efc740: a20303d1  sub	x2, x29, #0xc0
0xfffffff009efc744: e00313aa  mov	x0, x19
0xfffffff009efc748: 965a0094  bl	#0xfffffff009f131a0
0xfffffff009efc74c: e0090034  cbz	w0, #0xfffffff009efc888
0xfffffff009efc750: fb0300aa  mov	x27, x0
0xfffffff009efc754: 083e8452  mov	w8, #0x21f0
0xfffffff009efc758: 6802088b  add	x8, x19, x8
0xfffffff009efc75c: a90640f9  ldr	x9, [x21, #8]
0xfffffff009efc760: e82701a9  stp	x8, x9, [sp, #0x10]
0xfffffff009efc764: a8cafeb0  adrp	x8, #0xfffffff007851000
0xfffffff009efc768: 084d3391  add	x8, x8, #0xcd3
0xfffffff009efc76c: 49fa8752  mov	w9, #0x3fd2
0xfffffff009efc770: e82700a9  stp	x8, x9, [sp]
0xfffffff009efc774: a0cafeb0  adrp	x0, #0xfffffff007851000
0xfffffff009efc778: 004c3491  add	x0, x0, #0xd13
0xfffffff009efc77c: 57000014  b	#0xfffffff009efc8d8
0xfffffff009efc780: 880b40f9  ldr	x8, [x28, #0x10]
0xfffffff009efc784: e83300f9  str	x8, [sp, #0x60]
0xfffffff009efc788: 483740f9  ldr	x8, [x26, #0x68]
0xfffffff009efc78c: 08017cb2  orr	x8, x8, #0x10
0xfffffff009efc790: 35008052  mov	w21, #1
0xfffffff009efc794: f80319aa  mov	x24, x25
0xfffffff009efc798: f90314aa  mov	x25, x20
0xfffffff009efc79c: f44740f9  ldr	x20, [sp, #0x88]
0xfffffff009efc7a0: 892240f9  ldr	x9, [x20, #0x40]
0xfffffff009efc7a4: 492300f9  str	x9, [x26, #0x40]
0xfffffff009efc7a8: 080176b2  orr	x8, x8, #0x400
0xfffffff009efc7ac: 483700f9  str	x8, [x26, #0x68]
0xfffffff009efc7b0: bf0314b8  stur	wzr, [x29, #-0xc0]
0xfffffff009efc7b4: 812240f9  ldr	x1, [x20, #0x40]
0xfffffff009efc7b8: a20303d1  sub	x2, x29, #0xc0
0xfffffff009efc7bc: e00313aa  mov	x0, x19
0xfffffff009efc7c0: e30319aa  mov	x3, x25
0xfffffff009efc7c4: d8e2ff97  bl	#0xfffffff009ef5324
0xfffffff009efc7c8: 36008052  mov	w22, #1
0xfffffff009efc7cc: 16000014  b	#0xfffffff009efc824
0xfffffff009efc7d0: 48f34139  ldrb	w8, [x26, #0x7c]
0xfffffff009efc7d4: f92b40f9  ldr	x25, [sp, #0x50]
0xfffffff009efc7d8: a8012836  tbz	w8, #5, #0xfffffff009efc80c
0xfffffff009efc7dc: 484b40f9  ldr	x8, [x26, #0x90]
0xfffffff009efc7e0: 680100b4  cbz	x8, #0xfffffff009efc80c
0xfffffff009efc7e4: ff3300f9  str	xzr, [sp, #0x60]
0xfffffff009efc7e8: 15008052  mov	w21, #0
0xfffffff009efc7ec: 16008052  mov	w22, #0
0xfffffff009efc7f0: f44740f9  ldr	x20, [sp, #0x88]
