; Candidate 16118
; ADRP+ADD at VM 0xfffffff009e21ecc (fileoff 0x2e1decc): page=0x1fd882000 add_imm=0xe00

0xfffffff009e21e4c: 63683d91  add	x3, x3, #0xf5a
0xfffffff009e21e50: 02028052  mov	w2, #0x10
0xfffffff009e21e54: b7449497  bl	#0xfffffff008333130
0xfffffff009e21e58: 17008052  mov	w23, #0
0xfffffff009e21e5c: 40000014  b	#0xfffffff009e21f5c
0xfffffff009e21e60: e03f40f9  ldr	x0, [sp, #0x78]
0xfffffff009e21e64: 99ffff17  b	#0xfffffff009e21cc8
0xfffffff009e21e68: 080080d2  mov	x8, #0
0xfffffff009e21e6c: f80400b5  cbnz	x24, #0xfffffff009e21f08
0xfffffff009e21e70: 290300aa  orr	x9, x25, x0
0xfffffff009e21e74: 290400b4  cbz	x9, #0xfffffff009e21ef8
0xfffffff009e21e78: 1f0000f1  cmp	x0, #0
0xfffffff009e21e7c: 1710999a  csel	x23, x0, x25, ne
0xfffffff009e21e80: e00317aa  mov	x0, x23
0xfffffff009e21e84: dfed7c97  bl	#0xfffffff007d5d600
0xfffffff009e21e88: e10300aa  mov	x1, x0
0xfffffff009e21e8c: e00317aa  mov	x0, x23
0xfffffff009e21e90: d2ccff97  bl	#0xfffffff009e151d8
0xfffffff009e21e94: e03700f9  str	x0, [sp, #0x68]
0xfffffff009e21e98: e03400b4  cbz	x0, #0xfffffff009e22534
0xfffffff009e21e9c: 19008052  mov	w25, #0
0xfffffff009e21ea0: e03300f9  str	x0, [sp, #0x60]
0xfffffff009e21ea4: 1a000014  b	#0xfffffff009e21f0c
0xfffffff009e21ea8: e00314aa  mov	x0, x20
0xfffffff009e21eac: 010080d2  mov	x1, #0
0xfffffff009e21eb0: 020080d2  mov	x2, #0
0xfffffff009e21eb4: 23008052  mov	w3, #1
0xfffffff009e21eb8: 040080d2  mov	x4, #0
0xfffffff009e21ebc: e5031caa  mov	x5, x28
0xfffffff009e21ec0: 060080d2  mov	x6, #0
0xfffffff009e21ec4: eb8bff97  bl	#0xfffffff009e04e70
0xfffffff009e21ec8: 20330034  cbz	w0, #0xfffffff009e2252c
0xfffffff009e21ecc: 00c4fed0  adrp	x0, #0xfffffff0076a3000
0xfffffff009e21ed0: 00003891  add	x0, x0, #0xe00
0xfffffff009e21ed4: 41f8fe90  adrp	x1, #0xfffffff007d29000
0xfffffff009e21ed8: 216844f9  ldr	x1, [x1, #0x8d0]
0xfffffff009e21edc: e3cffed0  adrp	x3, #0xfffffff00781f000
0xfffffff009e21ee0: 63303e91  add	x3, x3, #0xf8c
0xfffffff009e21ee4: 02028052  mov	w2, #0x10
0xfffffff009e21ee8: 92449497  bl	#0xfffffff008333130
0xfffffff009e21eec: 1b0080d2  mov	x27, #0
0xfffffff009e21ef0: 17008052  mov	w23, #0
0xfffffff009e21ef4: 1a000014  b	#0xfffffff009e21f5c
0xfffffff009e21ef8: 880000b4  cbz	x8, #0xfffffff009e21f08
0xfffffff009e21efc: 19008052  mov	w25, #0
0xfffffff009e21f00: e83300f9  str	x8, [sp, #0x60]
0xfffffff009e21f04: 02000014  b	#0xfffffff009e21f0c
0xfffffff009e21f08: 19008052  mov	w25, #0
0xfffffff009e21f0c: 37008052  mov	w23, #1
0xfffffff009e21f10: 15000014  b	#0xfffffff009e21f64
0xfffffff009e21f14: e00314aa  mov	x0, x20
0xfffffff009e21f18: 010080d2  mov	x1, #0
0xfffffff009e21f1c: 020080d2  mov	x2, #0
0xfffffff009e21f20: 23008052  mov	w3, #1
0xfffffff009e21f24: 040080d2  mov	x4, #0
0xfffffff009e21f28: e5031caa  mov	x5, x28
0xfffffff009e21f2c: 060080d2  mov	x6, #0
0xfffffff009e21f30: d08bff97  bl	#0xfffffff009e04e70
0xfffffff009e21f34: 60300034  cbz	w0, #0xfffffff009e22540
0xfffffff009e21f38: 00c4fed0  adrp	x0, #0xfffffff0076a3000
0xfffffff009e21f3c: 00003891  add	x0, x0, #0xe00
0xfffffff009e21f40: 41f8fe90  adrp	x1, #0xfffffff007d29000
0xfffffff009e21f44: 216844f9  ldr	x1, [x1, #0x8d0]
0xfffffff009e21f48: e3cffed0  adrp	x3, #0xfffffff00781f000
