; Candidate 11277
; ADRP+ADD at VM 0xfffffff008edd5ec (fileoff 0x1ed95ec): page=0x1fe526000 add_imm=0xe92

0xfffffff008edd56c: d1ffff17  b	#0xfffffff008edd4b0
0xfffffff008edd570: e80300f9  str	x8, [sp]
0xfffffff008edd574: 2029fff0  adrp	x0, #0xfffffff007404000
0xfffffff008edd578: 00280291  add	x0, x0, #0x8a
0xfffffff008edd57c: c4ffff17  b	#0xfffffff008edd48c
0xfffffff008edd580: 3302ba97  bl	#0xfffffff007d5de4c
0xfffffff008edd584: c2840094  bl	#0xfffffff008efe88c
0xfffffff008edd588: 7f2303d5  pacibsp	
0xfffffff008edd58c: ff8303d1  sub	sp, sp, #0xe0
0xfffffff008edd590: fd7b0da9  stp	x29, x30, [sp, #0xd0]
0xfffffff008edd594: fd430391  add	x29, sp, #0xd0
0xfffffff008edd598: a861ff90  adrp	x8, #0xfffffff007b11000
0xfffffff008edd59c: 084143f9  ldr	x8, [x8, #0x680]
0xfffffff008edd5a0: 080140f9  ldr	x8, [x8]
0xfffffff008edd5a4: a8831ff8  stur	x8, [x29, #-8]
0xfffffff008edd5a8: ff2f00f9  str	xzr, [sp, #0x58]
0xfffffff008edd5ac: 00e4006f  movi	v0.2d, #0000000000000000
0xfffffff008edd5b0: e08301ad  stp	q0, q0, [sp, #0x30]
0xfffffff008edd5b4: ff030339  strb	wzr, [sp, #0xc0]
0xfffffff008edd5b8: e00305ad  stp	q0, q0, [sp, #0xa0]
0xfffffff008edd5bc: e00304ad  stp	q0, q0, [sp, #0x80]
0xfffffff008edd5c0: e00303ad  stp	q0, q0, [sp, #0x60]
0xfffffff008edd5c4: 6f60cc97  bl	#0xfffffff0081f5780
0xfffffff008edd5c8: a00100b5  cbnz	x0, #0xfffffff008edd5fc
0xfffffff008edd5cc: fefeff97  bl	#0xfffffff008edd1c4
0xfffffff008edd5d0: a0060035  cbnz	w0, #0xfffffff008edd6a4
0xfffffff008edd5d4: e0630191  add	x0, sp, #0x58
0xfffffff008edd5d8: 26220094  bl	#0xfffffff008ee5e70
0xfffffff008edd5dc: 20020034  cbz	w0, #0xfffffff008edd620
0xfffffff008edd5e0: 2829ffd0  adrp	x8, #0xfffffff007403000
0xfffffff008edd5e4: 081d3d91  add	x8, x8, #0xf47
0xfffffff008edd5e8: e80300a9  stp	x8, x0, [sp]
0xfffffff008edd5ec: 2029ffd0  adrp	x0, #0xfffffff007403000
0xfffffff008edd5f0: 00483a91  add	x0, x0, #0xe92
0xfffffff008edd5f4: 8be6d197  bl	#0xfffffff008357020
0xfffffff008edd5f8: 000080d2  mov	x0, #0
0xfffffff008edd5fc: a8835ff8  ldur	x8, [x29, #-8]
0xfffffff008edd600: a961ff90  adrp	x9, #0xfffffff007b11000
0xfffffff008edd604: 294143f9  ldr	x9, [x9, #0x680]
0xfffffff008edd608: 290140f9  ldr	x9, [x9]
0xfffffff008edd60c: 3f0108eb  cmp	x9, x8
0xfffffff008edd610: 81040054  b.ne	#0xfffffff008edd6a0
0xfffffff008edd614: fd7b4da9  ldp	x29, x30, [sp, #0xd0]
0xfffffff008edd618: ff830391  add	sp, sp, #0xe0
0xfffffff008edd61c: ff0f5fd6  retab	
0xfffffff008edd620: e02f40f9  ldr	x0, [sp, #0x58]
0xfffffff008edd624: e1830191  add	x1, sp, #0x60
0xfffffff008edd628: e2c30091  add	x2, sp, #0x30
0xfffffff008edd62c: 51400094  bl	#0xfffffff008eed770
0xfffffff008edd630: 20010034  cbz	w0, #0xfffffff008edd654
0xfffffff008edd634: 2829ffd0  adrp	x8, #0xfffffff007403000
0xfffffff008edd638: 081d3d91  add	x8, x8, #0xf47
0xfffffff008edd63c: 1fe00071  cmp	w0, #0x38
0xfffffff008edd640: c1010054  b.ne	#0xfffffff008edd678
0xfffffff008edd644: e80300f9  str	x8, [sp]
0xfffffff008edd648: 2029ffd0  adrp	x0, #0xfffffff007403000
0xfffffff008edd64c: 00903d91  add	x0, x0, #0xf64
0xfffffff008edd650: e9ffff17  b	#0xfffffff008edd5f4
0xfffffff008edd654: e08741ad  ldp	q0, q1, [sp, #0x30]
0xfffffff008edd658: e08700ad  stp	q0, q1, [sp, #0x10]
0xfffffff008edd65c: e0430091  add	x0, sp, #0x10
0xfffffff008edd660: 17220094  bl	#0xfffffff008ee5ebc
0xfffffff008edd664: 20010034  cbz	w0, #0xfffffff008edd688
0xfffffff008edd668: e0830191  add	x0, sp, #0x60
