; Candidate 13552
; ADRP+ADD at VM 0xfffffff009387a78 (fileoff 0x2383a78): page=0x1fe176000 add_imm=0xe60

0xfffffff0093879f8: d171ecf2  movk	x17, #0x638e, lsl #48
0xfffffff0093879fc: 11093fd7  blraa	x8, x17
0xfffffff009387a00: f40300aa  mov	x20, x0
0xfffffff009387a04: 68024639  ldrb	w8, [x19, #0x180]
0xfffffff009387a08: e8033836  tbz	w8, #7, #0xfffffff009387a84
0xfffffff009387a0c: ff1700f9  str	xzr, [sp, #0x28]
0xfffffff009387a10: ff2700b9  str	wzr, [sp, #0x24]
0xfffffff009387a14: e0a30091  add	x0, sp, #0x28
0xfffffff009387a18: e1930091  add	x1, sp, #0x24
0xfffffff009387a1c: 3a32ad97  bl	#0xfffffff007ed4304
0xfffffff009387a20: f51740f9  ldr	x21, [sp, #0x28]
0xfffffff009387a24: 700240f9  ldr	x16, [x19]
0xfffffff009387a28: f10313aa  mov	x17, x19
0xfffffff009387a2c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009387a30: 301ac1da  autda	x16, x17
0xfffffff009387a34: f10310aa  mov	x17, x16
0xfffffff009387a38: f147c1da  xpacd	x17
0xfffffff009387a3c: 1f0211eb  cmp	x16, x17
0xfffffff009387a40: 40000054  b.eq	#0xfffffff009387a48
0xfffffff009387a44: 408e38d4  brk	#0xc472
0xfffffff009387a48: 08a20791  add	x8, x16, #0x1e8
0xfffffff009387a4c: 09f640f9  ldr	x9, [x16, #0x1e8]
0xfffffff009387a50: f62740b9  ldr	w22, [sp, #0x24]
0xfffffff009387a54: e00313aa  mov	x0, x19
0xfffffff009387a58: 010080d2  mov	x1, #0
0xfffffff009387a5c: f10308aa  mov	x17, x8
0xfffffff009387a60: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff009387a64: 31093fd7  blraa	x9, x17
0xfffffff009387a68: a80bffd0  adrp	x8, #0xfffffff0074fd000
0xfffffff009387a6c: 08213e91  add	x8, x8, #0xf88
0xfffffff009387a70: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff009387a74: f55b00a9  stp	x21, x22, [sp]
0xfffffff009387a78: a00bffd0  adrp	x0, #0xfffffff0074fd000
0xfffffff009387a7c: 00803991  add	x0, x0, #0xe60
0xfffffff009387a80: 683dbf97  bl	#0xfffffff008357020
0xfffffff009387a84: 60ee40f9  ldr	x0, [x19, #0x1d8]
0xfffffff009387a88: 600000b4  cbz	x0, #0xfffffff009387a94
0xfffffff009387a8c: c0a1a997  bl	#0xfffffff007df018c
0xfffffff009387a90: 7fee00f9  str	xzr, [x19, #0x1d8]
0xfffffff009387a94: 60f240f9  ldr	x0, [x19, #0x1e0]
0xfffffff009387a98: 600000b4  cbz	x0, #0xfffffff009387aa4
0xfffffff009387a9c: bca1a997  bl	#0xfffffff007df018c
0xfffffff009387aa0: 7ff200f9  str	xzr, [x19, #0x1e0]
0xfffffff009387aa4: 609a40f9  ldr	x0, [x19, #0x130]
0xfffffff009387aa8: 400100b4  cbz	x0, #0xfffffff009387ad0
0xfffffff009387aac: 100040f9  ldr	x16, [x0]
0xfffffff009387ab0: f10300aa  mov	x17, x0
0xfffffff009387ab4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009387ab8: 301ac1da  autda	x16, x17
0xfffffff009387abc: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff009387ac0: e90310aa  mov	x9, x16
0xfffffff009387ac4: f10309aa  mov	x17, x9
0xfffffff009387ac8: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff009387acc: 11093fd7  blraa	x8, x17
0xfffffff009387ad0: 7f9a00f9  str	xzr, [x19, #0x130]
0xfffffff009387ad4: 60a640f9  ldr	x0, [x19, #0x148]
0xfffffff009387ad8: 400100b4  cbz	x0, #0xfffffff009387b00
0xfffffff009387adc: 100040f9  ldr	x16, [x0]
0xfffffff009387ae0: f10300aa  mov	x17, x0
0xfffffff009387ae4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009387ae8: 301ac1da  autda	x16, x17
0xfffffff009387aec: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff009387af0: e90310aa  mov	x9, x16
0xfffffff009387af4: f10309aa  mov	x17, x9
