; Candidate 13661
; ADRP+ADD at VM 0xfffffff0093c0284 (fileoff 0x23bc284): page=0x1fe147000 add_imm=0xcfd

0xfffffff0093c0204: f40300aa  mov	x20, x0
0xfffffff0093c0208: 68464439  ldrb	w8, [x19, #0x111]
0xfffffff0093c020c: 28042036  tbz	w8, #4, #0xfffffff0093c0290
0xfffffff0093c0210: bf031df8  stur	xzr, [x29, #-0x30]
0xfffffff0093c0214: bfc31cb8  stur	wzr, [x29, #-0x34]
0xfffffff0093c0218: a0c300d1  sub	x0, x29, #0x30
0xfffffff0093c021c: a1d300d1  sub	x1, x29, #0x34
0xfffffff0093c0220: 3950ac97  bl	#0xfffffff007ed4304
0xfffffff0093c0224: b5035df8  ldur	x21, [x29, #-0x30]
0xfffffff0093c0228: 700240f9  ldr	x16, [x19]
0xfffffff0093c022c: f10313aa  mov	x17, x19
0xfffffff0093c0230: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0093c0234: 301ac1da  autda	x16, x17
0xfffffff0093c0238: f10310aa  mov	x17, x16
0xfffffff0093c023c: f147c1da  xpacd	x17
0xfffffff0093c0240: 1f0211eb  cmp	x16, x17
0xfffffff0093c0244: 40000054  b.eq	#0xfffffff0093c024c
0xfffffff0093c0248: 408e38d4  brk	#0xc472
0xfffffff0093c024c: 08a20791  add	x8, x16, #0x1e8
0xfffffff0093c0250: 09f640f9  ldr	x9, [x16, #0x1e8]
0xfffffff0093c0254: b6c35cb8  ldur	w22, [x29, #-0x34]
0xfffffff0093c0258: e00313aa  mov	x0, x19
0xfffffff0093c025c: 010080d2  mov	x1, #0
0xfffffff0093c0260: f10308aa  mov	x17, x8
0xfffffff0093c0264: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff0093c0268: 31093fd7  blraa	x9, x17
0xfffffff0093c026c: a8e35d78  ldurh	w8, [x29, #-0x22]
0xfffffff0093c0270: e85302a9  stp	x8, x20, [sp, #0x20]
0xfffffff0093c0274: 280afff0  adrp	x8, #0xfffffff007507000
0xfffffff0093c0278: 08a13491  add	x8, x8, #0xd28
0xfffffff0093c027c: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0093c0280: f55b00a9  stp	x21, x22, [sp]
0xfffffff0093c0284: 200afff0  adrp	x0, #0xfffffff007507000
0xfffffff0093c0288: 00f43391  add	x0, x0, #0xcfd
0xfffffff0093c028c: 655bbe97  bl	#0xfffffff008357020
0xfffffff0093c0290: e00314aa  mov	x0, x20
0xfffffff0093c0294: fd7b47a9  ldp	x29, x30, [sp, #0x70]
0xfffffff0093c0298: f44f46a9  ldp	x20, x19, [sp, #0x60]
0xfffffff0093c029c: f65745a9  ldp	x22, x21, [sp, #0x50]
0xfffffff0093c02a0: ff030291  add	sp, sp, #0x80
0xfffffff0093c02a4: ff0f5fd6  retab	
0xfffffff0093c02a8: f45a8052  mov	w20, #0x2d7
0xfffffff0093c02ac: 1400bc72  movk	w20, #0xe000, lsl #16
0xfffffff0093c02b0: d6ffff17  b	#0xfffffff0093c0208
0xfffffff0093c02b4: 7f2303d5  pacibsp	
0xfffffff0093c02b8: ffc300d1  sub	sp, sp, #0x30
0xfffffff0093c02bc: f44f01a9  stp	x20, x19, [sp, #0x10]
0xfffffff0093c02c0: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff0093c02c4: fd830091  add	x29, sp, #0x20
0xfffffff0093c02c8: e8588052  mov	w8, #0x2c7
0xfffffff0093c02cc: 0800bc72  movk	w8, #0xe000, lsl #16
0xfffffff0093c02d0: 34004079  ldrh	w20, [x1]
0xfffffff0093c02d4: 29648852  mov	w9, #0x4321
0xfffffff0093c02d8: e90700f9  str	x9, [sp, #8]
0xfffffff0093c02dc: 095440f9  ldr	x9, [x0, #0xa8]
0xfffffff0093c02e0: 890400b4  cbz	x9, #0xfffffff0093c0370
0xfffffff0093c02e4: f30300aa  mov	x19, x0
0xfffffff0093c02e8: 09684279  ldrh	w9, [x0, #0x134]
0xfffffff0093c02ec: 9f02096b  cmp	w20, w9
0xfffffff0093c02f0: 61000054  b.ne	#0xfffffff0093c02fc
0xfffffff0093c02f4: 69724639  ldrb	w9, [x19, #0x19c]
0xfffffff0093c02f8: 89040035  cbnz	w9, #0xfffffff0093c0388
0xfffffff0093c02fc: 69fa4439  ldrb	w9, [x19, #0x13e]
0xfffffff0093c0300: c9030036  tbz	w9, #0, #0xfffffff0093c0378
