; Candidate 14652
; ADRP+ADD at VM 0xfffffff009870e08 (fileoff 0x286ce08): page=0x1fe3f3000 add_imm=0xd90

0xfffffff009870d88: 10021191  add	x16, x16, #0x440
0xfffffff009870d8c: 10420091  add	x16, x16, #0x10
0xfffffff009870d90: f10300aa  mov	x17, x0
0xfffffff009870d94: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009870d98: 300ac1da  pacda	x16, x17
0xfffffff009870d9c: 100000f9  str	x16, [x0]
0xfffffff009870da0: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff009870da4: ff0f5fd6  retab	
0xfffffff009870da8: 5f2403d5  bti	c
0xfffffff009870dac: 60f0ff17  b	#0xfffffff00986cf2c
0xfffffff009870db0: 5f2403d5  bti	c
0xfffffff009870db4: 5ef0ff17  b	#0xfffffff00986cf2c
0xfffffff009870db8: 7f2303d5  pacibsp	
0xfffffff009870dbc: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff009870dc0: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff009870dc4: fd430091  add	x29, sp, #0x10
0xfffffff009870dc8: f30300aa  mov	x19, x0
0xfffffff009870dcc: 58f0ff97  bl	#0xfffffff00986cf2c
0xfffffff009870dd0: 801ffff0  adrp	x0, #0xfffffff007c63000
0xfffffff009870dd4: 00403691  add	x0, x0, #0xd90
0xfffffff009870dd8: e10313aa  mov	x1, x19
0xfffffff009870ddc: 020d8052  mov	w2, #0x68
0xfffffff009870de0: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff009870de4: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff009870de8: ff2303d5  autibsp	
0xfffffff009870dec: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff009870df0: 5000f0b6  tbz	x16, #0x3e, #0xfffffff009870df8
0xfffffff009870df4: 208e38d4  brk	#0xc471
0xfffffff009870df8: 29daa917  b	#0xfffffff0082e769c
0xfffffff009870dfc: 5f2403d5  bti	c
0xfffffff009870e00: e20301aa  mov	x2, x1
0xfffffff009870e04: e10300aa  mov	x1, x0
0xfffffff009870e08: 801ffff0  adrp	x0, #0xfffffff007c63000
0xfffffff009870e0c: 00403691  add	x0, x0, #0xd90
0xfffffff009870e10: 23daa917  b	#0xfffffff0082e769c
0xfffffff009870e14: 5f2403d5  bti	c
0xfffffff009870e18: 005900f0  adrp	x0, #0xfffffff00a393000
0xfffffff009870e1c: 00e03891  add	x0, x0, #0xe38
0xfffffff009870e20: c0035fd6  ret	
0xfffffff009870e24: 7f2303d5  pacibsp	
0xfffffff009870e28: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff009870e2c: fd030091  mov	x29, sp
0xfffffff009870e30: c1eafeb0  adrp	x1, #0xfffffff0075c9000
0xfffffff009870e34: 21a43891  add	x1, x1, #0xe29
0xfffffff009870e38: 025900f0  adrp	x2, #0xfffffff00a393000
0xfffffff009870e3c: 42403891  add	x2, x2, #0xe10
0xfffffff009870e40: 030d8052  mov	w3, #0x68
0xfffffff009870e44: 3dcba997  bl	#0xfffffff0082e3b38
0xfffffff009870e48: 901fff90  adrp	x16, #0xfffffff007c60000
0xfffffff009870e4c: 10221491  add	x16, x16, #0x508
0xfffffff009870e50: 10420091  add	x16, x16, #0x10
0xfffffff009870e54: f10300aa  mov	x17, x0
0xfffffff009870e58: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009870e5c: 300ac1da  pacda	x16, x17
0xfffffff009870e60: 100000f9  str	x16, [x0]
0xfffffff009870e64: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff009870e68: ff0f5fd6  retab	
0xfffffff009870e6c: 7f2303d5  pacibsp	
0xfffffff009870e70: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff009870e74: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff009870e78: fd430091  add	x29, sp, #0x10
0xfffffff009870e7c: 801ffff0  adrp	x0, #0xfffffff007c63000
0xfffffff009870e80: 00403691  add	x0, x0, #0xd90
0xfffffff009870e84: 010d8052  mov	w1, #0x68
