; Candidate 16263
; ADRP+ADD at VM 0xfffffff009e39450 (fileoff 0x2e35450): page=0x1fd9ec000 add_imm=0xe4d

0xfffffff009e393d0: e00316aa  mov	x0, x22
0xfffffff009e393d4: fd7b49a9  ldp	x29, x30, [sp, #0x90]
0xfffffff009e393d8: f44f48a9  ldp	x20, x19, [sp, #0x80]
0xfffffff009e393dc: f65747a9  ldp	x22, x21, [sp, #0x70]
0xfffffff009e393e0: f85f46a9  ldp	x24, x23, [sp, #0x60]
0xfffffff009e393e4: fa6745a9  ldp	x26, x25, [sp, #0x50]
0xfffffff009e393e8: fc6f44a9  ldp	x28, x27, [sp, #0x40]
0xfffffff009e393ec: ff830291  add	sp, sp, #0xa0
0xfffffff009e393f0: ff0f5fd6  retab	
0xfffffff009e393f4: 40600091  add	x0, x2, #0x18
0xfffffff009e393f8: e16200d1  sub	x1, x23, #0x18
0xfffffff009e393fc: e3e30091  add	x3, sp, #0x38
0xfffffff009e39400: e4d30091  add	x4, sp, #0x34
0xfffffff009e39404: 42008052  mov	w2, #2
0xfffffff009e39408: f5820494  bl	#0xfffffff009f59fdc
0xfffffff009e3940c: f60300aa  mov	x22, x0
0xfffffff009e39410: e0000035  cbnz	w0, #0xfffffff009e3942c
0xfffffff009e39414: e83740b9  ldr	w8, [sp, #0x34]
0xfffffff009e39418: 1f210071  cmp	w8, #8
0xfffffff009e3941c: 81000054  b.ne	#0xfffffff009e3942c
0xfffffff009e39420: e81f40f9  ldr	x8, [sp, #0x38]
0xfffffff009e39424: 080140f9  ldr	x8, [x8]
0xfffffff009e39428: 0e000014  b	#0xfffffff009e39460
0xfffffff009e3942c: 083e8452  mov	w8, #0x21f0
0xfffffff009e39430: 6802088b  add	x8, x19, x8
0xfffffff009e39434: a94241f8  ldur	x9, [x21, #0x14]
0xfffffff009e39438: e95b02a9  stp	x9, x22, [sp, #0x20]
0xfffffff009e3943c: e85f01a9  stp	x8, x23, [sp, #0x10]
0xfffffff009e39440: 68cffe90  adrp	x8, #0xfffffff007825000
0xfffffff009e39444: 08c13891  add	x8, x8, #0xe30
0xfffffff009e39448: 49d38052  mov	w9, #0x69a
0xfffffff009e3944c: e82700a9  stp	x8, x9, [sp]
0xfffffff009e39450: 60cffe90  adrp	x0, #0xfffffff007825000
0xfffffff009e39454: 00343991  add	x0, x0, #0xe4d
0xfffffff009e39458: 1b190194  bl	#0xfffffff009e7f8c4
0xfffffff009e3945c: 080080d2  mov	x8, #0
0xfffffff009e39460: 280300f9  str	x8, [x25]
0xfffffff009e39464: b4f9ffb5  cbnz	x20, #0xfffffff009e39398
0xfffffff009e39468: daffff17  b	#0xfffffff009e393d0
0xfffffff009e3946c: 7f2303d5  pacibsp	
0xfffffff009e39470: ffc301d1  sub	sp, sp, #0x70
0xfffffff009e39474: fa6702a9  stp	x26, x25, [sp, #0x20]
0xfffffff009e39478: f85f03a9  stp	x24, x23, [sp, #0x30]
0xfffffff009e3947c: f65704a9  stp	x22, x21, [sp, #0x40]
0xfffffff009e39480: f44f05a9  stp	x20, x19, [sp, #0x50]
0xfffffff009e39484: fd7b06a9  stp	x29, x30, [sp, #0x60]
0xfffffff009e39488: fd830191  add	x29, sp, #0x60
0xfffffff009e3948c: f40303aa  mov	x20, x3
0xfffffff009e39490: f50302aa  mov	x21, x2
0xfffffff009e39494: f60301aa  mov	x22, x1
0xfffffff009e39498: f30300aa  mov	x19, x0
0xfffffff009e3949c: bf5e0394  bl	#0xfffffff009f10f98
0xfffffff009e394a0: 1f000071  cmp	w0, #0
0xfffffff009e394a4: 08018052  mov	w8, #8
0xfffffff009e394a8: 18159f1a  csinc	w24, w8, wzr, ne
0xfffffff009e394ac: ff0b00f9  str	xzr, [sp, #0x10]
0xfffffff009e394b0: f70314aa  mov	x23, x20
0xfffffff009e394b4: 740100b4  cbz	x20, #0xfffffff009e394e0
0xfffffff009e394b8: 637e40f9  ldr	x3, [x19, #0xf8]
0xfffffff009e394bc: e4430091  add	x4, sp, #0x10
0xfffffff009e394c0: e00313aa  mov	x0, x19
0xfffffff009e394c4: e10318aa  mov	x1, x24
0xfffffff009e394c8: e20317aa  mov	x2, x23
0xfffffff009e394cc: daa70294  bl	#0xfffffff009ee3434
