; Candidate 12640
; ADRP+ADD at VM 0xfffffff0090deb40 (fileoff 0x20dab40): page=0x1fe38f000 add_imm=0xdca

0xfffffff0090deac0: f6574ca9  ldp	x22, x21, [sp, #0xc0]
0xfffffff0090deac4: f85f4ba9  ldp	x24, x23, [sp, #0xb0]
0xfffffff0090deac8: fa674aa9  ldp	x26, x25, [sp, #0xa0]
0xfffffff0090deacc: fc6f49a9  ldp	x28, x27, [sp, #0x90]
0xfffffff0090dead0: ffc30391  add	sp, sp, #0xf0
0xfffffff0090dead4: ff0f5fd6  retab	
0xfffffff0090dead8: b49100d0  adrp	x20, #0xfffffff00a314000
0xfffffff0090deadc: 94e21691  add	x20, x20, #0x5b8
0xfffffff0090deae0: 681cffd0  adrp	x8, #0xfffffff00746c000
0xfffffff0090deae4: 08212c91  add	x8, x8, #0xb08
0xfffffff0090deae8: 751cffd0  adrp	x21, #0xfffffff00746c000
0xfffffff0090deaec: b5522c91  add	x21, x21, #0xb14
0xfffffff0090deaf0: 890240f9  ldr	x9, [x20]
0xfffffff0090deaf4: 3f0100f1  cmp	x9, #0
0xfffffff0090deaf8: b602889a  csel	x22, x21, x8, eq
0xfffffff0090deafc: 681cffd0  adrp	x8, #0xfffffff00746c000
0xfffffff0090deb00: 08552c91  add	x8, x8, #0xb15
0xfffffff0090deb04: b702889a  csel	x23, x21, x8, eq
0xfffffff0090deb08: 28400094  bl	#0xfffffff0090eeba8
0xfffffff0090deb0c: 880240f9  ldr	x8, [x20]
0xfffffff0090deb10: 691cffd0  adrp	x9, #0xfffffff00746c000
0xfffffff0090deb14: 29852c91  add	x9, x9, #0xb21
0xfffffff0090deb18: 1f0100f1  cmp	x8, #0
0xfffffff0090deb1c: a802899a  csel	x8, x21, x9, eq
0xfffffff0090deb20: e8a304a9  stp	x8, x8, [sp, #0x48]
0xfffffff0090deb24: f78303a9  stp	x23, x0, [sp, #0x38]
0xfffffff0090deb28: 68798152  mov	w8, #0xbcb
0xfffffff0090deb2c: f5a302a9  stp	x21, x8, [sp, #0x28]
0xfffffff0090deb30: f5d701a9  stp	x21, x21, [sp, #0x18]
0xfffffff0090deb34: 681cffd0  adrp	x8, #0xfffffff00746c000
0xfffffff0090deb38: 08dd2b91  add	x8, x8, #0xaf7
0xfffffff0090deb3c: f6d700a9  stp	x22, x21, [sp, #8]
0xfffffff0090deb40: 601cfff0  adrp	x0, #0xfffffff00746d000
0xfffffff0090deb44: 00283791  add	x0, x0, #0xdca
0xfffffff0090deb48: e80300f9  str	x8, [sp]
0xfffffff0090deb4c: 35e1c997  bl	#0xfffffff008357020
0xfffffff0090deb50: b9ffff17  b	#0xfffffff0090dea34
0xfffffff0090deb54: c4a30094  bl	#0xfffffff009107a64
0xfffffff0090deb58: e10300aa  mov	x1, x0
0xfffffff0090deb5c: e0031aaa  mov	x0, x26
0xfffffff0090deb60: eba30094  bl	#0xfffffff009107b0c
0xfffffff0090deb64: cba30094  bl	#0xfffffff009107a90
0xfffffff0090deb68: e00316aa  mov	x0, x22
0xfffffff0090deb6c: d4a30094  bl	#0xfffffff009107abc
0xfffffff0090deb70: 7f2303d5  pacibsp	
0xfffffff0090deb74: f657bda9  stp	x22, x21, [sp, #-0x30]!
0xfffffff0090deb78: f44f01a9  stp	x20, x19, [sp, #0x10]
0xfffffff0090deb7c: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff0090deb80: fd830091  add	x29, sp, #0x20
0xfffffff0090deb84: f40302aa  mov	x20, x2
0xfffffff0090deb88: f50301aa  mov	x21, x1
0xfffffff0090deb8c: f30300aa  mov	x19, x0
0xfffffff0090deb90: 8853ff90  adrp	x8, #0xfffffff007b4e000
0xfffffff0090deb94: 082946f9  ldr	x8, [x8, #0xc50]
0xfffffff0090deb98: 080140b9  ldr	w8, [x8]
0xfffffff0090deb9c: 1f791c72  tst	w8, #0xfffffff7
0xfffffff0090deba0: 40010054  b.eq	#0xfffffff0090debc8
0xfffffff0090deba4: 88064039  ldrb	w8, [x20, #1]
0xfffffff0090deba8: 01194092  and	x1, x8, #0x7f
0xfffffff0090debac: 820a4039  ldrb	w2, [x20, #2]
0xfffffff0090debb0: 03fd47d3  lsr	x3, x8, #7
0xfffffff0090debb4: 00198052  mov	w0, #0xc8
0xfffffff0090debb8: 0045b072  movk	w0, #0x8228, lsl #16
0xfffffff0090debbc: 040080d2  mov	x4, #0
