; Candidate 14523
; ADRP+ADD at VM 0xfffffff009803520 (fileoff 0x27ff520): page=0x1fddb3000 add_imm=0xce3

0xfffffff0098034a0: 700240f9  ldr	x16, [x19]
0xfffffff0098034a4: f10313aa  mov	x17, x19
0xfffffff0098034a8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0098034ac: 301ac1da  autda	x16, x17
0xfffffff0098034b0: 088e4df8  ldr	x8, [x16, #0xd8]!
0xfffffff0098034b4: e90310aa  mov	x9, x16
0xfffffff0098034b8: 81edfef0  adrp	x1, #0xfffffff0075b6000
0xfffffff0098034bc: 21bc0b91  add	x1, x1, #0x2ef
0xfffffff0098034c0: e00313aa  mov	x0, x19
0xfffffff0098034c4: 22008052  mov	w2, #1
0xfffffff0098034c8: f10309aa  mov	x17, x9
0xfffffff0098034cc: d145e2f2  movk	x17, #0x122e, lsl #48
0xfffffff0098034d0: 11093fd7  blraa	x8, x17
0xfffffff0098034d4: baffff17  b	#0xfffffff0098033bc
0xfffffff0098034d8: 686e40f9  ldr	x8, [x19, #0xd8]
0xfffffff0098034dc: e9428252  mov	w9, #0x1217
0xfffffff0098034e0: 8aedfed0  adrp	x10, #0xfffffff0075b5000
0xfffffff0098034e4: 4a613c91  add	x10, x10, #0xf18
0xfffffff0098034e8: eaa700a9  stp	x10, x9, [sp, #8]
0xfffffff0098034ec: e80300f9  str	x8, [sp]
0xfffffff0098034f0: 80edfed0  adrp	x0, #0xfffffff0075b5000
0xfffffff0098034f4: 00bc2291  add	x0, x0, #0x8af
0xfffffff0098034f8: 0544b297  bl	#0xfffffff00849450c
0xfffffff0098034fc: 686e40f9  ldr	x8, [x19, #0xd8]
0xfffffff009803500: 49488252  mov	w9, #0x1242
0xfffffff009803504: f7ffff17  b	#0xfffffff0098034e0
0xfffffff009803508: 686e40f9  ldr	x8, [x19, #0xd8]
0xfffffff00980350c: c9498252  mov	w9, #0x124e
0xfffffff009803510: 8aedfef0  adrp	x10, #0xfffffff0075b6000
0xfffffff009803514: 4a3d0291  add	x10, x10, #0x8f
0xfffffff009803518: ea2701a9  stp	x10, x9, [sp, #0x10]
0xfffffff00980351c: e80300a9  stp	x8, x0, [sp]
0xfffffff009803520: 80edfef0  adrp	x0, #0xfffffff0075b6000
0xfffffff009803524: 008c3391  add	x0, x0, #0xce3
0xfffffff009803528: f943b297  bl	#0xfffffff00849450c
0xfffffff00980352c: 7f2303d5  pacibsp	
0xfffffff009803530: ffc301d1  sub	sp, sp, #0x70
0xfffffff009803534: fa6702a9  stp	x26, x25, [sp, #0x20]
0xfffffff009803538: f85f03a9  stp	x24, x23, [sp, #0x30]
0xfffffff00980353c: f65704a9  stp	x22, x21, [sp, #0x40]
0xfffffff009803540: f44f05a9  stp	x20, x19, [sp, #0x50]
0xfffffff009803544: fd7b06a9  stp	x29, x30, [sp, #0x60]
0xfffffff009803548: fd830191  add	x29, sp, #0x60
0xfffffff00980354c: f40300aa  mov	x20, x0
0xfffffff009803550: c10f00b4  cbz	x1, #0xfffffff009803748
0xfffffff009803554: f30301aa  mov	x19, x1
0xfffffff009803558: 819240f9  ldr	x1, [x20, #0x120]
0xfffffff00980355c: 280840b9  ldr	w8, [x1, #8]
0xfffffff009803560: 08050312  and	w8, w8, #0x60000000
0xfffffff009803564: 0900a852  mov	w9, #0x40000000
0xfffffff009803568: 1f01096b  cmp	w8, w9
0xfffffff00980356c: 81020054  b.ne	#0xfffffff0098035bc
0xfffffff009803570: 807640f9  ldr	x0, [x20, #0xe8]
0xfffffff009803574: 821241b9  ldr	w2, [x20, #0x110]
0xfffffff009803578: 100040f9  ldr	x16, [x0]
0xfffffff00980357c: f10300aa  mov	x17, x0
0xfffffff009803580: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009803584: 301ac1da  autda	x16, x17
0xfffffff009803588: 11ab80d2  mov	x17, #0x558
0xfffffff00980358c: 1002118b  add	x16, x16, x17
0xfffffff009803590: 080240f9  ldr	x8, [x16]
0xfffffff009803594: e90310aa  mov	x9, x16
0xfffffff009803598: f10309aa  mov	x17, x9
0xfffffff00980359c: f14de4f2  movk	x17, #0x226f, lsl #48
