; Candidate 4279
; ADRP+ADD at VM 0xfffffff00879c218 (fileoff 0x1798218): page=0x1fe995000 add_imm=0xd90

0xfffffff00879c198: 006935f8  str	x0, [x8, x21]
0xfffffff00879c19c: 68ae50f9  ldr	x8, [x19, #0x2158]
0xfffffff00879c1a0: 086975f8  ldr	x8, [x8, x21]
0xfffffff00879c1a4: 281200b4  cbz	x8, #0xfffffff00879c3e8
0xfffffff00879c1a8: b5220091  add	x21, x21, #8
0xfffffff00879c1ac: ff0215eb  cmp	x23, x21
0xfffffff00879c1b0: 21fdff54  b.ne	#0xfffffff00879c154
0xfffffff00879c1b4: c8f67ed3  lsl	x8, x22, #2
0xfffffff00879c1b8: 9f020071  cmp	w20, #0
0xfffffff00879c1bc: 0900f0d2  mov	x9, #-0x8000000000000000
0xfffffff00879c1c0: 34b1889a  csel	x20, x9, x8, lt
0xfffffff00879c1c4: e00314aa  mov	x0, x20
0xfffffff00879c1c8: c8eaee97  bl	#0xfffffff008356ce8
0xfffffff00879c1cc: 60d211f9  str	x0, [x19, #0x23a0]
0xfffffff00879c1d0: e00a00b4  cbz	x0, #0xfffffff00879c32c
0xfffffff00879c1d4: e00314aa  mov	x0, x20
0xfffffff00879c1d8: c4eaee97  bl	#0xfffffff008356ce8
0xfffffff00879c1dc: 60d611f9  str	x0, [x19, #0x23a8]
0xfffffff00879c1e0: e00b00b4  cbz	x0, #0xfffffff00879c35c
0xfffffff00879c1e4: e00314aa  mov	x0, x20
0xfffffff00879c1e8: c0eaee97  bl	#0xfffffff008356ce8
0xfffffff00879c1ec: 605e12f9  str	x0, [x19, #0x24b8]
0xfffffff00879c1f0: e00c00b4  cbz	x0, #0xfffffff00879c38c
0xfffffff00879c1f4: e00314aa  mov	x0, x20
0xfffffff00879c1f8: bceaee97  bl	#0xfffffff008356ce8
0xfffffff00879c1fc: 606212f9  str	x0, [x19, #0x24c0]
0xfffffff00879c200: e00d00b4  cbz	x0, #0xfffffff00879c3bc
0xfffffff00879c204: 00008052  mov	w0, #0
0xfffffff00879c208: 79000014  b	#0xfffffff00879c3ec
0xfffffff00879c20c: 084eff90  adrp	x8, #0xfffffff00715c000
0xfffffff00879c210: 08011391  add	x8, x8, #0x4c0
0xfffffff00879c214: e80300f9  str	x8, [sp]
0xfffffff00879c218: a04cffb0  adrp	x0, #0xfffffff007131000
0xfffffff00879c21c: 00403691  add	x0, x0, #0xd90
0xfffffff00879c220: 0193ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff00879c224: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00879c228: 634dffb0  adrp	x3, #0xfffffff007149000
0xfffffff00879c22c: 63942191  add	x3, x3, #0x865
0xfffffff00879c230: 02008052  mov	w2, #0
0xfffffff00879c234: bf5bee97  bl	#0xfffffff008333130
0xfffffff00879c238: 6c000014  b	#0xfffffff00879c3e8
0xfffffff00879c23c: 084eff90  adrp	x8, #0xfffffff00715c000
0xfffffff00879c240: 08011391  add	x8, x8, #0x4c0
0xfffffff00879c244: e80300f9  str	x8, [sp]
0xfffffff00879c248: a04cffb0  adrp	x0, #0xfffffff007131000
0xfffffff00879c24c: 00403691  add	x0, x0, #0xd90
0xfffffff00879c250: 0193ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff00879c254: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00879c258: 634dffb0  adrp	x3, #0xfffffff007149000
0xfffffff00879c25c: 63302291  add	x3, x3, #0x88c
0xfffffff00879c260: 02008052  mov	w2, #0
0xfffffff00879c264: b35bee97  bl	#0xfffffff008333130
0xfffffff00879c268: 60000014  b	#0xfffffff00879c3e8
0xfffffff00879c26c: 084eff90  adrp	x8, #0xfffffff00715c000
0xfffffff00879c270: 08011391  add	x8, x8, #0x4c0
0xfffffff00879c274: e80300f9  str	x8, [sp]
0xfffffff00879c278: a04cffb0  adrp	x0, #0xfffffff007131000
0xfffffff00879c27c: 00403691  add	x0, x0, #0xd90
0xfffffff00879c280: 0193ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff00879c284: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00879c288: 634dffb0  adrp	x3, #0xfffffff007149000
0xfffffff00879c28c: 63d42291  add	x3, x3, #0x8b5
0xfffffff00879c290: 02008052  mov	w2, #0
0xfffffff00879c294: a75bee97  bl	#0xfffffff008333130
