; Candidate 6900
; ADRP+ADD at VM 0xfffffff008849048 (fileoff 0x1845048): page=0x1fe9a0000 add_imm=0xe80

0xfffffff008848fc8: 57050034  cbz	w23, #0xfffffff008849070
0xfffffff008848fcc: f35703a9  stp	x19, x21, [sp, #0x30]
0xfffffff008848fd0: e84effb0  adrp	x8, #0xfffffff007225000
0xfffffff008848fd4: 08c11691  add	x8, x8, #0x5b0
0xfffffff008848fd8: 09058052  mov	w9, #0x28
0xfffffff008848fdc: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff008848fe0: e84effb0  adrp	x8, #0xfffffff007225000
0xfffffff008848fe4: 08751391  add	x8, x8, #0x4dd
0xfffffff008848fe8: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008848fec: 28098052  mov	w8, #0x49
0xfffffff008848ff0: e04effb0  adrp	x0, #0xfffffff007225000
0xfffffff008848ff4: 009c1591  add	x0, x0, #0x567
0xfffffff008848ff8: f62300a9  stp	x22, x8, [sp]
0xfffffff008848ffc: 19b9d597  bl	#0xfffffff007db7460
0xfffffff008849000: 32000014  b	#0xfffffff0088490c8
0xfffffff008849004: 6aac0194  bl	#0xfffffff0088b41ac
0xfffffff008849008: f60300aa  mov	x22, x0
0xfffffff00884900c: 80008052  mov	w0, #4
0xfffffff008849010: 10ca0094  bl	#0xfffffff00887b850
0xfffffff008849014: e80315aa  mov	x8, x21
0xfffffff008849018: e82300f9  str	x8, [sp, #0x40]
0xfffffff00884901c: e80314aa  mov	x8, x20
0xfffffff008849020: f32303a9  stp	x19, x8, [sp, #0x30]
0xfffffff008849024: e84eff90  adrp	x8, #0xfffffff007225000
0xfffffff008849028: 08811491  add	x8, x8, #0x520
0xfffffff00884902c: 89038052  mov	w9, #0x1c
0xfffffff008849030: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff008849034: e84eff90  adrp	x8, #0xfffffff007225000
0xfffffff008849038: 08751391  add	x8, x8, #0x4dd
0xfffffff00884903c: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008849040: 28098052  mov	w8, #0x49
0xfffffff008849044: f62300a9  stp	x22, x8, [sp]
0xfffffff008849048: 004dff90  adrp	x0, #0xfffffff0071e9000
0xfffffff00884904c: 00003a91  add	x0, x0, #0xe80
0xfffffff008849050: e18dfff0  adrp	x1, #0xfffffff007a08000
0xfffffff008849054: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008849058: 4350ff90  adrp	x3, #0xfffffff007251000
0xfffffff00884905c: 632c0b91  add	x3, x3, #0x2cb
0xfffffff008849060: 02008052  mov	w2, #0
0xfffffff008849064: 33a8eb97  bl	#0xfffffff008333130
0xfffffff008849068: 167d8012  mov	w22, #-0x3e9
0xfffffff00884906c: 18000014  b	#0xfffffff0088490cc
0xfffffff008849070: 4fac0194  bl	#0xfffffff0088b41ac
0xfffffff008849074: f60300aa  mov	x22, x0
0xfffffff008849078: 80008052  mov	w0, #4
0xfffffff00884907c: f5c90094  bl	#0xfffffff00887b850
0xfffffff008849080: f35703a9  stp	x19, x21, [sp, #0x30]
0xfffffff008849084: e84eff90  adrp	x8, #0xfffffff007225000
0xfffffff008849088: 08c11691  add	x8, x8, #0x5b0
0xfffffff00884908c: 09058052  mov	w9, #0x28
0xfffffff008849090: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff008849094: e84eff90  adrp	x8, #0xfffffff007225000
0xfffffff008849098: 08751391  add	x8, x8, #0x4dd
0xfffffff00884909c: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088490a0: 28098052  mov	w8, #0x49
0xfffffff0088490a4: f62300a9  stp	x22, x8, [sp]
0xfffffff0088490a8: 004dff90  adrp	x0, #0xfffffff0071e9000
0xfffffff0088490ac: 00003a91  add	x0, x0, #0xe80
0xfffffff0088490b0: e18dfff0  adrp	x1, #0xfffffff007a08000
0xfffffff0088490b4: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088490b8: 4350ff90  adrp	x3, #0xfffffff007251000
0xfffffff0088490bc: 63000c91  add	x3, x3, #0x300
0xfffffff0088490c0: 02008052  mov	w2, #0
0xfffffff0088490c4: 1ba8eb97  bl	#0xfffffff008333130
