; Candidate 5026
; ADRP+ADD at VM 0xfffffff0087d2e90 (fileoff 0x17cee90): page=0x1fea17000 add_imm=0xe80

0xfffffff0087d2e10: f70300aa  mov	x23, x0
0xfffffff0087d2e14: e6840394  bl	#0xfffffff0088b41ac
0xfffffff0087d2e18: f60300aa  mov	x22, x0
0xfffffff0087d2e1c: e0008052  mov	w0, #7
0xfffffff0087d2e20: 8ca20294  bl	#0xfffffff00887b850
0xfffffff0087d2e24: d7010034  cbz	w23, #0xfffffff0087d2e5c
0xfffffff0087d2e28: f45703a9  stp	x20, x21, [sp, #0x30]
0xfffffff0087d2e2c: e851fff0  adrp	x8, #0xfffffff007211000
0xfffffff0087d2e30: 081d1791  add	x8, x8, #0x5c7
0xfffffff0087d2e34: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff0087d2e38: e851ffd0  adrp	x8, #0xfffffff007210000
0xfffffff0087d2e3c: 08712591  add	x8, x8, #0x95c
0xfffffff0087d2e40: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087d2e44: 080a8052  mov	w8, #0x50
0xfffffff0087d2e48: e051fff0  adrp	x0, #0xfffffff007211000
0xfffffff0087d2e4c: 007c1691  add	x0, x0, #0x59f
0xfffffff0087d2e50: f62300a9  stp	x22, x8, [sp]
0xfffffff0087d2e54: 8391d797  bl	#0xfffffff007db7460
0xfffffff0087d2e58: 16000014  b	#0xfffffff0087d2eb0
0xfffffff0087d2e5c: d4840394  bl	#0xfffffff0088b41ac
0xfffffff0087d2e60: f60300aa  mov	x22, x0
0xfffffff0087d2e64: e0008052  mov	w0, #7
0xfffffff0087d2e68: 7aa20294  bl	#0xfffffff00887b850
0xfffffff0087d2e6c: f45703a9  stp	x20, x21, [sp, #0x30]
0xfffffff0087d2e70: e851fff0  adrp	x8, #0xfffffff007211000
0xfffffff0087d2e74: 081d1791  add	x8, x8, #0x5c7
0xfffffff0087d2e78: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff0087d2e7c: e851ffd0  adrp	x8, #0xfffffff007210000
0xfffffff0087d2e80: 08712591  add	x8, x8, #0x95c
0xfffffff0087d2e84: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087d2e88: 080a8052  mov	w8, #0x50
0xfffffff0087d2e8c: f62300a9  stp	x22, x8, [sp]
0xfffffff0087d2e90: a050fff0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087d2e94: 00003a91  add	x0, x0, #0xe80
0xfffffff0087d2e98: a191ffd0  adrp	x1, #0xfffffff007a08000
0xfffffff0087d2e9c: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087d2ea0: 4353ffb0  adrp	x3, #0xfffffff00723b000
0xfffffff0087d2ea4: 63880391  add	x3, x3, #0xe2
0xfffffff0087d2ea8: 02008052  mov	w2, #0
0xfffffff0087d2eac: a180ed97  bl	#0xfffffff008333130
0xfffffff0087d2eb0: 68c240b9  ldr	w8, [x19, #0xc0]
0xfffffff0087d2eb4: 08050034  cbz	w8, #0xfffffff0087d2f54
0xfffffff0087d2eb8: 977e4092  and	x23, x20, #0xffffffff
0xfffffff0087d2ebc: 98138052  mov	w24, #0x9c
0xfffffff0087d2ec0: d874a572  movk	w24, #0x2ba6, lsl #16
0xfffffff0087d2ec4: 80138052  mov	w0, #0x9c
0xfffffff0087d2ec8: c074a572  movk	w0, #0x2ba6, lsl #16
0xfffffff0087d2ecc: 010080d2  mov	x1, #0
0xfffffff0087d2ed0: 020080d2  mov	x2, #0
0xfffffff0087d2ed4: e30317aa  mov	x3, x23
0xfffffff0087d2ed8: 040080d2  mov	x4, #0
0xfffffff0087d2edc: 050080d2  mov	x5, #0
0xfffffff0087d2ee0: 09ace697  bl	#0xfffffff00817df04
0xfffffff0087d2ee4: 605a40f9  ldr	x0, [x19, #0xb0]
0xfffffff0087d2ee8: 100040f9  ldr	x16, [x0]
0xfffffff0087d2eec: f10300aa  mov	x17, x0
0xfffffff0087d2ef0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0087d2ef4: 301ac1da  autda	x16, x17
0xfffffff0087d2ef8: 088e4ef8  ldr	x8, [x16, #0xe8]!
0xfffffff0087d2efc: e90310aa  mov	x9, x16
0xfffffff0087d2f00: 700300b0  adrp	x16, #0xfffffff00883f000
0xfffffff0087d2f04: 10b20591  add	x16, x16, #0x16c
0xfffffff0087d2f08: 31a897d2  mov	x17, #0xbd41
0xfffffff0087d2f0c: 3002c1da  pacia	x16, x17
