; Candidate 10022
; ADRP+ADD at VM 0xfffffff008c7c6e4 (fileoff 0x1c786e4): page=0x1fe6cf000 add_imm=0xd39

0xfffffff008c7c664: b1f4e6f2  movk	x17, #0x37a5, lsl #48
0xfffffff008c7c668: 31093fd7  blraa	x9, x17
0xfffffff008c7c66c: e10317aa  mov	x1, x23
0xfffffff008c7c670: a19dd997  bl	#0xfffffff0082e3cf4
0xfffffff008c7c674: b60500b4  cbz	x22, #0xfffffff008c7c728
0xfffffff008c7c678: f70300aa  mov	x23, x0
0xfffffff008c7c67c: d00240f9  ldr	x16, [x22]
0xfffffff008c7c680: f10316aa  mov	x17, x22
0xfffffff008c7c684: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008c7c688: 301ac1da  autda	x16, x17
0xfffffff008c7c68c: 080e4af8  ldr	x8, [x16, #0xa0]!
0xfffffff008c7c690: e90310aa  mov	x9, x16
0xfffffff008c7c694: e00316aa  mov	x0, x22
0xfffffff008c7c698: f10309aa  mov	x17, x9
0xfffffff008c7c69c: 7173f7f2  movk	x17, #0xbb9b, lsl #48
0xfffffff008c7c6a0: 11093fd7  blraa	x8, x17
0xfffffff008c7c6a4: 570800b4  cbz	x23, #0xfffffff008c7c7ac
0xfffffff008c7c6a8: f80300aa  mov	x24, x0
0xfffffff008c7c6ac: d00240f9  ldr	x16, [x22]
0xfffffff008c7c6b0: f10316aa  mov	x17, x22
0xfffffff008c7c6b4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008c7c6b8: 301ac1da  autda	x16, x17
0xfffffff008c7c6bc: 080e4af8  ldr	x8, [x16, #0xa0]!
0xfffffff008c7c6c0: e90310aa  mov	x9, x16
0xfffffff008c7c6c4: e00316aa  mov	x0, x22
0xfffffff008c7c6c8: f10309aa  mov	x17, x9
0xfffffff008c7c6cc: 7173f7f2  movk	x17, #0xbb9b, lsl #48
0xfffffff008c7c6d0: 11093fd7  blraa	x8, x17
0xfffffff008c7c6d4: 1f00186b  cmp	w0, w24
0xfffffff008c7c6d8: 01070054  b.ne	#0xfffffff008c7c7b8
0xfffffff008c7c6dc: 1f070072  tst	w24, #3
0xfffffff008c7c6e0: c00c0054  b.eq	#0xfffffff008c7c878
0xfffffff008c7c6e4: 6036fff0  adrp	x0, #0xfffffff00734b000
0xfffffff008c7c6e8: 00e43491  add	x0, x0, #0xd39
0xfffffff008c7c6ec: 35000014  b	#0xfffffff008c7c7c0
0xfffffff008c7c6f0: 900240f9  ldr	x16, [x20]
0xfffffff008c7c6f4: f10314aa  mov	x17, x20
0xfffffff008c7c6f8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008c7c6fc: 301ac1da  autda	x16, x17
0xfffffff008c7c700: 088e4df8  ldr	x8, [x16, #0xd8]!
0xfffffff008c7c704: e90310aa  mov	x9, x16
0xfffffff008c7c708: 6136fff0  adrp	x1, #0xfffffff00734b000
0xfffffff008c7c70c: 21482e91  add	x1, x1, #0xb92
0xfffffff008c7c710: e00314aa  mov	x0, x20
0xfffffff008c7c714: 22008052  mov	w2, #1
0xfffffff008c7c718: f10309aa  mov	x17, x9
0xfffffff008c7c71c: d145e2f2  movk	x17, #0x122e, lsl #48
0xfffffff008c7c720: 11093fd7  blraa	x8, x17
0xfffffff008c7c724: 77ffff17  b	#0xfffffff008c7c500
0xfffffff008c7c728: 28008052  mov	w8, #1
0xfffffff008c7c72c: 88420439  strb	w8, [x20, #0x110]
0xfffffff008c7c730: 9fe20339  strb	wzr, [x20, #0xf8]
0xfffffff008c7c734: 88b20279  strh	w8, [x20, #0x158]
0xfffffff008c7c738: 900240f9  ldr	x16, [x20]
0xfffffff008c7c73c: f10314aa  mov	x17, x20
0xfffffff008c7c740: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008c7c744: 301ac1da  autda	x16, x17
0xfffffff008c7c748: 088e4df8  ldr	x8, [x16, #0xd8]!
0xfffffff008c7c74c: e90310aa  mov	x9, x16
0xfffffff008c7c750: 6136fff0  adrp	x1, #0xfffffff00734b000
0xfffffff008c7c754: 21482e91  add	x1, x1, #0xb92
0xfffffff008c7c758: e00314aa  mov	x0, x20
0xfffffff008c7c75c: 02008052  mov	w2, #0
0xfffffff008c7c760: f10309aa  mov	x17, x9
