; Candidate 8922
; ADRP+ADD at VM 0xfffffff0088ee870 (fileoff 0x18ea870): page=0x1fe980000 add_imm=0xd14

0xfffffff0088ee7f0: e10314aa  mov	x1, x20
0xfffffff0088ee7f4: e20313aa  mov	x2, x19
0xfffffff0088ee7f8: e30316aa  mov	x3, x22
0xfffffff0088ee7fc: e40317aa  mov	x4, x23
0xfffffff0088ee800: e50318aa  mov	x5, x24
0xfffffff0088ee804: fd7b43a9  ldp	x29, x30, [sp, #0x30]
0xfffffff0088ee808: f44f42a9  ldp	x20, x19, [sp, #0x20]
0xfffffff0088ee80c: f65741a9  ldp	x22, x21, [sp, #0x10]
0xfffffff0088ee810: f85fc4a8  ldp	x24, x23, [sp], #0x40
0xfffffff0088ee814: ff2303d5  autibsp	
0xfffffff0088ee818: d1071eca  eor	x17, x30, x30, lsl #1
0xfffffff0088ee81c: 5100f0b6  tbz	x17, #0x3e, #0xfffffff0088ee824
0xfffffff0088ee820: 208e38d4  brk	#0xc471
0xfffffff0088ee824: f10306aa  mov	x17, x6
0xfffffff0088ee828: 516af6f2  movk	x17, #0xb352, lsl #48
0xfffffff0088ee82c: 110a1fd7  braa	x16, x17
0xfffffff0088ee830: a0588052  mov	w0, #0x2c5
0xfffffff0088ee834: 0000bc72  movk	w0, #0xe000, lsl #16
0xfffffff0088ee838: fd7b43a9  ldp	x29, x30, [sp, #0x30]
0xfffffff0088ee83c: f44f42a9  ldp	x20, x19, [sp, #0x20]
0xfffffff0088ee840: f65741a9  ldp	x22, x21, [sp, #0x10]
0xfffffff0088ee844: f85fc4a8  ldp	x24, x23, [sp], #0x40
0xfffffff0088ee848: ff0f5fd6  retab	
0xfffffff0088ee84c: 004cff90  adrp	x0, #0xfffffff00726e000
0xfffffff0088ee850: 00603691  add	x0, x0, #0xd98
0xfffffff0088ee854: df030094  bl	#0xfffffff0088ef7d0
0xfffffff0088ee858: 004cff90  adrp	x0, #0xfffffff00726e000
0xfffffff0088ee85c: 00a02f91  add	x0, x0, #0xbe8
0xfffffff0088ee860: dc030094  bl	#0xfffffff0088ef7d0
0xfffffff0088ee864: 004cff90  adrp	x0, #0xfffffff00726e000
0xfffffff0088ee868: 00683191  add	x0, x0, #0xc5a
0xfffffff0088ee86c: d9030094  bl	#0xfffffff0088ef7d0
0xfffffff0088ee870: 004cff90  adrp	x0, #0xfffffff00726e000
0xfffffff0088ee874: 00503491  add	x0, x0, #0xd14
0xfffffff0088ee878: d6030094  bl	#0xfffffff0088ef7d0
0xfffffff0088ee87c: 004cff90  adrp	x0, #0xfffffff00726e000
0xfffffff0088ee880: 00d43291  add	x0, x0, #0xcb5
0xfffffff0088ee884: d3030094  bl	#0xfffffff0088ef7d0
0xfffffff0088ee888: 5f2403d5  bti	c
0xfffffff0088ee88c: 21900391  add	x1, x1, #0xe4
0xfffffff0088ee890: 481040f9  ldr	x8, [x2, #0x20]
0xfffffff0088ee894: 020140b9  ldr	w2, [x8]
0xfffffff0088ee898: 100040f9  ldr	x16, [x0]
0xfffffff0088ee89c: f10300aa  mov	x17, x0
0xfffffff0088ee8a0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0088ee8a4: 301ac1da  autda	x16, x17
0xfffffff0088ee8a8: 11a880d2  mov	x17, #0x540
0xfffffff0088ee8ac: 1002118b  add	x16, x16, x17
0xfffffff0088ee8b0: 080240f9  ldr	x8, [x16]
0xfffffff0088ee8b4: e30310aa  mov	x3, x16
0xfffffff0088ee8b8: f00308aa  mov	x16, x8
0xfffffff0088ee8bc: f10303aa  mov	x17, x3
0xfffffff0088ee8c0: 710be0f2  movk	x17, #0x5b, lsl #48
0xfffffff0088ee8c4: 110a1fd7  braa	x16, x17
0xfffffff0088ee8c8: 5f2403d5  bti	c
0xfffffff0088ee8cc: 481040f9  ldr	x8, [x2, #0x20]
0xfffffff0088ee8d0: 010140b9  ldr	w1, [x8]
0xfffffff0088ee8d4: 100040f9  ldr	x16, [x0]
0xfffffff0088ee8d8: f10300aa  mov	x17, x0
0xfffffff0088ee8dc: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0088ee8e0: 301ac1da  autda	x16, x17
0xfffffff0088ee8e4: 11aa80d2  mov	x17, #0x550
0xfffffff0088ee8e8: 1002118b  add	x16, x16, x17
0xfffffff0088ee8ec: 080240f9  ldr	x8, [x16]
