; Candidate 14367
; ADRP+ADD at VM 0xfffffff00976d370 (fileoff 0x2769370): page=0xc1e000 add_imm=0xea8

0xfffffff00976d2f0: c00100b5  cbnz	x0, #0xfffffff00976d328
0xfffffff00976d2f4: 700240f9  ldr	x16, [x19]
0xfffffff00976d2f8: f10313aa  mov	x17, x19
0xfffffff00976d2fc: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00976d300: 301ac1da  autda	x16, x17
0xfffffff00976d304: 113d80d2  mov	x17, #0x1e8
0xfffffff00976d308: 1002118b  add	x16, x16, x17
0xfffffff00976d30c: 080240f9  ldr	x8, [x16]
0xfffffff00976d310: e90310aa  mov	x9, x16
0xfffffff00976d314: e00313aa  mov	x0, x19
0xfffffff00976d318: 010080d2  mov	x1, #0
0xfffffff00976d31c: f10309aa  mov	x17, x9
0xfffffff00976d320: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff00976d324: 11093fd7  blraa	x8, x17
0xfffffff00976d328: e00313aa  mov	x0, x19
0xfffffff00976d32c: ccedfc97  bl	#0xfffffff0096a8a5c
0xfffffff00976d330: e00313aa  mov	x0, x19
0xfffffff00976d334: caedfc97  bl	#0xfffffff0096a8a5c
0xfffffff00976d338: c00100b5  cbnz	x0, #0xfffffff00976d370
0xfffffff00976d33c: 700240f9  ldr	x16, [x19]
0xfffffff00976d340: f10313aa  mov	x17, x19
0xfffffff00976d344: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00976d348: 301ac1da  autda	x16, x17
0xfffffff00976d34c: 114380d2  mov	x17, #0x218
0xfffffff00976d350: 1002118b  add	x16, x16, x17
0xfffffff00976d354: 080240f9  ldr	x8, [x16]
0xfffffff00976d358: e90310aa  mov	x9, x16
0xfffffff00976d35c: e00313aa  mov	x0, x19
0xfffffff00976d360: 010080d2  mov	x1, #0
0xfffffff00976d364: f10309aa  mov	x17, x9
0xfffffff00976d368: 11a8e6f2  movk	x17, #0x3540, lsl #48
0xfffffff00976d36c: 11093fd7  blraa	x8, x17
0xfffffff00976d370: e06000d0  adrp	x0, #0xfffffff00a38b000
0xfffffff00976d374: 00a03a91  add	x0, x0, #0xea8
0xfffffff00976d378: 78ddad97  bl	#0xfffffff0082e4958
0xfffffff00976d37c: f60300aa  mov	x22, x0
0xfffffff00976d380: e00313aa  mov	x0, x19
0xfffffff00976d384: b6edfc97  bl	#0xfffffff0096a8a5c
0xfffffff00976d388: f70300aa  mov	x23, x0
0xfffffff00976d38c: e00100b5  cbnz	x0, #0xfffffff00976d3c8
0xfffffff00976d390: 700240f9  ldr	x16, [x19]
0xfffffff00976d394: f10313aa  mov	x17, x19
0xfffffff00976d398: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00976d39c: 301ac1da  autda	x16, x17
0xfffffff00976d3a0: 113d80d2  mov	x17, #0x1e8
0xfffffff00976d3a4: 1002118b  add	x16, x16, x17
0xfffffff00976d3a8: 080240f9  ldr	x8, [x16]
0xfffffff00976d3ac: e90310aa  mov	x9, x16
0xfffffff00976d3b0: e00313aa  mov	x0, x19
0xfffffff00976d3b4: 010080d2  mov	x1, #0
0xfffffff00976d3b8: f10309aa  mov	x17, x9
0xfffffff00976d3bc: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff00976d3c0: 11093fd7  blraa	x8, x17
0xfffffff00976d3c4: f70300aa  mov	x23, x0
0xfffffff00976d3c8: e00313aa  mov	x0, x19
0xfffffff00976d3cc: a4edfc97  bl	#0xfffffff0096a8a5c
0xfffffff00976d3d0: 1f0000f1  cmp	x0, #0
0xfffffff00976d3d4: 5803949a  csel	x24, x26, x20, eq
0xfffffff00976d3d8: e00313aa  mov	x0, x19
0xfffffff00976d3dc: a0edfc97  bl	#0xfffffff0096a8a5c
0xfffffff00976d3e0: e80300aa  mov	x8, x0
0xfffffff00976d3e4: e00314aa  mov	x0, x20
0xfffffff00976d3e8: c80100b5  cbnz	x8, #0xfffffff00976d420
0xfffffff00976d3ec: 700240f9  ldr	x16, [x19]
