; Candidate 8145
; ADRP+ADD at VM 0xfffffff00889787c (fileoff 0x189387c): page=0x1ff176000 add_imm=0xe98

0xfffffff0088977fc: 1c000014  b	#0xfffffff00889786c
0xfffffff008897800: 6b720094  bl	#0xfffffff0088b41ac
0xfffffff008897804: f60300aa  mov	x22, x0
0xfffffff008897808: a0008052  mov	w0, #5
0xfffffff00889780c: 1190ff97  bl	#0xfffffff00887b850
0xfffffff008897810: e80314aa  mov	x8, x20
0xfffffff008897814: f7a304a9  stp	x23, x8, [sp, #0x48]
0xfffffff008897818: f5cf03a9  stp	x21, x19, [sp, #0x38]
0xfffffff00889781c: a84cfff0  adrp	x8, #0xfffffff00722e000
0xfffffff008897820: 0a192c91  add	x10, x8, #0xb06
0xfffffff008897824: 881b8052  mov	w8, #0xdc
0xfffffff008897828: c94cff90  adrp	x9, #0xfffffff00722f000
0xfffffff00889782c: 29352491  add	x9, x9, #0x90d
0xfffffff008897830: e8ab02a9  stp	x8, x10, [sp, #0x28]
0xfffffff008897834: c84cff90  adrp	x8, #0xfffffff00722f000
0xfffffff008897838: 08493991  add	x8, x8, #0xe52
0xfffffff00889783c: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff008897840: 280e8052  mov	w8, #0x71
0xfffffff008897844: 434eff90  adrp	x3, #0xfffffff00725f000
0xfffffff008897848: 632c2791  add	x3, x3, #0x9cb
0xfffffff00889784c: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff008897850: f60300f9  str	x22, [sp]
0xfffffff008897854: 804affd0  adrp	x0, #0xfffffff0071e9000
0xfffffff008897858: 00003a91  add	x0, x0, #0xe80
0xfffffff00889785c: 818bffb0  adrp	x1, #0xfffffff007a08000
0xfffffff008897860: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008897864: 02008052  mov	w2, #0
0xfffffff008897868: 326eea97  bl	#0xfffffff008333130
0xfffffff00889786c: e00313aa  mov	x0, x19
0xfffffff008897870: 9cc4ff97  bl	#0xfffffff008888ae0
0xfffffff008897874: e00313aa  mov	x0, x19
0xfffffff008897878: 13c2ff97  bl	#0xfffffff0088880c4
0xfffffff00889787c: a08bffd0  adrp	x0, #0xfffffff007a0d000
0xfffffff008897880: 00603a91  add	x0, x0, #0xe98
0xfffffff008897884: e10313aa  mov	x1, x19
0xfffffff008897888: a1fbea97  bl	#0xfffffff00835670c
0xfffffff00889788c: e00314aa  mov	x0, x20
0xfffffff008897890: fd7b4da9  ldp	x29, x30, [sp, #0xd0]
0xfffffff008897894: f44f4ca9  ldp	x20, x19, [sp, #0xc0]
0xfffffff008897898: f6574ba9  ldp	x22, x21, [sp, #0xb0]
0xfffffff00889789c: f85f4aa9  ldp	x24, x23, [sp, #0xa0]
0xfffffff0088978a0: fa6749a9  ldp	x26, x25, [sp, #0x90]
0xfffffff0088978a4: fc6f48a9  ldp	x28, x27, [sp, #0x80]
0xfffffff0088978a8: ff830391  add	sp, sp, #0xe0
0xfffffff0088978ac: ff0f5fd6  retab	
0xfffffff0088978b0: 7f2303d5  pacibsp	
0xfffffff0088978b4: ff8303d1  sub	sp, sp, #0xe0
0xfffffff0088978b8: fc6f08a9  stp	x28, x27, [sp, #0x80]
0xfffffff0088978bc: fa6709a9  stp	x26, x25, [sp, #0x90]
0xfffffff0088978c0: f85f0aa9  stp	x24, x23, [sp, #0xa0]
0xfffffff0088978c4: f6570ba9  stp	x22, x21, [sp, #0xb0]
0xfffffff0088978c8: f44f0ca9  stp	x20, x19, [sp, #0xc0]
0xfffffff0088978cc: fd7b0da9  stp	x29, x30, [sp, #0xd0]
0xfffffff0088978d0: fd430391  add	x29, sp, #0xd0
0xfffffff0088978d4: f80306aa  mov	x24, x6
0xfffffff0088978d8: f70305aa  mov	x23, x5
0xfffffff0088978dc: f60304aa  mov	x22, x4
0xfffffff0088978e0: fa0303aa  mov	x26, x3
0xfffffff0088978e4: fb0302aa  mov	x27, x2
0xfffffff0088978e8: f90301aa  mov	x25, x1
0xfffffff0088978ec: f50300aa  mov	x21, x0
0xfffffff0088978f0: c10600b4  cbz	x1, #0xfffffff0088979c8
0xfffffff0088978f4: ba060034  cbz	w26, #0xfffffff0088979c8
0xfffffff0088978f8: 980600b4  cbz	x24, #0xfffffff0088979c8
