; Candidate 16686
; ADRP+ADD at VM 0xfffffff009f28130 (fileoff 0x2f24130): page=0x1fd931000 add_imm=0xdc8

0xfffffff009f280b0: e8c241f9  ldr	x8, [x23, #0x380]
0xfffffff009f280b4: a8faffb5  cbnz	x8, #0xfffffff009f28008
0xfffffff009f280b8: e89e40f9  ldr	x8, [x23, #0x138]
0xfffffff009f280bc: 1f0100f1  cmp	x8, #0
0xfffffff009f280c0: e802889a  csel	x8, x23, x8, eq
0xfffffff009f280c4: 086140f9  ldr	x8, [x8, #0xc0]
0xfffffff009f280c8: 08254439  ldrb	w8, [x8, #0x109]
0xfffffff009f280cc: e8f90736  tbz	w8, #0, #0xfffffff009f28008
0xfffffff009f280d0: e2230191  add	x2, sp, #0x48
0xfffffff009f280d4: e00314aa  mov	x0, x20
0xfffffff009f280d8: e10313aa  mov	x1, x19
0xfffffff009f280dc: e30315aa  mov	x3, x21
0xfffffff009f280e0: dd90fc97  bl	#0xfffffff009e4c454
0xfffffff009f280e4: f90300aa  mov	x25, x0
0xfffffff009f280e8: 20f9ff34  cbz	w0, #0xfffffff009f2800c
0xfffffff009f280ec: e8830091  add	x8, sp, #0x20
0xfffffff009f280f0: e86701a9  stp	x8, x25, [sp, #0x10]
0xfffffff009f280f4: e8978052  mov	w8, #0x4bf
0xfffffff009f280f8: fa2300a9  stp	x26, x8, [sp]
0xfffffff009f280fc: 80c9feb0  adrp	x0, #0xfffffff007859000
0xfffffff009f28100: 004c3691  add	x0, x0, #0xd93
0xfffffff009f28104: f05dfd97  bl	#0xfffffff009e7f8c4
0xfffffff009f28108: 36f8ff34  cbz	w22, #0xfffffff009f2800c
0xfffffff009f2810c: e2230191  add	x2, sp, #0x48
0xfffffff009f28110: e00314aa  mov	x0, x20
0xfffffff009f28114: e10313aa  mov	x1, x19
0xfffffff009f28118: 03008052  mov	w3, #0
0xfffffff009f2811c: a693fc97  bl	#0xfffffff009e4cfb4
0xfffffff009f28120: 60f7ff34  cbz	w0, #0xfffffff009f2800c
0xfffffff009f28124: 68998052  mov	w8, #0x4cb
0xfffffff009f28128: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff009f2812c: fa0300f9  str	x26, [sp]
0xfffffff009f28130: 80c9feb0  adrp	x0, #0xfffffff007859000
0xfffffff009f28134: 00203791  add	x0, x0, #0xdc8
0xfffffff009f28138: a2ffff17  b	#0xfffffff009f27fc0
0xfffffff009f2813c: 44d77897  bl	#0xfffffff007d5de4c
0xfffffff009f28140: 7f2303d5  pacibsp	
0xfffffff009f28144: ff4303d1  sub	sp, sp, #0xd0
0xfffffff009f28148: fc6f07a9  stp	x28, x27, [sp, #0x70]
0xfffffff009f2814c: fa6708a9  stp	x26, x25, [sp, #0x80]
0xfffffff009f28150: f85f09a9  stp	x24, x23, [sp, #0x90]
0xfffffff009f28154: f6570aa9  stp	x22, x21, [sp, #0xa0]
0xfffffff009f28158: f44f0ba9  stp	x20, x19, [sp, #0xb0]
0xfffffff009f2815c: fd7b0ca9  stp	x29, x30, [sp, #0xc0]
0xfffffff009f28160: fd030391  add	x29, sp, #0xc0
0xfffffff009f28164: f90304aa  mov	x25, x4
0xfffffff009f28168: f30303aa  mov	x19, x3
0xfffffff009f2816c: f80302aa  mov	x24, x2
0xfffffff009f28170: f40301aa  mov	x20, x1
0xfffffff009f28174: f50300aa  mov	x21, x0
0xfffffff009f28178: 28f0fed0  adrp	x8, #0xfffffff007d2e000
0xfffffff009f2817c: 08d147f9  ldr	x8, [x8, #0xfa0]
0xfffffff009f28180: 080140f9  ldr	x8, [x8]
0xfffffff009f28184: a8831af8  stur	x8, [x29, #-0x58]
0xfffffff009f28188: ffff05a9  stp	xzr, xzr, [sp, #0x58]
0xfffffff009f2818c: ffd304f8  stur	xzr, [sp, #0x4d]
0xfffffff009f28190: 00e4006f  movi	v0.2d, #0000000000000000
0xfffffff009f28194: e08301ad  stp	q0, q0, [sp, #0x30]
0xfffffff009f28198: 1cc041f9  ldr	x28, [x0, #0x380]
0xfffffff009f2819c: dc0000b4  cbz	x28, #0xfffffff009f281b4
0xfffffff009f281a0: e51300f9  str	x5, [sp, #0x20]
0xfffffff009f281a4: 88230091  add	x8, x28, #8
0xfffffff009f281a8: 81830091  add	x1, x28, #0x20
0xfffffff009f281ac: 3b008052  mov	w27, #1
