; Candidate 6968
; ADRP+ADD at VM 0xfffffff00884d4ac (fileoff 0x18494ac): page=0x1fe99c000 add_imm=0xe80

0xfffffff00884d42c: 637c0191  add	x3, x3, #0x5f
0xfffffff00884d430: f92300a9  stp	x25, x8, [sp]
0xfffffff00884d434: e04cff90  adrp	x0, #0xfffffff0071e9000
0xfffffff00884d438: 00003a91  add	x0, x0, #0xe80
0xfffffff00884d43c: c18dfff0  adrp	x1, #0xfffffff007a08000
0xfffffff00884d440: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00884d444: 02008052  mov	w2, #0
0xfffffff00884d448: 3a97eb97  bl	#0xfffffff008333130
0xfffffff00884d44c: 1f000014  b	#0xfffffff00884d4c8
0xfffffff00884d450: 579b0194  bl	#0xfffffff0088b41ac
0xfffffff00884d454: f80300aa  mov	x24, x0
0xfffffff00884d458: 80008052  mov	w0, #4
0xfffffff00884d45c: fdb80094  bl	#0xfffffff00887b850
0xfffffff00884d460: 684240b9  ldr	w8, [x19, #0x40]
0xfffffff00884d464: e90316aa  mov	x9, x22
0xfffffff00884d468: e9df05a9  stp	x9, x23, [sp, #0x58]
0xfffffff00884d46c: f4d704a9  stp	x20, x21, [sp, #0x48]
0xfffffff00884d470: f3a303a9  stp	x19, x8, [sp, #0x38]
0xfffffff00884d474: 484effd0  adrp	x8, #0xfffffff007217000
0xfffffff00884d478: 0aa90f91  add	x10, x8, #0x3ea
0xfffffff00884d47c: 28168052  mov	w8, #0xb1
0xfffffff00884d480: c94eff90  adrp	x9, #0xfffffff007225000
0xfffffff00884d484: 29c53d91  add	x9, x9, #0xf71
0xfffffff00884d488: e8ab02a9  stp	x8, x10, [sp, #0x28]
0xfffffff00884d48c: c84effd0  adrp	x8, #0xfffffff007227000
0xfffffff00884d490: 08811191  add	x8, x8, #0x460
0xfffffff00884d494: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff00884d498: e80d8052  mov	w8, #0x6f
0xfffffff00884d49c: 2350ffb0  adrp	x3, #0xfffffff007252000
0xfffffff00884d4a0: 638c0091  add	x3, x3, #0x23
0xfffffff00884d4a4: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff00884d4a8: f80300f9  str	x24, [sp]
0xfffffff00884d4ac: e04cff90  adrp	x0, #0xfffffff0071e9000
0xfffffff00884d4b0: 00003a91  add	x0, x0, #0xe80
0xfffffff00884d4b4: c18dfff0  adrp	x1, #0xfffffff007a08000
0xfffffff00884d4b8: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00884d4bc: 02008052  mov	w2, #0
0xfffffff00884d4c0: 1c97eb97  bl	#0xfffffff008333130
0xfffffff00884d4c4: 587e8012  mov	w24, #-0x3f3
0xfffffff00884d4c8: e00d8052  mov	w0, #0x6f
0xfffffff00884d4cc: 01018052  mov	w1, #8
0xfffffff00884d4d0: c0b80094  bl	#0xfffffff00887b7d0
0xfffffff00884d4d4: 60060034  cbz	w0, #0xfffffff00884d5a0
0xfffffff00884d4d8: e00d8052  mov	w0, #0x6f
0xfffffff00884d4dc: cfb80094  bl	#0xfffffff00887b818
0xfffffff00884d4e0: f90300aa  mov	x25, x0
0xfffffff00884d4e4: 329b0194  bl	#0xfffffff0088b41ac
0xfffffff00884d4e8: f70300aa  mov	x23, x0
0xfffffff00884d4ec: 00018052  mov	w0, #8
0xfffffff00884d4f0: d8b80094  bl	#0xfffffff00887b850
0xfffffff00884d4f4: 59020034  cbz	w25, #0xfffffff00884d53c
0xfffffff00884d4f8: e80318aa  mov	x8, x24
0xfffffff00884d4fc: 694240b9  ldr	w9, [x19, #0x40]
0xfffffff00884d500: f6a304a9  stp	x22, x8, [sp, #0x48]
0xfffffff00884d504: f4d703a9  stp	x20, x21, [sp, #0x38]
0xfffffff00884d508: f3a702a9  stp	x19, x9, [sp, #0x28]
0xfffffff00884d50c: c84eff90  adrp	x8, #0xfffffff007225000
0xfffffff00884d510: 0ac53d91  add	x10, x8, #0xf71
0xfffffff00884d514: c84effd0  adrp	x8, #0xfffffff007227000
0xfffffff00884d518: 08811191  add	x8, x8, #0x460
0xfffffff00884d51c: e8ab01a9  stp	x8, x10, [sp, #0x18]
0xfffffff00884d520: e00b00f9  str	x0, [sp, #0x10]
0xfffffff00884d524: e80d8052  mov	w8, #0x6f
0xfffffff00884d528: c04effb0  adrp	x0, #0xfffffff007226000
