; Candidate 16743
; ADRP+ADD at VM 0xfffffff009f42b80 (fileoff 0x2f3eb80): page=0x1fd91e000 add_imm=0xe0b

0xfffffff009f42b00: ff0700f9  str	xzr, [sp, #8]
0xfffffff009f42b04: ff0300b9  str	wzr, [sp]
0xfffffff009f42b08: a28302d1  sub	x2, x29, #0xa0
0xfffffff009f42b0c: e3730391  add	x3, sp, #0xdc
0xfffffff009f42b10: a54303d1  sub	x5, x29, #0xd0
0xfffffff009f42b14: e6630391  add	x6, sp, #0xd8
0xfffffff009f42b18: e00318aa  mov	x0, x24
0xfffffff009f42b1c: 010080d2  mov	x1, #0
0xfffffff009f42b20: 04028052  mov	w4, #0x10
0xfffffff009f42b24: 27008052  mov	w7, #1
0xfffffff009f42b28: ab89ff97  bl	#0xfffffff009f251d4
0xfffffff009f42b2c: 00070034  cbz	w0, #0xfffffff009f42c0c
0xfffffff009f42b30: f60300aa  mov	x22, x0
0xfffffff009f42b34: 88034079  ldrh	w8, [x28]
0xfffffff009f42b38: 1f350071  cmp	w8, #0xd
0xfffffff009f42b3c: c1080054  b.ne	#0xfffffff009f42c54
0xfffffff009f42b40: a82778a9  ldp	x8, x9, [x29, #-0x80]
0xfffffff009f42b44: e95b02a9  stp	x9, x22, [sp, #0x20]
0xfffffff009f42b48: e80f00f9  str	x8, [sp, #0x18]
0xfffffff009f42b4c: e84f40f9  ldr	x8, [sp, #0x98]
0xfffffff009f42b50: 47000014  b	#0xfffffff009f42c6c
0xfffffff009f42b54: 686640f9  ldr	x8, [x19, #0xc8]
0xfffffff009f42b58: 088942f9  ldr	x8, [x8, #0x510]
0xfffffff009f42b5c: a92b78a9  ldp	x9, x10, [x29, #-0x80]
0xfffffff009f42b60: eb0316aa  mov	x11, x22
0xfffffff009f42b64: ea2f02a9  stp	x10, x11, [sp, #0x20]
0xfffffff009f42b68: e90f00f9  str	x9, [sp, #0x18]
0xfffffff009f42b6c: e80b00f9  str	x8, [sp, #0x10]
0xfffffff009f42b70: 29898152  mov	w9, #0xc49
0xfffffff009f42b74: e8c8fed0  adrp	x8, #0xfffffff007860000
0xfffffff009f42b78: 086d3291  add	x8, x8, #0xc9b
0xfffffff009f42b7c: e82700a9  stp	x8, x9, [sp]
0xfffffff009f42b80: e0c8fed0  adrp	x0, #0xfffffff007860000
0xfffffff009f42b84: 002c3891  add	x0, x0, #0xe0b
0xfffffff009f42b88: 4ff3fc97  bl	#0xfffffff009e7f8c4
0xfffffff009f42b8c: e84340f9  ldr	x8, [sp, #0x80]
0xfffffff009f42b90: 1f0100f1  cmp	x8, #0
0xfffffff009f42b94: c01a407a  ccmp	w22, #0, #0, ne
0xfffffff009f42b98: e8b740b9  ldr	w8, [sp, #0xb4]
0xfffffff009f42b9c: 08050011  add	w8, w8, #1
0xfffffff009f42ba0: e8b700b9  str	w8, [sp, #0xb4]
0xfffffff009f42ba4: d6129f1a  csel	w22, w22, wzr, ne
0xfffffff009f42ba8: 04000014  b	#0xfffffff009f42bb8
0xfffffff009f42bac: f64300f9  str	x22, [sp, #0x80]
0xfffffff009f42bb0: f46700f9  str	x20, [sp, #0xc8]
0xfffffff009f42bb4: 16008052  mov	w22, #0
0xfffffff009f42bb8: b40352f8  ldur	x20, [x29, #-0xe0]
0xfffffff009f42bbc: 140100b4  cbz	x20, #0xfffffff009f42bdc
0xfffffff009f42bc0: e84340f9  ldr	x8, [sp, #0x80]
0xfffffff009f42bc4: 680000b5  cbnz	x8, #0xfffffff009f42bd0
0xfffffff009f42bc8: 80c20291  add	x0, x20, #0xb0
0xfffffff009f42bcc: 0caf7997  bl	#0xfffffff007dae7fc
0xfffffff009f42bd0: e00314aa  mov	x0, x20
0xfffffff009f42bd4: 1bd1ff97  bl	#0xfffffff009f37040
0xfffffff009f42bd8: bf0312f8  stur	xzr, [x29, #-0xe0]
0xfffffff009f42bdc: f44340f9  ldr	x20, [sp, #0x80]
0xfffffff009f42be0: 140100b4  cbz	x20, #0xfffffff009f42c00
0xfffffff009f42be4: e00314aa  mov	x0, x20
0xfffffff009f42be8: abd3ff97  bl	#0xfffffff009f37a94
0xfffffff009f42bec: 80c20291  add	x0, x20, #0xb0
0xfffffff009f42bf0: 03af7997  bl	#0xfffffff007dae7fc
0xfffffff009f42bf4: e00314aa  mov	x0, x20
0xfffffff009f42bf8: 12d1ff97  bl	#0xfffffff009f37040
0xfffffff009f42bfc: bf8311f8  stur	xzr, [x29, #-0xe8]
