; Candidate 10630
; ADRP+ADD at VM 0xfffffff008de01cc (fileoff 0x1ddc1cc): page=0x1fe5e4000 add_imm=0xe15

0xfffffff008de014c: ffa300a9  stp	xzr, x8, [sp, #8]
0xfffffff008de0150: e90300f9  str	x9, [sp]
0xfffffff008de0154: 202fff90  adrp	x0, #0xfffffff0073c4000
0xfffffff008de0158: 00543891  add	x0, x0, #0xe15
0xfffffff008de015c: b1dbd597  bl	#0xfffffff008357020
0xfffffff008de0160: 95008012  mov	w21, #-5
0xfffffff008de0164: 57ffff17  b	#0xfffffff008ddfec0
0xfffffff008de0168: f60300aa  mov	x22, x0
0xfffffff008de016c: c87e4093  sxtw	x8, w22
0xfffffff008de0170: 49278052  mov	w9, #0x13a
0xfffffff008de0174: f8a701a9  stp	x24, x9, [sp, #0x18]
0xfffffff008de0178: 292fff90  adrp	x9, #0xfffffff0073c4000
0xfffffff008de017c: 29493991  add	x9, x9, #0xe52
0xfffffff008de0180: 2a2fff90  adrp	x10, #0xfffffff0073c4000
0xfffffff008de0184: 4af13a91  add	x10, x10, #0xebc
0xfffffff008de0188: e8a700a9  stp	x8, x9, [sp, #8]
0xfffffff008de018c: ea0300f9  str	x10, [sp]
0xfffffff008de0190: 202fff90  adrp	x0, #0xfffffff0073c4000
0xfffffff008de0194: 00543891  add	x0, x0, #0xe15
0xfffffff008de0198: a2dbd597  bl	#0xfffffff008357020
0xfffffff008de019c: f50316aa  mov	x21, x22
0xfffffff008de01a0: 48ffff17  b	#0xfffffff008ddfec0
0xfffffff008de01a4: e8238052  mov	w8, #0x11f
0xfffffff008de01a8: 092fffb0  adrp	x9, #0xfffffff0073c1000
0xfffffff008de01ac: 29490d91  add	x9, x9, #0x352
0xfffffff008de01b0: e81300f9  str	x8, [sp, #0x20]
0xfffffff008de01b4: 282fff90  adrp	x8, #0xfffffff0073c4000
0xfffffff008de01b8: 08493991  add	x8, x8, #0xe52
0xfffffff008de01bc: 0a2fffb0  adrp	x10, #0xfffffff0073c1000
0xfffffff008de01c0: 4a2d1e91  add	x10, x10, #0x78b
0xfffffff008de01c4: e82701a9  stp	x8, x9, [sp, #0x10]
0xfffffff008de01c8: ea7f00a9  stp	x10, xzr, [sp]
0xfffffff008de01cc: 202fff90  adrp	x0, #0xfffffff0073c4000
0xfffffff008de01d0: 00543891  add	x0, x0, #0xe15
0xfffffff008de01d4: 93dbd597  bl	#0xfffffff008357020
0xfffffff008de01d8: c8088052  mov	w8, #0x46
0xfffffff008de01dc: 55008012  mov	w21, #-3
0xfffffff008de01e0: 5affff17  b	#0xfffffff008ddff48
0xfffffff008de01e4: 7f2303d5  pacibsp	
0xfffffff008de01e8: ffc301d1  sub	sp, sp, #0x70
0xfffffff008de01ec: f85f03a9  stp	x24, x23, [sp, #0x30]
0xfffffff008de01f0: f65704a9  stp	x22, x21, [sp, #0x40]
0xfffffff008de01f4: f44f05a9  stp	x20, x19, [sp, #0x50]
0xfffffff008de01f8: fd7b06a9  stp	x29, x30, [sp, #0x60]
0xfffffff008de01fc: fd830191  add	x29, sp, #0x60
0xfffffff008de0200: f30301aa  mov	x19, x1
0xfffffff008de0204: f40300aa  mov	x20, x0
0xfffffff008de0208: f7a800f0  adrp	x23, #0xfffffff00a2ff000
0xfffffff008de020c: f7422c91  add	x23, x23, #0xb10
0xfffffff008de0210: e8024039  ldrb	w8, [x23]
0xfffffff008de0214: 152fffb0  adrp	x21, #0xfffffff0073c1000
0xfffffff008de0218: b5962091  add	x21, x21, #0x825
0xfffffff008de021c: 162fffb0  adrp	x22, #0xfffffff0073c1000
0xfffffff008de0220: d69e0c91  add	x22, x22, #0x327
0xfffffff008de0224: 1f290071  cmp	w8, #0xa
0xfffffff008de0228: a8000054  b.hi	#0xfffffff008de023c
0xfffffff008de022c: f65700a9  stp	x22, x21, [sp]
0xfffffff008de0230: 202fff90  adrp	x0, #0xfffffff0073c4000
0xfffffff008de0234: 00843491  add	x0, x0, #0xd21
0xfffffff008de0238: 7adbd597  bl	#0xfffffff008357020
0xfffffff008de023c: 140300b4  cbz	x20, #0xfffffff008de029c
0xfffffff008de0240: 130400b4  cbz	x19, #0xfffffff008de02c0
0xfffffff008de0244: e00313aa  mov	x0, x19
0xfffffff008de0248: 3e3d0094  bl	#0xfffffff008def740
