; Candidate 8249
; ADRP+ADD at VM 0xfffffff00889ed7c (fileoff 0x189ad7c): page=0x1fe94b000 add_imm=0xe80

0xfffffff00889ecfc: f66b01a9  stp	x22, x26, [sp, #0x10]
0xfffffff00889ed00: a80f8052  mov	w8, #0x7d
0xfffffff00889ed04: 604cffd0  adrp	x0, #0xfffffff00722c000
0xfffffff00889ed08: 00003e91  add	x0, x0, #0xf80
0xfffffff00889ed0c: f52300a9  stp	x21, x8, [sp]
0xfffffff00889ed10: d461d497  bl	#0xfffffff007db7460
0xfffffff00889ed14: 22000014  b	#0xfffffff00889ed9c
0xfffffff00889ed18: e00314aa  mov	x0, x20
0xfffffff00889ed1c: 4542fe97  bl	#0xfffffff00882f630
0xfffffff00889ed20: 75820c91  add	x21, x19, #0x320
0xfffffff00889ed24: e00315aa  mov	x0, x21
0xfffffff00889ed28: 4242fe97  bl	#0xfffffff00882f630
0xfffffff00889ed2c: 20550094  bl	#0xfffffff0088b41ac
0xfffffff00889ed30: f60300aa  mov	x22, x0
0xfffffff00889ed34: e0008052  mov	w0, #7
0xfffffff00889ed38: c672ff97  bl	#0xfffffff00887b850
0xfffffff00889ed3c: f70300aa  mov	x23, x0
0xfffffff00889ed40: 780240b9  ldr	w24, [x19]
0xfffffff00889ed44: e00314aa  mov	x0, x20
0xfffffff00889ed48: 3a42fe97  bl	#0xfffffff00882f630
0xfffffff00889ed4c: f40300aa  mov	x20, x0
0xfffffff00889ed50: e00315aa  mov	x0, x21
0xfffffff00889ed54: 3742fe97  bl	#0xfffffff00882f630
0xfffffff00889ed58: e8031caa  mov	x8, x28
0xfffffff00889ed5c: e02304a9  stp	x0, x8, [sp, #0x40]
0xfffffff00889ed60: f85303a9  stp	x24, x20, [sp, #0x30]
0xfffffff00889ed64: 884cfff0  adrp	x8, #0xfffffff007231000
0xfffffff00889ed68: 08110191  add	x8, x8, #0x44
0xfffffff00889ed6c: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff00889ed70: f76b01a9  stp	x23, x26, [sp, #0x10]
0xfffffff00889ed74: a80f8052  mov	w8, #0x7d
0xfffffff00889ed78: f62300a9  stp	x22, x8, [sp]
0xfffffff00889ed7c: 404afff0  adrp	x0, #0xfffffff0071e9000
0xfffffff00889ed80: 00003a91  add	x0, x0, #0xe80
0xfffffff00889ed84: 418bffd0  adrp	x1, #0xfffffff007a08000
0xfffffff00889ed88: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00889ed8c: 034efff0  adrp	x3, #0xfffffff007261000
0xfffffff00889ed90: 634c0491  add	x3, x3, #0x113
0xfffffff00889ed94: 02008052  mov	w2, #0
0xfffffff00889ed98: e650ea97  bl	#0xfffffff008333130
0xfffffff00889ed9c: e0031caa  mov	x0, x28
0xfffffff00889eda0: fd7b4da9  ldp	x29, x30, [sp, #0xd0]
0xfffffff00889eda4: f44f4ca9  ldp	x20, x19, [sp, #0xc0]
0xfffffff00889eda8: f6574ba9  ldp	x22, x21, [sp, #0xb0]
0xfffffff00889edac: f85f4aa9  ldp	x24, x23, [sp, #0xa0]
0xfffffff00889edb0: fa6749a9  ldp	x26, x25, [sp, #0x90]
0xfffffff00889edb4: fc6f48a9  ldp	x28, x27, [sp, #0x80]
0xfffffff00889edb8: ff830391  add	sp, sp, #0xe0
0xfffffff00889edbc: ff0f5fd6  retab	
0xfffffff00889edc0: fb540094  bl	#0xfffffff0088b41ac
0xfffffff00889edc4: f60300aa  mov	x22, x0
0xfffffff00889edc8: 80008052  mov	w0, #4
0xfffffff00889edcc: a172ff97  bl	#0xfffffff00887b850
0xfffffff00889edd0: 680240b9  ldr	w8, [x19]
0xfffffff00889edd4: e85704a9  stp	x8, x21, [sp, #0x40]
0xfffffff00889edd8: 884bffd0  adrp	x8, #0xfffffff007210000
0xfffffff00889eddc: 08b92791  add	x8, x8, #0x9ee
0xfffffff00889ede0: e84f03a9  stp	x8, x19, [sp, #0x30]
0xfffffff00889ede4: 297b8052  mov	w9, #0x3d9
0xfffffff00889ede8: 884cfff0  adrp	x8, #0xfffffff007231000
0xfffffff00889edec: 08110191  add	x8, x8, #0x44
0xfffffff00889edf0: e82702a9  stp	x8, x9, [sp, #0x20]
0xfffffff00889edf4: e06b01a9  stp	x0, x26, [sp, #0x10]
0xfffffff00889edf8: a80f8052  mov	w8, #0x7d
