; Candidate 9231
; ADRP+ADD at VM 0xfffffff008a10b84 (fileoff 0x1a0cb84): page=0x1fe889000 add_imm=0xe40

0xfffffff008a10b04: 60000035  cbnz	w0, #0xfffffff008a10b10
0xfffffff008a10b08: e8f34039  ldrb	w8, [sp, #0x3c]
0xfffffff008a10b0c: 48070837  tbnz	w8, #1, #0xfffffff008a10bf4
0xfffffff008a10b10: d9080035  cbnz	w25, #0xfffffff008a10c28
0xfffffff008a10b14: 5e000014  b	#0xfffffff008a10c8c
0xfffffff008a10b18: 700240f9  ldr	x16, [x19]
0xfffffff008a10b1c: f10313aa  mov	x17, x19
0xfffffff008a10b20: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a10b24: 301ac1da  autda	x16, x17
0xfffffff008a10b28: 112380d2  mov	x17, #0x118
0xfffffff008a10b2c: 1002118b  add	x16, x16, x17
0xfffffff008a10b30: 080240f9  ldr	x8, [x16]
0xfffffff008a10b34: e90310aa  mov	x9, x16
0xfffffff008a10b38: 4144fff0  adrp	x1, #0xfffffff00729b000
0xfffffff008a10b3c: 21d82891  add	x1, x1, #0xa36
0xfffffff008a10b40: e00313aa  mov	x0, x19
0xfffffff008a10b44: f10309aa  mov	x17, x9
0xfffffff008a10b48: b1f4e6f2  movk	x17, #0x37a5, lsl #48
0xfffffff008a10b4c: 11093fd7  blraa	x8, x17
0xfffffff008a10b50: 204800b4  cbz	x0, #0xfffffff008a11454
0xfffffff008a10b54: 4044fff0  adrp	x0, #0xfffffff00729b000
0xfffffff008a10b58: 00082991  add	x0, x0, #0xa42
0xfffffff008a10b5c: 5655e397  bl	#0xfffffff0082e60b4
0xfffffff008a10b60: 2882ffb0  adrp	x8, #0xfffffff007a55000
0xfffffff008a10b64: 08212691  add	x8, x8, #0x988
0xfffffff008a10b68: 010140f9  ldr	x1, [x8]
0xfffffff008a10b6c: 624ce397  bl	#0xfffffff0082e3cf4
0xfffffff008a10b70: 806e00f9  str	x0, [x20, #0xd8]
0xfffffff008a10b74: a04800b5  cbnz	x0, #0xfffffff008a11488
0xfffffff008a10b78: 5744fff0  adrp	x23, #0xfffffff00729b000
0xfffffff008a10b7c: f74e2991  add	x23, x23, #0xa53
0xfffffff008a10b80: f70300f9  str	x23, [sp]
0xfffffff008a10b84: 4044ffb0  adrp	x0, #0xfffffff007299000
0xfffffff008a10b88: 00003991  add	x0, x0, #0xe40
0xfffffff008a10b8c: c181fff0  adrp	x1, #0xfffffff007a4b000
0xfffffff008a10b90: 215046f9  ldr	x1, [x1, #0xca0]
0xfffffff008a10b94: 6344fff0  adrp	x3, #0xfffffff00729f000
0xfffffff008a10b98: 63cc1291  add	x3, x3, #0x4b3
0xfffffff008a10b9c: 02028052  mov	w2, #0x10
0xfffffff008a10ba0: 6489e497  bl	#0xfffffff008333130
0xfffffff008a10ba4: f70300f9  str	x23, [sp]
0xfffffff008a10ba8: 4044fff0  adrp	x0, #0xfffffff00729b000
0xfffffff008a10bac: 001c2a91  add	x0, x0, #0xa87
0xfffffff008a10bb0: 1c19e597  bl	#0xfffffff008357020
0xfffffff008a10bb4: 900240f9  ldr	x16, [x20]
0xfffffff008a10bb8: f10314aa  mov	x17, x20
0xfffffff008a10bbc: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a10bc0: 301ac1da  autda	x16, x17
0xfffffff008a10bc4: f10310aa  mov	x17, x16
0xfffffff008a10bc8: f147c1da  xpacd	x17
0xfffffff008a10bcc: 1f0211eb  cmp	x16, x17
0xfffffff008a10bd0: 40000054  b.eq	#0xfffffff008a10bd8
0xfffffff008a10bd4: 408e38d4  brk	#0xc472
0xfffffff008a10bd8: 08821891  add	x8, x16, #0x620
0xfffffff008a10bdc: 091243f9  ldr	x9, [x16, #0x620]
0xfffffff008a10be0: e00314aa  mov	x0, x20
0xfffffff008a10be4: f10308aa  mov	x17, x8
0xfffffff008a10be8: 11b7f0f2  movk	x17, #0x85b8, lsl #48
0xfffffff008a10bec: 31093fd7  blraa	x9, x17
0xfffffff008a10bf0: 25020014  b	#0xfffffff008a11484
0xfffffff008a10bf4: 900240f9  ldr	x16, [x20]
0xfffffff008a10bf8: f10314aa  mov	x17, x20
0xfffffff008a10bfc: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a10c00: 301ac1da  autda	x16, x17
