; Candidate 4941
; ADRP+ADD at VM 0xfffffff0087ce83c (fileoff 0x17ca83c): page=0x1fea1b000 add_imm=0xe80

0xfffffff0087ce7bc: 0052ffd0  adrp	x0, #0xfffffff007210000
0xfffffff0087ce7c0: 00441391  add	x0, x0, #0x4d1
0xfffffff0087ce7c4: c2000014  b	#0xfffffff0087ceacc
0xfffffff0087ce7c8: 60008052  mov	w0, #3
0xfffffff0087ce7cc: 81008052  mov	w1, #4
0xfffffff0087ce7d0: 00b40294  bl	#0xfffffff00887b7d0
0xfffffff0087ce7d4: e0170034  cbz	w0, #0xfffffff0087cead0
0xfffffff0087ce7d8: 60008052  mov	w0, #3
0xfffffff0087ce7dc: 0fb40294  bl	#0xfffffff00887b818
0xfffffff0087ce7e0: f40300aa  mov	x20, x0
0xfffffff0087ce7e4: 72960394  bl	#0xfffffff0088b41ac
0xfffffff0087ce7e8: f30300aa  mov	x19, x0
0xfffffff0087ce7ec: 80008052  mov	w0, #4
0xfffffff0087ce7f0: 18b40294  bl	#0xfffffff00887b850
0xfffffff0087ce7f4: 34300034  cbz	w20, #0xfffffff0087cedf8
0xfffffff0087ce7f8: 0852ff90  adrp	x8, #0xfffffff00720e000
0xfffffff0087ce7fc: 08450891  add	x8, x8, #0x211
0xfffffff0087ce800: 49f18052  mov	w9, #0x78a
0xfffffff0087ce804: aa000014  b	#0xfffffff0087ceaac
0xfffffff0087ce808: 69960394  bl	#0xfffffff0088b41ac
0xfffffff0087ce80c: f30300aa  mov	x19, x0
0xfffffff0087ce810: 80008052  mov	w0, #4
0xfffffff0087ce814: 0fb40294  bl	#0xfffffff00887b850
0xfffffff0087ce818: 0852ffd0  adrp	x8, #0xfffffff007210000
0xfffffff0087ce81c: 08dd1291  add	x8, x8, #0x4b7
0xfffffff0087ce820: 49d38052  mov	w9, #0x69a
0xfffffff0087ce824: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0087ce828: 0852ffb0  adrp	x8, #0xfffffff00720f000
0xfffffff0087ce82c: 08b52091  add	x8, x8, #0x82d
0xfffffff0087ce830: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087ce834: 68008052  mov	w8, #3
0xfffffff0087ce838: f32300a9  stp	x19, x8, [sp]
0xfffffff0087ce83c: c050fff0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087ce840: 00003a91  add	x0, x0, #0xe80
0xfffffff0087ce844: c191ffd0  adrp	x1, #0xfffffff007a08000
0xfffffff0087ce848: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087ce84c: 4353fff0  adrp	x3, #0xfffffff007239000
0xfffffff0087ce850: 633c3191  add	x3, x3, #0xc4f
0xfffffff0087ce854: 02008052  mov	w2, #0
0xfffffff0087ce858: 3692ed97  bl	#0xfffffff008333130
0xfffffff0087ce85c: 65fdff17  b	#0xfffffff0087cddf0
0xfffffff0087ce860: 53960394  bl	#0xfffffff0088b41ac
0xfffffff0087ce864: f30300aa  mov	x19, x0
0xfffffff0087ce868: 80008052  mov	w0, #4
0xfffffff0087ce86c: f9b30294  bl	#0xfffffff00887b850
0xfffffff0087ce870: 0852ff90  adrp	x8, #0xfffffff00720e000
0xfffffff0087ce874: 08450891  add	x8, x8, #0x211
0xfffffff0087ce878: c9d38052  mov	w9, #0x69e
0xfffffff0087ce87c: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0087ce880: 0852ffb0  adrp	x8, #0xfffffff00720f000
0xfffffff0087ce884: 08b52091  add	x8, x8, #0x82d
0xfffffff0087ce888: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087ce88c: 68008052  mov	w8, #3
0xfffffff0087ce890: f32300a9  stp	x19, x8, [sp]
0xfffffff0087ce894: c050fff0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087ce898: 00003a91  add	x0, x0, #0xe80
0xfffffff0087ce89c: c191ffd0  adrp	x1, #0xfffffff007a08000
0xfffffff0087ce8a0: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087ce8a4: 4353fff0  adrp	x3, #0xfffffff007239000
0xfffffff0087ce8a8: 63303291  add	x3, x3, #0xc8c
0xfffffff0087ce8ac: 02008052  mov	w2, #0
0xfffffff0087ce8b0: 2092ed97  bl	#0xfffffff008333130
0xfffffff0087ce8b4: 87000014  b	#0xfffffff0087cead0
0xfffffff0087ce8b8: 3d960394  bl	#0xfffffff0088b41ac
