; Candidate 14071
; ADRP+ADD at VM 0xfffffff0096b2220 (fileoff 0x26ae220): page=0x1fdedb000 add_imm=0xd31

0xfffffff0096b21a0: 00a00691  add	x0, x0, #0x1a8
0xfffffff0096b21a4: edc9b097  bl	#0xfffffff0082e4958
0xfffffff0096b21a8: f50300aa  mov	x21, x0
0xfffffff0096b21ac: e00313aa  mov	x0, x19
0xfffffff0096b21b0: 2bdaff97  bl	#0xfffffff0096a8a5c
0xfffffff0096b21b4: f60300aa  mov	x22, x0
0xfffffff0096b21b8: e00100b5  cbnz	x0, #0xfffffff0096b21f4
0xfffffff0096b21bc: 700240f9  ldr	x16, [x19]
0xfffffff0096b21c0: f10313aa  mov	x17, x19
0xfffffff0096b21c4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0096b21c8: 301ac1da  autda	x16, x17
0xfffffff0096b21cc: 113d80d2  mov	x17, #0x1e8
0xfffffff0096b21d0: 1002118b  add	x16, x16, x17
0xfffffff0096b21d4: 080240f9  ldr	x8, [x16]
0xfffffff0096b21d8: e90310aa  mov	x9, x16
0xfffffff0096b21dc: e00313aa  mov	x0, x19
0xfffffff0096b21e0: 010080d2  mov	x1, #0
0xfffffff0096b21e4: f10309aa  mov	x17, x9
0xfffffff0096b21e8: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff0096b21ec: 11093fd7  blraa	x8, x17
0xfffffff0096b21f0: f60300aa  mov	x22, x0
0xfffffff0096b21f4: e00313aa  mov	x0, x19
0xfffffff0096b21f8: 19daff97  bl	#0xfffffff0096a8a5c
0xfffffff0096b21fc: c8f6fef0  adrp	x8, #0xfffffff00758d000
0xfffffff0096b2200: 08c53491  add	x8, x8, #0xd31
0xfffffff0096b2204: c9f6fef0  adrp	x9, #0xfffffff00758d000
0xfffffff0096b2208: 29c93491  add	x9, x9, #0xd32
0xfffffff0096b220c: 1f0000f1  cmp	x0, #0
0xfffffff0096b2210: 3701889a  csel	x23, x9, x8, eq
0xfffffff0096b2214: e00313aa  mov	x0, x19
0xfffffff0096b2218: 11daff97  bl	#0xfffffff0096a8a5c
0xfffffff0096b221c: 800000b4  cbz	x0, #0xfffffff0096b222c
0xfffffff0096b2220: c0f6fef0  adrp	x0, #0xfffffff00758d000
0xfffffff0096b2224: 00c43491  add	x0, x0, #0xd31
0xfffffff0096b2228: 0e000014  b	#0xfffffff0096b2260
0xfffffff0096b222c: 700240f9  ldr	x16, [x19]
0xfffffff0096b2230: f10313aa  mov	x17, x19
0xfffffff0096b2234: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0096b2238: 301ac1da  autda	x16, x17
0xfffffff0096b223c: 114380d2  mov	x17, #0x218
0xfffffff0096b2240: 1002118b  add	x16, x16, x17
0xfffffff0096b2244: 080240f9  ldr	x8, [x16]
0xfffffff0096b2248: e90310aa  mov	x9, x16
0xfffffff0096b224c: e00313aa  mov	x0, x19
0xfffffff0096b2250: 010080d2  mov	x1, #0
0xfffffff0096b2254: f10309aa  mov	x17, x9
0xfffffff0096b2258: 11a8e6f2  movk	x17, #0x3540, lsl #48
0xfffffff0096b225c: 11093fd7  blraa	x8, x17
0xfffffff0096b2260: f78301a9  stp	x23, x0, [sp, #0x18]
0xfffffff0096b2264: f60b00f9  str	x22, [sp, #0x10]
0xfffffff0096b2268: d6f6fed0  adrp	x22, #0xfffffff00758c000
0xfffffff0096b226c: d6060691  add	x22, x22, #0x181
0xfffffff0096b2270: f55b00a9  stp	x21, x22, [sp]
0xfffffff0096b2274: c0f6feb0  adrp	x0, #0xfffffff00758b000
0xfffffff0096b2278: 00802191  add	x0, x0, #0x860
0xfffffff0096b227c: 212bff90  adrp	x1, #0xfffffff007c16000
0xfffffff0096b2280: 21b842f9  ldr	x1, [x1, #0x570]
0xfffffff0096b2284: 43f7fef0  adrp	x3, #0xfffffff00759d000
0xfffffff0096b2288: 633c3791  add	x3, x3, #0xdcf
0xfffffff0096b228c: 02008052  mov	w2, #0
0xfffffff0096b2290: a803b297  bl	#0xfffffff008333130
0xfffffff0096b2294: c86600b0  adrp	x8, #0xfffffff00a38b000
0xfffffff0096b2298: 08e10591  add	x8, x8, #0x178
0xfffffff0096b229c: 010140f9  ldr	x1, [x8]
