; Candidate 9270
; ADRP+ADD at VM 0xfffffff008a1ed58 (fileoff 0x1a1ad58): page=0x1ff03a000 add_imm=0xe98

0xfffffff008a1ecd8: e5a5ff17  b	#0xfffffff008a0846c
0xfffffff008a1ecdc: 5f2403d5  bti	c
0xfffffff008a1ece0: 200020d4  brk	#1
0xfffffff008a1ece4: 5f2403d5  bti	c
0xfffffff008a1ece8: 200020d4  brk	#1
0xfffffff008a1ecec: 5f2403d5  bti	c
0xfffffff008a1ecf0: 00c60090  adrp	x0, #0xfffffff00a2de000
0xfffffff008a1ecf4: 00002791  add	x0, x0, #0x9c0
0xfffffff008a1ecf8: c0035fd6  ret	
0xfffffff008a1ecfc: 7f2303d5  pacibsp	
0xfffffff008a1ed00: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff008a1ed04: fd030091  mov	x29, sp
0xfffffff008a1ed08: e143ffd0  adrp	x1, #0xfffffff00729c000
0xfffffff008a1ed0c: 21781491  add	x1, x1, #0x51e
0xfffffff008a1ed10: 02c60090  adrp	x2, #0xfffffff00a2de000
0xfffffff008a1ed14: 42202191  add	x2, x2, #0x848
0xfffffff008a1ed18: 033c8052  mov	w3, #0x1e0
0xfffffff008a1ed1c: 8713e397  bl	#0xfffffff0082e3b38
0xfffffff008a1ed20: 9081fff0  adrp	x16, #0xfffffff007a51000
0xfffffff008a1ed24: 10023f91  add	x16, x16, #0xfc0
0xfffffff008a1ed28: 10420091  add	x16, x16, #0x10
0xfffffff008a1ed2c: f10300aa  mov	x17, x0
0xfffffff008a1ed30: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a1ed34: 300ac1da  pacda	x16, x17
0xfffffff008a1ed38: 100000f9  str	x16, [x0]
0xfffffff008a1ed3c: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff008a1ed40: ff0f5fd6  retab	
0xfffffff008a1ed44: 5f2403d5  bti	c
0xfffffff008a1ed48: 000080d2  mov	x0, #0
0xfffffff008a1ed4c: c0035fd6  ret	
0xfffffff008a1ed50: 5f2403d5  bti	c
0xfffffff008a1ed54: e10300aa  mov	x1, x0
0xfffffff008a1ed58: c081ffd0  adrp	x0, #0xfffffff007a58000
0xfffffff008a1ed5c: 00603a91  add	x0, x0, #0xe98
0xfffffff008a1ed60: 3622e317  b	#0xfffffff0082e7638
0xfffffff008a1ed64: 5f2403d5  bti	c
0xfffffff008a1ed68: e20301aa  mov	x2, x1
0xfffffff008a1ed6c: e10300aa  mov	x1, x0
0xfffffff008a1ed70: c081ffd0  adrp	x0, #0xfffffff007a58000
0xfffffff008a1ed74: 00603a91  add	x0, x0, #0xe98
0xfffffff008a1ed78: 4922e317  b	#0xfffffff0082e769c
0xfffffff008a1ed7c: 5f2403d5  bti	c
0xfffffff008a1ed80: 6881fff0  adrp	x8, #0xfffffff007a4d000
0xfffffff008a1ed84: 08010a91  add	x8, x8, #0x280
0xfffffff008a1ed88: 09e12a91  add	x9, x8, #0xab8
0xfffffff008a1ed8c: 105d45f9  ldr	x16, [x8, #0xab8]
0xfffffff008a1ed90: 04008052  mov	w4, #0
0xfffffff008a1ed94: 05008052  mov	w5, #0
0xfffffff008a1ed98: e61f8052  mov	w6, #0xff
0xfffffff008a1ed9c: 87008052  mov	w7, #4
0xfffffff008a1eda0: f10309aa  mov	x17, x9
0xfffffff008a1eda4: 91acf9f2  movk	x17, #0xcd64, lsl #48
0xfffffff008a1eda8: 110a1fd7  braa	x16, x17
0xfffffff008a1edac: 5f2403d5  bti	c
0xfffffff008a1edb0: 5116e317  b	#0xfffffff0082e46f4
0xfffffff008a1edb4: 5f2403d5  bti	c
0xfffffff008a1edb8: 00804639  ldrb	w0, [x0, #0x1a0]
0xfffffff008a1edbc: c0035fd6  ret	
0xfffffff008a1edc0: 5f2403d5  bti	c
0xfffffff008a1edc4: e20301aa  mov	x2, x1
0xfffffff008a1edc8: 01800639  strb	w1, [x0, #0x1a0]
0xfffffff008a1edcc: 100040f9  ldr	x16, [x0]
0xfffffff008a1edd0: e143ffb0  adrp	x1, #0xfffffff00729b000
0xfffffff008a1edd4: 21240f91  add	x1, x1, #0x3c9
