; Candidate 2668
; ADRP+ADD at VM 0xfffffff0086da7e0 (fileoff 0x16d67e0): page=0x1fea57000 add_imm=0xd90

0xfffffff0086da760: 02000014  b	#0xfffffff0086da768
0xfffffff0086da764: bf220079  strh	wzr, [x21, #0x10]
0xfffffff0086da768: e94d288b  add	x9, x15, w8, uxtw #3
0xfffffff0086da76c: 295140f9  ldr	x9, [x9, #0xa0]
0xfffffff0086da770: 0a0c40f9  ldr	x10, [x0, #0x18]
0xfffffff0086da774: 4b696c38  ldrb	w11, [x10, x12]
0xfffffff0086da778: ab000034  cbz	w11, #0xfffffff0086da78c
0xfffffff0086da77c: 4ba95af9  ldr	x11, [x10, #0x3550]
0xfffffff0086da780: 6a210091  add	x10, x11, #8
0xfffffff0086da784: 6b410091  add	x11, x11, #0x10
0xfffffff0086da788: 04000014  b	#0xfffffff0086da798
0xfffffff0086da78c: 4b0d42f9  ldr	x11, [x10, #0x418]
0xfffffff0086da790: 6a410091  add	x10, x11, #0x10
0xfffffff0086da794: 6b610091  add	x11, x11, #0x18
0xfffffff0086da798: 087d4092  and	x8, x8, #0xffffffff
0xfffffff0086da79c: 6903098b  add	x9, x27, x9
0xfffffff0086da7a0: 4a0140f9  ldr	x10, [x10]
0xfffffff0086da7a4: 29010acb  sub	x9, x9, x10
0xfffffff0086da7a8: 6a0140f9  ldr	x10, [x11]
0xfffffff0086da7ac: 29010a8b  add	x9, x9, x10
0xfffffff0086da7b0: 2afd60d3  lsr	x10, x9, #0x20
0xfffffff0086da7b4: aa260079  strh	w10, [x21, #0x12]
0xfffffff0086da7b8: a91600b9  str	w9, [x21, #0x14]
0xfffffff0086da7bc: e80d088b  add	x8, x15, x8, lsl #3
0xfffffff0086da7c0: 1401058b  add	x20, x8, x5
0xfffffff0086da7c4: 880240f9  ldr	x8, [x20]
0xfffffff0086da7c8: 09fd60d3  lsr	x9, x8, #0x20
0xfffffff0086da7cc: a90300b4  cbz	x9, #0xfffffff0086da840
0xfffffff0086da7d0: a9be8052  mov	w9, #0x5f5
0xfffffff0086da7d4: a853ffb0  adrp	x8, #0xfffffff00714f000
0xfffffff0086da7d8: 08b90a91  add	x8, x8, #0x2ae
0xfffffff0086da7dc: e82700a9  stp	x8, x9, [sp]
0xfffffff0086da7e0: a052fff0  adrp	x0, #0xfffffff007131000
0xfffffff0086da7e4: 00403691  add	x0, x0, #0xd90
0xfffffff0086da7e8: 0199fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff0086da7ec: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0086da7f0: 02008052  mov	w2, #0
0xfffffff0086da7f4: c352ffb0  adrp	x3, #0xfffffff007133000
0xfffffff0086da7f8: 63240a91  add	x3, x3, #0x289
0xfffffff0086da7fc: b3831af8  stur	x19, [x29, #-0x58]
0xfffffff0086da800: f3030faa  mov	x19, x15
0xfffffff0086da804: f70311aa  mov	x23, x17
0xfffffff0086da808: f60307aa  mov	x22, x7
0xfffffff0086da80c: 4962f197  bl	#0xfffffff008333130
0xfffffff0086da810: e23740f9  ldr	x2, [sp, #0x68]
0xfffffff0086da814: e70316aa  mov	x7, x22
0xfffffff0086da818: 05149052  mov	w5, #0x80a0
0xfffffff0086da81c: cca98652  mov	w12, #0x354e
0xfffffff0086da820: e14f40b9  ldr	w1, [sp, #0x4c]
0xfffffff0086da824: f10317aa  mov	x17, x23
0xfffffff0086da828: e3df45a9  ldp	x3, x23, [sp, #0x58]
0xfffffff0086da82c: 8d008052  mov	w13, #4
0xfffffff0086da830: ef0313aa  mov	x15, x19
0xfffffff0086da834: b64f7aa9  ldp	x22, x19, [x29, #-0x60]
0xfffffff0086da838: e02b40f9  ldr	x0, [sp, #0x50]
0xfffffff0086da83c: 880240f9  ldr	x8, [x20]
0xfffffff0086da840: a81a00b9  str	w8, [x21, #0x18]
0xfffffff0086da844: c80240b9  ldr	w8, [x22]
0xfffffff0086da848: 0825c11a  lsr	w8, w8, w1
0xfffffff0086da84c: 49c35fb8  ldur	w9, [x26, #-4]
0xfffffff0086da850: 2925c11a  lsr	w9, w9, w1
0xfffffff0086da854: 2841082a  orr	w8, w9, w8, lsl #16
0xfffffff0086da858: a81e00b9  str	w8, [x21, #0x1c]
0xfffffff0086da85c: 480040b9  ldr	w8, [x2]
