; Candidate 1114
; ADRP+ADD at VM 0xfffffff00820271c (fileoff 0x11fe71c): page=0x1fee86000 add_imm=0xe49

0xfffffff00820269c: 1ffda288  casl	w2, wzr, [x8]
0xfffffff0082026a0: 5f00096b  cmp	w2, w9
0xfffffff0082026a4: 41010054  b.ne	#0xfffffff0082026cc
0xfffffff0082026a8: e0031aaa  mov	x0, x26
0xfffffff0082026ac: fd7b48a9  ldp	x29, x30, [sp, #0x80]
0xfffffff0082026b0: f44f47a9  ldp	x20, x19, [sp, #0x70]
0xfffffff0082026b4: f65746a9  ldp	x22, x21, [sp, #0x60]
0xfffffff0082026b8: f85f45a9  ldp	x24, x23, [sp, #0x50]
0xfffffff0082026bc: fa6744a9  ldp	x26, x25, [sp, #0x40]
0xfffffff0082026c0: fc6f43a9  ldp	x28, x27, [sp, #0x30]
0xfffffff0082026c4: ff430291  add	sp, sp, #0x90
0xfffffff0082026c8: ff0f5fd6  retab	
0xfffffff0082026cc: e10313aa  mov	x1, x19
0xfffffff0082026d0: 25a8ee97  bl	#0xfffffff007dac764
0xfffffff0082026d4: f5ffff17  b	#0xfffffff0082026a8
0xfffffff0082026d8: 08751612  and	w8, w8, #0xfffffcff
0xfffffff0082026dc: a86200b9  str	w8, [x21, #0x60]
0xfffffff0082026e0: e00315aa  mov	x0, x21
0xfffffff0082026e4: 01008052  mov	w1, #0
0xfffffff0082026e8: 02008052  mov	w2, #0
0xfffffff0082026ec: 1307ef97  bl	#0xfffffff007dc4338
0xfffffff0082026f0: 1a048052  mov	w26, #0x20
0xfffffff0082026f4: c0ffff17  b	#0xfffffff0082025f4
0xfffffff0082026f8: 7a048052  mov	w26, #0x23
0xfffffff0082026fc: beffff17  b	#0xfffffff0082025f4
0xfffffff008202700: 885c8052  mov	w8, #0x2e4
0xfffffff008202704: 2974ffd0  adrp	x9, #0xfffffff007088000
0xfffffff008202708: 295d3a91  add	x9, x9, #0xe97
0xfffffff00820270c: 2a74ffd0  adrp	x10, #0xfffffff007088000
0xfffffff008202710: 4afd3991  add	x10, x10, #0xe7f
0xfffffff008202714: e9a300a9  stp	x9, x8, [sp, #8]
0xfffffff008202718: ea0300f9  str	x10, [sp]
0xfffffff00820271c: 2074ffd0  adrp	x0, #0xfffffff007088000
0xfffffff008202720: 00243991  add	x0, x0, #0xe49
0xfffffff008202724: 7a470a94  bl	#0xfffffff00849450c
0xfffffff008202728: 2874ffd0  adrp	x8, #0xfffffff007088000
0xfffffff00820272c: 085d3a91  add	x8, x8, #0xe97
0xfffffff008202730: 69818052  mov	w9, #0x40b
0xfffffff008202734: e82700a9  stp	x8, x9, [sp]
0xfffffff008202738: 2074ffd0  adrp	x0, #0xfffffff007088000
0xfffffff00820273c: 00883a91  add	x0, x0, #0xea2
0xfffffff008202740: 73470a94  bl	#0xfffffff00849450c
0xfffffff008202744: 2874ffd0  adrp	x8, #0xfffffff007088000
0xfffffff008202748: 085d3a91  add	x8, x8, #0xe97
0xfffffff00820274c: 89898052  mov	w9, #0x44c
0xfffffff008202750: e82700a9  stp	x8, x9, [sp]
0xfffffff008202754: 2074ffd0  adrp	x0, #0xfffffff007088000
0xfffffff008202758: 00583c91  add	x0, x0, #0xf16
0xfffffff00820275c: 6c470a94  bl	#0xfffffff00849450c
0xfffffff008202760: 2874ffd0  adrp	x8, #0xfffffff007088000
0xfffffff008202764: 085d3a91  add	x8, x8, #0xe97
0xfffffff008202768: c9858052  mov	w9, #0x42e
0xfffffff00820276c: e82700a9  stp	x8, x9, [sp]
0xfffffff008202770: 2074ffd0  adrp	x0, #0xfffffff007088000
0xfffffff008202774: 00103b91  add	x0, x0, #0xec4
0xfffffff008202778: 65470a94  bl	#0xfffffff00849450c
0xfffffff00820277c: 2874ffd0  adrp	x8, #0xfffffff007088000
0xfffffff008202780: 085d3a91  add	x8, x8, #0xe97
0xfffffff008202784: 69888052  mov	w9, #0x443
0xfffffff008202788: e82700a9  stp	x8, x9, [sp]
0xfffffff00820278c: 2074ffd0  adrp	x0, #0xfffffff007088000
0xfffffff008202790: 00dc3b91  add	x0, x0, #0xef7
0xfffffff008202794: 5e470a94  bl	#0xfffffff00849450c
0xfffffff008202798: 7f2303d5  pacibsp	
