; Candidate 10316
; ADRP+ADD at VM 0xfffffff008ceb3e0 (fileoff 0x1ce73e0): page=0x1fe686000 add_imm=0xd0b

0xfffffff008ceb360: 4034ff90  adrp	x0, #0xfffffff007373000
0xfffffff008ceb364: 00243891  add	x0, x0, #0xe09
0xfffffff008ceb368: 69a4de97  bl	#0xfffffff00849450c
0xfffffff008ceb36c: c4000000  udf	#0xc4
0xfffffff008ceb370: 0c000000  udf	#0xc
0xfffffff008ceb374: 54000000  udf	#0x54
0xfffffff008ceb378: 48000000  udf	#0x48
0xfffffff008ceb37c: 7f2303d5  pacibsp	
0xfffffff008ceb380: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff008ceb384: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff008ceb388: fd430091  add	x29, sp, #0x10
0xfffffff008ceb38c: f30301aa  mov	x19, x1
0xfffffff008ceb390: 40008052  mov	w0, #2
0xfffffff008ceb394: a3ffff97  bl	#0xfffffff008ceb220
0xfffffff008ceb398: e00313aa  mov	x0, x19
0xfffffff008ceb39c: 7c13c497  bl	#0xfffffff007df018c
0xfffffff008ceb3a0: 80000034  cbz	w0, #0xfffffff008ceb3b0
0xfffffff008ceb3a4: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff008ceb3a8: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff008ceb3ac: ff0f5fd6  retab	
0xfffffff008ceb3b0: c7250094  bl	#0xfffffff008cf4acc
0xfffffff008ceb3b4: 7f2303d5  pacibsp	
0xfffffff008ceb3b8: ffc300d1  sub	sp, sp, #0x30
0xfffffff008ceb3bc: f44f01a9  stp	x20, x19, [sp, #0x10]
0xfffffff008ceb3c0: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff008ceb3c4: fd830091  add	x29, sp, #0x20
0xfffffff008ceb3c8: ff0700f9  str	xzr, [sp, #8]
0xfffffff008ceb3cc: 08018052  mov	w8, #8
0xfffffff008ceb3d0: e80700b9  str	w8, [sp, #4]
0xfffffff008ceb3d4: a86eff90  adrp	x8, #0xfffffff007abf000
0xfffffff008ceb3d8: 08c140f9  ldr	x8, [x8, #0x180]
0xfffffff008ceb3dc: 010140f9  ldr	x1, [x8]
0xfffffff008ceb3e0: 2034ffd0  adrp	x0, #0xfffffff007371000
0xfffffff008ceb3e4: 002c3491  add	x0, x0, #0xd0b
0xfffffff008ceb3e8: 020080d2  mov	x2, #0
0xfffffff008ceb3ec: 030080d2  mov	x3, #0
0xfffffff008ceb3f0: 040080d2  mov	x4, #0
0xfffffff008ceb3f4: 24cfd997  bl	#0xfffffff00835f084
0xfffffff008ceb3f8: 200300b4  cbz	x0, #0xfffffff008ceb45c
0xfffffff008ceb3fc: f30300aa  mov	x19, x0
0xfffffff008ceb400: 2134ff90  adrp	x1, #0xfffffff00736f000
0xfffffff008ceb404: 21403c91  add	x1, x1, #0xf10
0xfffffff008ceb408: e2230091  add	x2, sp, #8
0xfffffff008ceb40c: e3130091  add	x3, sp, #4
0xfffffff008ceb410: 36feff97  bl	#0xfffffff008ceace8
0xfffffff008ceb414: 60000034  cbz	w0, #0xfffffff008ceb420
0xfffffff008ceb418: 000080d2  mov	x0, #0
0xfffffff008ceb41c: 0c000014  b	#0xfffffff008ceb44c
0xfffffff008ceb420: 700240f9  ldr	x16, [x19]
0xfffffff008ceb424: f10313aa  mov	x17, x19
0xfffffff008ceb428: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008ceb42c: 301ac1da  autda	x16, x17
0xfffffff008ceb430: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff008ceb434: e90310aa  mov	x9, x16
0xfffffff008ceb438: e00313aa  mov	x0, x19
0xfffffff008ceb43c: f10309aa  mov	x17, x9
0xfffffff008ceb440: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff008ceb444: 11093fd7  blraa	x8, x17
0xfffffff008ceb448: e00740f9  ldr	x0, [sp, #8]
0xfffffff008ceb44c: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff008ceb450: f44f41a9  ldp	x20, x19, [sp, #0x10]
0xfffffff008ceb454: ffc30091  add	sp, sp, #0x30
0xfffffff008ceb458: ff0f5fd6  retab	
0xfffffff008ceb45c: a2250094  bl	#0xfffffff008cf4ae4
