; Candidate 14638
; ADRP+ADD at VM 0xfffffff009870518 (fileoff 0x286c518): page=0xb23000 add_imm=0xd98

0xfffffff009870498: fd430091  add	x29, sp, #0x10
0xfffffff00987049c: 005900f0  adrp	x0, #0xfffffff00a393000
0xfffffff0098704a0: 00203591  add	x0, x0, #0xd48
0xfffffff0098704a4: c1eafeb0  adrp	x1, #0xfffffff0075c9000
0xfffffff0098704a8: 21c42c91  add	x1, x1, #0xb31
0xfffffff0098704ac: 731fffb0  adrp	x19, #0xfffffff007c5d000
0xfffffff0098704b0: 73ae44f9  ldr	x19, [x19, #0x958]
0xfffffff0098704b4: e20313aa  mov	x2, x19
0xfffffff0098704b8: 030b8052  mov	w3, #0x58
0xfffffff0098704bc: 9fcda997  bl	#0xfffffff0082e3b38
0xfffffff0098704c0: 701ffff0  adrp	x16, #0xfffffff007c5f000
0xfffffff0098704c4: 10623591  add	x16, x16, #0xd58
0xfffffff0098704c8: 10420091  add	x16, x16, #0x10
0xfffffff0098704cc: f10300aa  mov	x17, x0
0xfffffff0098704d0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0098704d4: 300ac1da  pacda	x16, x17
0xfffffff0098704d8: 100000f9  str	x16, [x0]
0xfffffff0098704dc: 145900f0  adrp	x20, #0xfffffff00a393000
0xfffffff0098704e0: 94c23591  add	x20, x20, #0xd70
0xfffffff0098704e4: c1eafeb0  adrp	x1, #0xfffffff0075c9000
0xfffffff0098704e8: 21a82d91  add	x1, x1, #0xb6a
0xfffffff0098704ec: e00314aa  mov	x0, x20
0xfffffff0098704f0: e20313aa  mov	x2, x19
0xfffffff0098704f4: 031a8052  mov	w3, #0xd0
0xfffffff0098704f8: 90cda997  bl	#0xfffffff0082e3b38
0xfffffff0098704fc: 701ffff0  adrp	x16, #0xfffffff007c5f000
0xfffffff009870500: 10623a91  add	x16, x16, #0xe98
0xfffffff009870504: 10420091  add	x16, x16, #0x10
0xfffffff009870508: f10314aa  mov	x17, x20
0xfffffff00987050c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009870510: 300ac1da  pacda	x16, x17
0xfffffff009870514: 900200f9  str	x16, [x20]
0xfffffff009870518: 005900f0  adrp	x0, #0xfffffff00a393000
0xfffffff00987051c: 00603691  add	x0, x0, #0xd98
0xfffffff009870520: c1eafeb0  adrp	x1, #0xfffffff0075c9000
0xfffffff009870524: 21a82e91  add	x1, x1, #0xbaa
0xfffffff009870528: e20314aa  mov	x2, x20
0xfffffff00987052c: 031f8052  mov	w3, #0xf8
0xfffffff009870530: 82cda997  bl	#0xfffffff0082e3b38
0xfffffff009870534: 701ffff0  adrp	x16, #0xfffffff007c5f000
0xfffffff009870538: 10c23f91  add	x16, x16, #0xff0
0xfffffff00987053c: 10420091  add	x16, x16, #0x10
0xfffffff009870540: f10300aa  mov	x17, x0
0xfffffff009870544: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009870548: 300ac1da  pacda	x16, x17
0xfffffff00987054c: 100000f9  str	x16, [x0]
0xfffffff009870550: 005900f0  adrp	x0, #0xfffffff00a393000
0xfffffff009870554: 00003791  add	x0, x0, #0xdc0
0xfffffff009870558: c1eafeb0  adrp	x1, #0xfffffff0075c9000
0xfffffff00987055c: 21bc2f91  add	x1, x1, #0xbef
0xfffffff009870560: e20314aa  mov	x2, x20
0xfffffff009870564: 031c8052  mov	w3, #0xe0
0xfffffff009870568: 74cda997  bl	#0xfffffff0082e3b38
0xfffffff00987056c: 901fff90  adrp	x16, #0xfffffff007c60000
0xfffffff009870570: 10c20491  add	x16, x16, #0x130
0xfffffff009870574: 10420091  add	x16, x16, #0x10
0xfffffff009870578: f10300aa  mov	x17, x0
0xfffffff00987057c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009870580: 300ac1da  pacda	x16, x17
0xfffffff009870584: 100000f9  str	x16, [x0]
0xfffffff009870588: 005900f0  adrp	x0, #0xfffffff00a393000
0xfffffff00987058c: 00a03791  add	x0, x0, #0xde8
0xfffffff009870590: c1eafeb0  adrp	x1, #0xfffffff0075c9000
0xfffffff009870594: 21f43091  add	x1, x1, #0xc3d
