; Candidate 13575
; ADRP+ADD at VM 0xfffffff009395294 (fileoff 0x2391294): page=0x1fe16a000 add_imm=0xe53

0xfffffff009395214: a9a35c78  ldurh	w9, [x29, #-0x36]
0xfffffff009395218: 283d1033  bfi	w8, w9, #0x10, #0x10
0xfffffff00939521c: 685e02b9  str	w8, [x19, #0x25c]
0xfffffff009395220: 69624439  ldrb	w9, [x19, #0x118]
0xfffffff009395224: 09040836  tbz	w9, #1, #0xfffffff0093952a4
0xfffffff009395228: ff1b00f9  str	xzr, [sp, #0x30]
0xfffffff00939522c: ff2f00b9  str	wzr, [sp, #0x2c]
0xfffffff009395230: e0c30091  add	x0, sp, #0x30
0xfffffff009395234: e1b30091  add	x1, sp, #0x2c
0xfffffff009395238: 33fcac97  bl	#0xfffffff007ed4304
0xfffffff00939523c: f61b40f9  ldr	x22, [sp, #0x30]
0xfffffff009395240: 700240f9  ldr	x16, [x19]
0xfffffff009395244: f10313aa  mov	x17, x19
0xfffffff009395248: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00939524c: 301ac1da  autda	x16, x17
0xfffffff009395250: f10310aa  mov	x17, x16
0xfffffff009395254: f147c1da  xpacd	x17
0xfffffff009395258: 1f0211eb  cmp	x16, x17
0xfffffff00939525c: 40000054  b.eq	#0xfffffff009395264
0xfffffff009395260: 408e38d4  brk	#0xc472
0xfffffff009395264: 08a20791  add	x8, x16, #0x1e8
0xfffffff009395268: 09f640f9  ldr	x9, [x16, #0x1e8]
0xfffffff00939526c: f72f40b9  ldr	w23, [sp, #0x2c]
0xfffffff009395270: e00313aa  mov	x0, x19
0xfffffff009395274: 010080d2  mov	x1, #0
0xfffffff009395278: f10308aa  mov	x17, x8
0xfffffff00939527c: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff009395280: 31093fd7  blraa	x9, x17
0xfffffff009395284: 685e42b9  ldr	w8, [x19, #0x25c]
0xfffffff009395288: f5a301a9  stp	x21, x8, [sp, #0x18]
0xfffffff00939528c: f78300a9  stp	x23, x0, [sp, #8]
0xfffffff009395290: f60300f9  str	x22, [sp]
0xfffffff009395294: 400bffd0  adrp	x0, #0xfffffff0074ff000
0xfffffff009395298: 004c3991  add	x0, x0, #0xe53
0xfffffff00939529c: 6107bf97  bl	#0xfffffff008357020
0xfffffff0093952a0: 685e42b9  ldr	w8, [x19, #0x25c]
0xfffffff0093952a4: 29988152  mov	w9, #0xcc1
0xfffffff0093952a8: 2928a072  movk	w9, #0x141, lsl #16
0xfffffff0093952ac: 1f01096b  cmp	w8, w9
0xfffffff0093952b0: 0c010054  b.gt	#0xfffffff0093952d0
0xfffffff0093952b4: 29969852  mov	w9, #0xc4b1
0xfffffff0093952b8: e901a072  movk	w9, #0xf, lsl #16
0xfffffff0093952bc: 1f01096b  cmp	w8, w9
0xfffffff0093952c0: 80010054  b.eq	#0xfffffff0093952f0
0xfffffff0093952c4: 49229952  mov	w9, #0xc912
0xfffffff0093952c8: 8903a072  movk	w9, #0x1c, lsl #16
0xfffffff0093952cc: 07000014  b	#0xfffffff0093952e8
0xfffffff0093952d0: 89029e52  mov	w9, #0xf014
0xfffffff0093952d4: 4950a072  movk	w9, #0x282, lsl #16
0xfffffff0093952d8: 1f01096b  cmp	w8, w9
0xfffffff0093952dc: a0000054  b.eq	#0xfffffff0093952f0
0xfffffff0093952e0: 49988152  mov	w9, #0xcc2
0xfffffff0093952e4: 2928a072  movk	w9, #0x141, lsl #16
0xfffffff0093952e8: 1f01096b  cmp	w8, w9
0xfffffff0093952ec: 41000054  b.ne	#0xfffffff0093952f4
0xfffffff0093952f0: 14008052  mov	w20, #0
0xfffffff0093952f4: e00314aa  mov	x0, x20
0xfffffff0093952f8: fd7b47a9  ldp	x29, x30, [sp, #0x70]
0xfffffff0093952fc: f44f46a9  ldp	x20, x19, [sp, #0x60]
0xfffffff009395300: f65745a9  ldp	x22, x21, [sp, #0x50]
0xfffffff009395304: f85f44a9  ldp	x24, x23, [sp, #0x40]
0xfffffff009395308: ff030291  add	sp, sp, #0x80
0xfffffff00939530c: ff0f5fd6  retab	
0xfffffff009395310: f40300aa  mov	x20, x0
