; Candidate 7633
; ADRP+ADD at VM 0xfffffff0088759cc (fileoff 0x18719cc): page=0x1fe9b5000 add_imm=0xd1b

0xfffffff00887594c: 5a070011  add	w26, w26, #1
0xfffffff008875950: 7f02006b  cmp	w19, w0
0xfffffff008875954: a1fdff54  b.ne	#0xfffffff008875908
0xfffffff008875958: 59070011  add	w25, w26, #1
0xfffffff00887595c: f803142a  mov	w24, w20
0xfffffff008875960: 787e60b3  bfi	x24, x19, #0x20, #0x20
0xfffffff008875964: f50313aa  mov	x21, x19
0xfffffff008875968: 5f270071  cmp	w26, #9
0xfffffff00887596c: 82000054  b.hs	#0xfffffff00887597c
0xfffffff008875970: 31000014  b	#0xfffffff008875a34
0xfffffff008875974: 180080d2  mov	x24, #0
0xfffffff008875978: 79018052  mov	w25, #0xb
0xfffffff00887597c: 600b8052  mov	w0, #0x5b
0xfffffff008875980: a1008052  mov	w1, #5
0xfffffff008875984: 93170094  bl	#0xfffffff00887b7d0
0xfffffff008875988: 60050034  cbz	w0, #0xfffffff008875a34
0xfffffff00887598c: 600b8052  mov	w0, #0x5b
0xfffffff008875990: a2170094  bl	#0xfffffff00887b818
0xfffffff008875994: f70300aa  mov	x23, x0
0xfffffff008875998: 05fa0094  bl	#0xfffffff0088b41ac
0xfffffff00887599c: f60300aa  mov	x22, x0
0xfffffff0088759a0: a0008052  mov	w0, #5
0xfffffff0088759a4: ab170094  bl	#0xfffffff00887b850
0xfffffff0088759a8: d7010034  cbz	w23, #0xfffffff0088759e0
0xfffffff0088759ac: f45704a9  stp	x20, x21, [sp, #0x40]
0xfffffff0088759b0: f84f03a9  stp	x24, x19, [sp, #0x30]
0xfffffff0088759b4: c8048052  mov	w8, #0x26
0xfffffff0088759b8: e86702a9  stp	x8, x25, [sp, #0x20]
0xfffffff0088759bc: a84dffb0  adrp	x8, #0xfffffff00722a000
0xfffffff0088759c0: 08953591  add	x8, x8, #0xd65
0xfffffff0088759c4: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088759c8: 680b8052  mov	w8, #0x5b
0xfffffff0088759cc: a04dffb0  adrp	x0, #0xfffffff00722a000
0xfffffff0088759d0: 006c3491  add	x0, x0, #0xd1b
0xfffffff0088759d4: f62300a9  stp	x22, x8, [sp]
0xfffffff0088759d8: a206d597  bl	#0xfffffff007db7460
0xfffffff0088759dc: 16000014  b	#0xfffffff008875a34
0xfffffff0088759e0: f3f90094  bl	#0xfffffff0088b41ac
0xfffffff0088759e4: f60300aa  mov	x22, x0
0xfffffff0088759e8: a0008052  mov	w0, #5
0xfffffff0088759ec: 99170094  bl	#0xfffffff00887b850
0xfffffff0088759f0: f45704a9  stp	x20, x21, [sp, #0x40]
0xfffffff0088759f4: f84f03a9  stp	x24, x19, [sp, #0x30]
0xfffffff0088759f8: c8048052  mov	w8, #0x26
0xfffffff0088759fc: e86702a9  stp	x8, x25, [sp, #0x20]
0xfffffff008875a00: a84dffb0  adrp	x8, #0xfffffff00722a000
0xfffffff008875a04: 08953591  add	x8, x8, #0xd65
0xfffffff008875a08: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008875a0c: 680b8052  mov	w8, #0x5b
0xfffffff008875a10: f62300a9  stp	x22, x8, [sp]
0xfffffff008875a14: a04bff90  adrp	x0, #0xfffffff0071e9000
0xfffffff008875a18: 00003a91  add	x0, x0, #0xe80
0xfffffff008875a1c: 818cfff0  adrp	x1, #0xfffffff007a08000
0xfffffff008875a20: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008875a24: 234fff90  adrp	x3, #0xfffffff007259000
0xfffffff008875a28: 63f02591  add	x3, x3, #0x97c
0xfffffff008875a2c: 02008052  mov	w2, #0
0xfffffff008875a30: c0f5ea97  bl	#0xfffffff008333130
0xfffffff008875a34: e8f301b2  mov	x8, #-0x5555555555555556
0xfffffff008875a38: 685595f2  movk	x8, #0xaaab
0xfffffff008875a3c: 087fc89b  umulh	x8, x24, x8
0xfffffff008875a40: 00fd44d3  lsr	x0, x8, #4
0xfffffff008875a44: fd7b49a9  ldp	x29, x30, [sp, #0x90]
0xfffffff008875a48: f44f48a9  ldp	x20, x19, [sp, #0x80]
