; Candidate 6847
; ADRP+ADD at VM 0xfffffff008845f98 (fileoff 0x1841f98): page=0x1fe9a4000 add_imm=0xe80

0xfffffff008845f18: fa5704a9  stp	x26, x21, [sp, #0x40]
0xfffffff008845f1c: e84f03a9  stp	x8, x19, [sp, #0x30]
0xfffffff008845f20: 08128052  mov	w8, #0x90
0xfffffff008845f24: e94efff0  adrp	x9, #0xfffffff007224000
0xfffffff008845f28: 29952891  add	x9, x9, #0xa25
0xfffffff008845f2c: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff008845f30: 084fff90  adrp	x8, #0xfffffff007225000
0xfffffff008845f34: 08b51291  add	x8, x8, #0x4ad
0xfffffff008845f38: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008845f3c: c80d8052  mov	w8, #0x6e
0xfffffff008845f40: e04efff0  adrp	x0, #0xfffffff007224000
0xfffffff008845f44: 00902c91  add	x0, x0, #0xb24
0xfffffff008845f48: f62300a9  stp	x22, x8, [sp]
0xfffffff008845f4c: 45c5d597  bl	#0xfffffff007db7460
0xfffffff008845f50: a9000014  b	#0xfffffff0088461f4
0xfffffff008845f54: 96b80194  bl	#0xfffffff0088b41ac
0xfffffff008845f58: f50300aa  mov	x21, x0
0xfffffff008845f5c: 80008052  mov	w0, #4
0xfffffff008845f60: 3cd60094  bl	#0xfffffff00887b850
0xfffffff008845f64: f3d303a9  stp	x19, x20, [sp, #0x38]
0xfffffff008845f68: e84eff90  adrp	x8, #0xfffffff007221000
0xfffffff008845f6c: 0a293e91  add	x10, x8, #0xf8a
0xfffffff008845f70: 88108052  mov	w8, #0x84
0xfffffff008845f74: e94efff0  adrp	x9, #0xfffffff007224000
0xfffffff008845f78: 29952891  add	x9, x9, #0xa25
0xfffffff008845f7c: e8ab02a9  stp	x8, x10, [sp, #0x28]
0xfffffff008845f80: 084fff90  adrp	x8, #0xfffffff007225000
0xfffffff008845f84: 08b51291  add	x8, x8, #0x4ad
0xfffffff008845f88: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff008845f8c: c80d8052  mov	w8, #0x6e
0xfffffff008845f90: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff008845f94: f50300f9  str	x21, [sp]
0xfffffff008845f98: 204dff90  adrp	x0, #0xfffffff0071e9000
0xfffffff008845f9c: 00003a91  add	x0, x0, #0xe80
0xfffffff008845fa0: 018efff0  adrp	x1, #0xfffffff007a08000
0xfffffff008845fa4: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008845fa8: 4350fff0  adrp	x3, #0xfffffff007250000
0xfffffff008845fac: 63441f91  add	x3, x3, #0x7d1
0xfffffff008845fb0: 02008052  mov	w2, #0
0xfffffff008845fb4: 5fb4eb97  bl	#0xfffffff008333130
0xfffffff008845fb8: 1b000014  b	#0xfffffff008846024
0xfffffff008845fbc: 7cb80194  bl	#0xfffffff0088b41ac
0xfffffff008845fc0: f80300aa  mov	x24, x0
0xfffffff008845fc4: 80008052  mov	w0, #4
0xfffffff008845fc8: 22d60094  bl	#0xfffffff00887b850
0xfffffff008845fcc: f65705a9  stp	x22, x21, [sp, #0x50]
0xfffffff008845fd0: f45f04a9  stp	x20, x23, [sp, #0x40]
0xfffffff008845fd4: e84efff0  adrp	x8, #0xfffffff007224000
0xfffffff008845fd8: 08252c91  add	x8, x8, #0xb09
0xfffffff008845fdc: e84f03a9  stp	x8, x19, [sp, #0x30]
0xfffffff008845fe0: 68118052  mov	w8, #0x8b
0xfffffff008845fe4: e94efff0  adrp	x9, #0xfffffff007224000
0xfffffff008845fe8: 29952891  add	x9, x9, #0xa25
0xfffffff008845fec: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff008845ff0: 084fff90  adrp	x8, #0xfffffff007225000
0xfffffff008845ff4: 08b51291  add	x8, x8, #0x4ad
0xfffffff008845ff8: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008845ffc: c80d8052  mov	w8, #0x6e
0xfffffff008846000: 4350ffd0  adrp	x3, #0xfffffff007250000
0xfffffff008846004: 63442091  add	x3, x3, #0x811
0xfffffff008846008: f82300a9  stp	x24, x8, [sp]
0xfffffff00884600c: 004dfff0  adrp	x0, #0xfffffff0071e9000
0xfffffff008846010: 00003a91  add	x0, x0, #0xe80
0xfffffff008846014: 018effd0  adrp	x1, #0xfffffff007a08000
