; Candidate 3022
; ADRP+ADD at VM 0xfffffff008708fd0 (fileoff 0x1704fd0): page=0x1fea29000 add_imm=0xd90

0xfffffff008708f50: 4a050011  add	w10, w10, #1
0xfffffff008708f54: 4a791f12  and	w10, w10, #0xfffffffe
0xfffffff008708f58: 4b1d0011  add	w11, w10, #7
0xfffffff008708f5c: 6b711d12  and	w11, w11, #0xfffffff8
0xfffffff008708f60: 3f050071  cmp	w9, #1
0xfffffff008708f64: 49018b1a  csel	w9, w10, w11, eq
0xfffffff008708f68: 3f210071  cmp	w9, #8
0xfffffff008708f6c: 88020054  b.hi	#0xfffffff008708fbc
0xfffffff008708f70: e80300aa  mov	x8, x0
0xfffffff008708f74: f00309aa  mov	x16, x9
0xfffffff008708f78: 1f2200f1  cmp	x16, #8
0xfffffff008708f7c: 10929f9a  csel	x16, x16, xzr, ls
0xfffffff008708f80: 110000b0  adrp	x17, #0xfffffff008709000
0xfffffff008708f84: 31420391  add	x17, x17, #0xd0
0xfffffff008708f88: 307ab0b8  ldrsw	x16, [x17, x16, lsl #2]
0xfffffff008708f8c: 11000010  adr	x17, #0xfffffff008708f8c
0xfffffff008708f90: 3002108b  add	x16, x17, x16
0xfffffff008708f94: 00021fd6  br	x16
0xfffffff008708f98: 9f2403d5  bti	j
0xfffffff008708f9c: 00008052  mov	w0, #0
0xfffffff008708fa0: 29fc0011  add	w9, w1, #0x3f
0xfffffff008708fa4: 29651a12  and	w9, w9, #0xffffffc0
0xfffffff008708fa8: 099922b9  str	w9, [x8, #0x2298]
0xfffffff008708fac: 29781f53  lsl	w9, w1, #1
0xfffffff008708fb0: 41000014  b	#0xfffffff0087090b4
0xfffffff008708fb4: 00008052  mov	w0, #0
0xfffffff008708fb8: 43000014  b	#0xfffffff0087090c4
0xfffffff008708fbc: 9f2403d5  bti	j
0xfffffff008708fc0: 28210011  add	w8, w9, #8
0xfffffff008708fc4: 2952fff0  adrp	x9, #0xfffffff00714f000
0xfffffff008708fc8: 29351b91  add	x9, x9, #0x6cd
0xfffffff008708fcc: e92300a9  stp	x9, x8, [sp]
0xfffffff008708fd0: 4051ffb0  adrp	x0, #0xfffffff007131000
0xfffffff008708fd4: 00403691  add	x0, x0, #0xd90
0xfffffff008708fd8: a197ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff008708fdc: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008708fe0: 6351ffd0  adrp	x3, #0xfffffff007136000
0xfffffff008708fe4: 63383891  add	x3, x3, #0xe0e
0xfffffff008708fe8: 02008052  mov	w2, #0
0xfffffff008708fec: 51a8f097  bl	#0xfffffff008333130
0xfffffff008708ff0: 00008012  mov	w0, #-1
0xfffffff008708ff4: 34000014  b	#0xfffffff0087090c4
0xfffffff008708ff8: 9f2403d5  bti	j
0xfffffff008708ffc: 00008052  mov	w0, #0
0xfffffff008709000: 29080011  add	w9, w1, #2
0xfffffff008709004: 6a559552  mov	w10, #0xaaab
0xfffffff008709008: 4a55b572  movk	w10, #0xaaaa, lsl #16
0xfffffff00870900c: 297daa9b  umull	x9, w9, w10
0xfffffff008709010: 29fd60d3  lsr	x9, x9, #0x20
0xfffffff008709014: 29791f53  lsl	w9, w9, #1
0xfffffff008709018: 29751e12  and	w9, w9, #0xfffffffc
0xfffffff00870901c: 29fd0011  add	w9, w9, #0x3f
0xfffffff008709020: 29651a12  and	w9, w9, #0xffffffc0
0xfffffff008709024: 099922b9  str	w9, [x8, #0x2298]
0xfffffff008709028: 29781f53  lsl	w9, w1, #1
0xfffffff00870902c: 2909c41a  udiv	w9, w9, w4
0xfffffff008709030: 29150011  add	w9, w9, #5
0xfffffff008709034: 297daa9b  umull	x9, w9, w10
0xfffffff008709038: 29fd60d3  lsr	x9, x9, #0x20
0xfffffff00870903c: 29791f53  lsl	w9, w9, #1
0xfffffff008709040: 29711d12  and	w9, w9, #0xfffffff8
0xfffffff008709044: 1d000014  b	#0xfffffff0087090b8
0xfffffff008709048: 9f2403d5  bti	j
0xfffffff00870904c: 00008052  mov	w0, #0
