; Candidate 9179
; ADRP+ADD at VM 0xfffffff008a089d4 (fileoff 0x1a049d4): page=0x1fe891000 add_imm=0xe40

0xfffffff008a08954: e20314aa  mov	x2, x20
0xfffffff008a08958: 050080d2  mov	x5, #0
0xfffffff008a0895c: 6ad5dd97  bl	#0xfffffff00817df04
0xfffffff008a08960: 300340f9  ldr	x16, [x25]
0xfffffff008a08964: f10319aa  mov	x17, x25
0xfffffff008a08968: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a0896c: 301ac1da  autda	x16, x17
0xfffffff008a08970: 113d80d2  mov	x17, #0x1e8
0xfffffff008a08974: 1002118b  add	x16, x16, x17
0xfffffff008a08978: 080240f9  ldr	x8, [x16]
0xfffffff008a0897c: e90310aa  mov	x9, x16
0xfffffff008a08980: e00319aa  mov	x0, x25
0xfffffff008a08984: 010080d2  mov	x1, #0
0xfffffff008a08988: f10309aa  mov	x17, x9
0xfffffff008a0898c: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff008a08990: 11093fd7  blraa	x8, x17
0xfffffff008a08994: 300340f9  ldr	x16, [x25]
0xfffffff008a08998: f10319aa  mov	x17, x25
0xfffffff008a0899c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a089a0: 301ac1da  autda	x16, x17
0xfffffff008a089a4: 113d80d2  mov	x17, #0x1e8
0xfffffff008a089a8: 1002118b  add	x16, x16, x17
0xfffffff008a089ac: 080240f9  ldr	x8, [x16]
0xfffffff008a089b0: e90310aa  mov	x9, x16
0xfffffff008a089b4: e00319aa  mov	x0, x25
0xfffffff008a089b8: 010080d2  mov	x1, #0
0xfffffff008a089bc: f10309aa  mov	x17, x9
0xfffffff008a089c0: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff008a089c4: 11093fd7  blraa	x8, x17
0xfffffff008a089c8: e8bf4039  ldrb	w8, [sp, #0x2f]
0xfffffff008a089cc: f72301a9  stp	x23, x8, [sp, #0x10]
0xfffffff008a089d0: e05700a9  stp	x0, x21, [sp]
0xfffffff008a089d4: 8044ffb0  adrp	x0, #0xfffffff007299000
0xfffffff008a089d8: 00003991  add	x0, x0, #0xe40
0xfffffff008a089dc: 0182fff0  adrp	x1, #0xfffffff007a4b000
0xfffffff008a089e0: 215046f9  ldr	x1, [x1, #0xca0]
0xfffffff008a089e4: a344ffd0  adrp	x3, #0xfffffff00729e000
0xfffffff008a089e8: 63802e91  add	x3, x3, #0xba0
0xfffffff008a089ec: 02028052  mov	w2, #0x10
0xfffffff008a089f0: d0a9e497  bl	#0xfffffff008333130
0xfffffff008a089f4: 300340f9  ldr	x16, [x25]
0xfffffff008a089f8: f10319aa  mov	x17, x25
0xfffffff008a089fc: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a08a00: 301ac1da  autda	x16, x17
0xfffffff008a08a04: f10310aa  mov	x17, x16
0xfffffff008a08a08: f147c1da  xpacd	x17
0xfffffff008a08a0c: 1f0211eb  cmp	x16, x17
0xfffffff008a08a10: 40000054  b.eq	#0xfffffff008a08a18
0xfffffff008a08a14: 408e38d4  brk	#0xc472
0xfffffff008a08a18: 08a20791  add	x8, x16, #0x1e8
0xfffffff008a08a1c: 09f640f9  ldr	x9, [x16, #0x1e8]
0xfffffff008a08a20: e00319aa  mov	x0, x25
0xfffffff008a08a24: 010080d2  mov	x1, #0
0xfffffff008a08a28: f10308aa  mov	x17, x8
0xfffffff008a08a2c: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff008a08a30: 31093fd7  blraa	x9, x17
0xfffffff008a08a34: e8bf4039  ldrb	w8, [sp, #0x2f]
0xfffffff008a08a38: f72301a9  stp	x23, x8, [sp, #0x10]
0xfffffff008a08a3c: e05700a9  stp	x0, x21, [sp]
0xfffffff008a08a40: 8044ffd0  adrp	x0, #0xfffffff00729a000
0xfffffff008a08a44: 00983191  add	x0, x0, #0xc66
0xfffffff008a08a48: 7639e597  bl	#0xfffffff008357020
0xfffffff008a08a4c: 680340b9  ldr	w8, [x27]
0xfffffff008a08a50: 1f791c72  tst	w8, #0xfffffff7
