; Candidate 6415
; ADRP+ADD at VM 0xfffffff008829ff8 (fileoff 0x1825ff8): page=0x1fe9f8000 add_imm=0xdd6

0xfffffff008829f78: e10313aa  mov	x1, x19
0xfffffff008829f7c: 03048052  mov	w3, #0x20
0xfffffff008829f80: 3c290294  bl	#0xfffffff0088b4470
0xfffffff008829f84: e00316aa  mov	x0, x22
0xfffffff008829f88: e10318aa  mov	x1, x24
0xfffffff008829f8c: 11460194  bl	#0xfffffff00887b7d0
0xfffffff008829f90: 40070034  cbz	w0, #0xfffffff00882a078
0xfffffff008829f94: e00316aa  mov	x0, x22
0xfffffff008829f98: 20460194  bl	#0xfffffff00887b818
0xfffffff008829f9c: 5502f837  tbnz	w21, #0x1f, #0xfffffff008829fe4
0xfffffff008829fa0: ba021b12  and	w26, w21, #0x20
0xfffffff008829fa4: 1b000052  eor	w27, w0, #1
0xfffffff008829fa8: 81280294  bl	#0xfffffff0088b41ac
0xfffffff008829fac: f90300aa  mov	x25, x0
0xfffffff008829fb0: e00318aa  mov	x0, x24
0xfffffff008829fb4: 27460194  bl	#0xfffffff00887b850
0xfffffff008829fb8: 68175a2a  orr	w8, w27, w26, lsr #5
0xfffffff008829fbc: 68020037  tbnz	w8, #0, #0xfffffff00882a008
0xfffffff008829fc0: e8c30091  add	x8, sp, #0x30
0xfffffff008829fc4: e8df01a9  stp	x8, x23, [sp, #0x18]
0xfffffff008829fc8: f68300a9  stp	x22, x0, [sp, #8]
0xfffffff008829fcc: f90300f9  str	x25, [sp]
0xfffffff008829fd0: c04fff90  adrp	x0, #0xfffffff007221000
0xfffffff008829fd4: 00c43791  add	x0, x0, #0xdf1
0xfffffff008829fd8: 0a000014  b	#0xfffffff00882a000
0xfffffff008829fdc: e07c8012  mov	w0, #-0x3e8
0xfffffff008829fe0: 33000014  b	#0xfffffff00882a0ac
0xfffffff008829fe4: 60030034  cbz	w0, #0xfffffff00882a050
0xfffffff008829fe8: e803154b  neg	w8, w21
0xfffffff008829fec: 28032837  tbnz	w8, #5, #0xfffffff00882a050
0xfffffff008829ff0: e8c30091  add	x8, sp, #0x30
0xfffffff008829ff4: e85f00a9  stp	x8, x23, [sp]
0xfffffff008829ff8: c04fff90  adrp	x0, #0xfffffff007221000
0xfffffff008829ffc: 00583791  add	x0, x0, #0xdd6
0xfffffff00882a000: 1835d697  bl	#0xfffffff007db7460
0xfffffff00882a004: 1d000014  b	#0xfffffff00882a078
0xfffffff00882a008: 69280294  bl	#0xfffffff0088b41ac
0xfffffff00882a00c: f90300aa  mov	x25, x0
0xfffffff00882a010: e00318aa  mov	x0, x24
0xfffffff00882a014: 0f460194  bl	#0xfffffff00887b850
0xfffffff00882a018: e8c30091  add	x8, sp, #0x30
0xfffffff00882a01c: e8df01a9  stp	x8, x23, [sp, #0x18]
0xfffffff00882a020: e80316aa  mov	x8, x22
0xfffffff00882a024: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff00882a028: f90300f9  str	x25, [sp]
0xfffffff00882a02c: e04dfff0  adrp	x0, #0xfffffff0071e9000
0xfffffff00882a030: 00003a91  add	x0, x0, #0xe80
0xfffffff00882a034: e18effd0  adrp	x1, #0xfffffff007a08000
0xfffffff00882a038: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00882a03c: 0351ffd0  adrp	x3, #0xfffffff00724c000
0xfffffff00882a040: 63000191  add	x3, x3, #0x40
0xfffffff00882a044: 02008052  mov	w2, #0
0xfffffff00882a048: 3a24ec97  bl	#0xfffffff008333130
0xfffffff00882a04c: 0b000014  b	#0xfffffff00882a078
0xfffffff00882a050: e8c30091  add	x8, sp, #0x30
0xfffffff00882a054: e85f00a9  stp	x8, x23, [sp]
0xfffffff00882a058: e04dfff0  adrp	x0, #0xfffffff0071e9000
0xfffffff00882a05c: 00003a91  add	x0, x0, #0xe80
0xfffffff00882a060: e18effd0  adrp	x1, #0xfffffff007a08000
0xfffffff00882a064: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00882a068: 0351ffd0  adrp	x3, #0xfffffff00724c000
0xfffffff00882a06c: 63980091  add	x3, x3, #0x26
0xfffffff00882a070: 02008052  mov	w2, #0
0xfffffff00882a074: 2f24ec97  bl	#0xfffffff008333130
