; Candidate 7022
; ADRP+ADD at VM 0xfffffff008851394 (fileoff 0x184d394): page=0x1fe998000 add_imm=0xe80

0xfffffff008851314: 21018052  mov	w1, #9
0xfffffff008851318: 04008012  mov	w4, #-1
0xfffffff00885131c: 050080d2  mov	x5, #0
0xfffffff008851320: f9b2e497  bl	#0xfffffff00817df04
0xfffffff008851324: c1feff17  b	#0xfffffff008850e28
0xfffffff008851328: a18b0194  bl	#0xfffffff0088b41ac
0xfffffff00885132c: f70300aa  mov	x23, x0
0xfffffff008851330: 80008052  mov	w0, #4
0xfffffff008851334: 47a90094  bl	#0xfffffff00887b850
0xfffffff008851338: e80316aa  mov	x8, x22
0xfffffff00885133c: 694240b9  ldr	w9, [x19, #0x40]
0xfffffff008851340: 8a1a40b9  ldr	w10, [x20, #0x18]
0xfffffff008851344: 2b5b40b9  ldr	w11, [x25, #0x58]
0xfffffff008851348: 2c018052  mov	w12, #9
0xfffffff00885134c: ec2307a9  stp	x12, x8, [sp, #0x70]
0xfffffff008851350: eb5706a9  stp	x11, x21, [sp, #0x60]
0xfffffff008851354: ea6705a9  stp	x10, x25, [sp, #0x50]
0xfffffff008851358: e95304a9  stp	x9, x20, [sp, #0x40]
0xfffffff00885135c: e84dfff0  adrp	x8, #0xfffffff007210000
0xfffffff008851360: 08b92791  add	x8, x8, #0x9ee
0xfffffff008851364: e84f03a9  stp	x8, x19, [sp, #0x30]
0xfffffff008851368: 28618052  mov	w8, #0x309
0xfffffff00885136c: a94effb0  adrp	x9, #0xfffffff007226000
0xfffffff008851370: 29711891  add	x9, x9, #0x61c
0xfffffff008851374: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff008851378: a84effd0  adrp	x8, #0xfffffff007227000
0xfffffff00885137c: 08811191  add	x8, x8, #0x460
0xfffffff008851380: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008851384: e80d8052  mov	w8, #0x6f
0xfffffff008851388: 0350ffb0  adrp	x3, #0xfffffff007252000
0xfffffff00885138c: 63403891  add	x3, x3, #0xe10
0xfffffff008851390: f72300a9  stp	x23, x8, [sp]
0xfffffff008851394: c04cff90  adrp	x0, #0xfffffff0071e9000
0xfffffff008851398: 00003a91  add	x0, x0, #0xe80
0xfffffff00885139c: a18dfff0  adrp	x1, #0xfffffff007a08000
0xfffffff0088513a0: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088513a4: 02008052  mov	w2, #0
0xfffffff0088513a8: 6287eb97  bl	#0xfffffff008333130
0xfffffff0088513ac: 9afeff17  b	#0xfffffff008850e14
0xfffffff0088513b0: 7f2303d5  pacibsp	
0xfffffff0088513b4: ffc303d1  sub	sp, sp, #0xf0
0xfffffff0088513b8: fa670aa9  stp	x26, x25, [sp, #0xa0]
0xfffffff0088513bc: f85f0ba9  stp	x24, x23, [sp, #0xb0]
0xfffffff0088513c0: f6570ca9  stp	x22, x21, [sp, #0xc0]
0xfffffff0088513c4: f44f0da9  stp	x20, x19, [sp, #0xd0]
0xfffffff0088513c8: fd7b0ea9  stp	x29, x30, [sp, #0xe0]
0xfffffff0088513cc: fd830391  add	x29, sp, #0xe0
0xfffffff0088513d0: f50302aa  mov	x21, x2
0xfffffff0088513d4: f40301aa  mov	x20, x1
0xfffffff0088513d8: f30300aa  mov	x19, x0
0xfffffff0088513dc: bf7f3ba9  stp	xzr, xzr, [x29, #-0x50]
0xfffffff0088513e0: bf831af8  stur	xzr, [x29, #-0x58]
0xfffffff0088513e4: e00d8052  mov	w0, #0x6f
0xfffffff0088513e8: e1008052  mov	w1, #7
0xfffffff0088513ec: f9a80094  bl	#0xfffffff00887b7d0
0xfffffff0088513f0: e0020034  cbz	w0, #0xfffffff00885144c
0xfffffff0088513f4: e00d8052  mov	w0, #0x6f
0xfffffff0088513f8: 08a90094  bl	#0xfffffff00887b818
0xfffffff0088513fc: f70300aa  mov	x23, x0
0xfffffff008851400: 6b8b0194  bl	#0xfffffff0088b41ac
0xfffffff008851404: f60300aa  mov	x22, x0
0xfffffff008851408: e0008052  mov	w0, #7
0xfffffff00885140c: 11a90094  bl	#0xfffffff00887b850
0xfffffff008851410: 77070034  cbz	w23, #0xfffffff0088514fc
