; Candidate 14601
; ADRP+ADD at VM 0xfffffff00985fbec (fileoff 0x285bbec): page=0x1fe3fd000 add_imm=0xe90

0xfffffff00985fb6c: 10021591  add	x16, x16, #0x540
0xfffffff00985fb70: 10420091  add	x16, x16, #0x10
0xfffffff00985fb74: f10300aa  mov	x17, x0
0xfffffff00985fb78: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00985fb7c: 300ac1da  pacda	x16, x17
0xfffffff00985fb80: 100000f9  str	x16, [x0]
0xfffffff00985fb84: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff00985fb88: ff0f5fd6  retab	
0xfffffff00985fb8c: 5f2403d5  bti	c
0xfffffff00985fb90: efdfff17  b	#0xfffffff009857b4c
0xfffffff00985fb94: 5f2403d5  bti	c
0xfffffff00985fb98: eddfff17  b	#0xfffffff009857b4c
0xfffffff00985fb9c: 7f2303d5  pacibsp	
0xfffffff00985fba0: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff00985fba4: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff00985fba8: fd430091  add	x29, sp, #0x10
0xfffffff00985fbac: f30300aa  mov	x19, x0
0xfffffff00985fbb0: e7dfff97  bl	#0xfffffff009857b4c
0xfffffff00985fbb4: e01fffb0  adrp	x0, #0xfffffff007c5c000
0xfffffff00985fbb8: 00403a91  add	x0, x0, #0xe90
0xfffffff00985fbbc: e10313aa  mov	x1, x19
0xfffffff00985fbc0: 02068052  mov	w2, #0x30
0xfffffff00985fbc4: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff00985fbc8: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff00985fbcc: ff2303d5  autibsp	
0xfffffff00985fbd0: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff00985fbd4: 5000f0b6  tbz	x16, #0x3e, #0xfffffff00985fbdc
0xfffffff00985fbd8: 208e38d4  brk	#0xc471
0xfffffff00985fbdc: b01eaa17  b	#0xfffffff0082e769c
0xfffffff00985fbe0: 5f2403d5  bti	c
0xfffffff00985fbe4: e20301aa  mov	x2, x1
0xfffffff00985fbe8: e10300aa  mov	x1, x0
0xfffffff00985fbec: e01fffb0  adrp	x0, #0xfffffff007c5c000
0xfffffff00985fbf0: 00403a91  add	x0, x0, #0xe90
0xfffffff00985fbf4: aa1eaa17  b	#0xfffffff0082e769c
0xfffffff00985fbf8: 5f2403d5  bti	c
0xfffffff00985fbfc: a0590090  adrp	x0, #0xfffffff00a393000
0xfffffff00985fc00: 00c01991  add	x0, x0, #0x670
0xfffffff00985fc04: c0035fd6  ret	
0xfffffff00985fc08: 7f2303d5  pacibsp	
0xfffffff00985fc0c: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff00985fc10: fd030091  mov	x29, sp
0xfffffff00985fc14: e1eafef0  adrp	x1, #0xfffffff0075be000
0xfffffff00985fc18: 21e03391  add	x1, x1, #0xcf8
0xfffffff00985fc1c: a2590090  adrp	x2, #0xfffffff00a393000
0xfffffff00985fc20: 42a01591  add	x2, x2, #0x568
0xfffffff00985fc24: 03068052  mov	w3, #0x30
0xfffffff00985fc28: c40faa97  bl	#0xfffffff0082e3b38
0xfffffff00985fc2c: f01fff90  adrp	x16, #0xfffffff007c5b000
0xfffffff00985fc30: 10821891  add	x16, x16, #0x620
0xfffffff00985fc34: 10420091  add	x16, x16, #0x10
0xfffffff00985fc38: f10300aa  mov	x17, x0
0xfffffff00985fc3c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00985fc40: 300ac1da  pacda	x16, x17
0xfffffff00985fc44: 100000f9  str	x16, [x0]
0xfffffff00985fc48: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff00985fc4c: ff0f5fd6  retab	
0xfffffff00985fc50: 7f2303d5  pacibsp	
0xfffffff00985fc54: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff00985fc58: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff00985fc5c: fd430091  add	x29, sp, #0x10
0xfffffff00985fc60: e01fffb0  adrp	x0, #0xfffffff007c5c000
0xfffffff00985fc64: 00403a91  add	x0, x0, #0xe90
0xfffffff00985fc68: 01068052  mov	w1, #0x30
